FID,Location,Type,Name_of_Co,Multinatio
458, ,FD,Piumelli Outlet,Y
459, ,FD,Andrew's Ties,Y
460, ,FD,& Other Stories,Y
461, ,FD,Absolut Joy and Sexy Woman Jeans,Y
462, ,FD,Furla Store,Y
463, ,FD,Gucci,Y
464, ,FD,CHRISTIAN LOUBOUTIN,Y
465, ,IT,Unieuro,N
466, ,FD,Pinko,Y
467, ,FD,Cloth,N
468, ,FD,LOUIS VUITTON,Y
469, ,FD,Salvatore Ferragamo,Y
470, ,FD,Cloth,N
471, ,FD,Cloth,N
472, ,FD,Cloth,N
473, ,FD,Watch,N
474, ,Craft,Unger 1875 Clotilde Silva,N
475, ,Craft,Craft,N
476, ,FD,TWINSET,Y
477, ,FD,Cloth,N
478, ,FD,Cloth,N
479, ,FD,HM,Y
480, ,FD,Cloth,N
481, ,FD,Cloth,N
482, ,FD,Profumeria DOUGLAS,Y
483, ,Craft,Craft,N
484, ,FD,Al Bazar,N
485, ,FD,Luca Shoes srl,N
486, ,FD,COS,Y
487, ,FD,Geox,Y
488, ,Film,Cineam,N
489, ,FD,Victoria's Secret,Y
490, ,FD,Stradivarius,Y
491, ,FD,Oysho,N
492, ,IT,WIND,Y
493, ,FD,Cloth,N
494, ,FD,Cloth,N
495, ,FD,Antica Cuoieria,Y
496, ,FD,Carhartt WIP Store,Y
497, ,IT,TIM,Y
498, ,Craft,Craft,N
499, ,FD,Cloth,N
500, ,Art,Museum,N
501, ,Craft,Jewel,N
502, ,FD,Faashion,N
503, ,FD,Perfume,N
504, ,Art,Theator,N
505, ,Art,Gallary,N
506, ,FD,Cloth,N
507, ,FD,Nicole Spose,Y
508, ,Art,Gallary,N
509, ,FD,Cloth,N
510, ,FD,Cloth,N
511, ,FD,Cloth,N
512, ,IT,Phone,N
513, ,FD,Cloth,N
514, ,FD,Cloth,N
515, ,FD,Cloth,N
516, ,FD,Wedding,N
517, ,Arch,Arch,N
518, ,FD,Cloth,N
519, ,FD,Cloth,N
520, ,IT,Phone,N
521, ,Arch,Arch,N
522, ,FD,Cloth,N
523, ,Art,Art,N
524, ,IT,TIM,Y
525, ,Craft,Craft,N
526, ,Craft,Craft,N
527, ,FD,Cloth,N
528, ,FD,Dolly Noire Store,Y
529, ,FD,Cloth,N
530, ,FD,Cloth,N
531, ,FD,Carhartt WIP,Y
532, ,Art,Art,N
533, ,Craft,Kim Supplies Scout,Y
534, ,FD,Carlo Pignatelli,N
535, ,Craft,Craft,N
536, ,FD,Kiko,Y
537, ,FD,Biffi B-Contemporary,Y
538, ,FD,Cloth,N
539, ,FD,Cloth,N
540, ,FD,Cloth,N
541, ,FD,Martino Midali,N
542, ,FD,Cloth,N
543, ,FD,Doppelganger,Y
544, ,Craft,Craft,N
545, ,Art,Theator,N
546, ,FD,Tessuti Raponi Milano,N
547, ,Craft,Mama Schwaz Store,Y
548, ,Art,Museum,N
549, ,Craft,Craft,N
550, ,FD,Lui & Lei Di Chen Maolei,Y
551, ,FD,iuter store,Y
552, ,FD,Propaganda Store,N
553, ,FD,Cloth,N
554, ,FD,Cloth,N
555, ,FD,Cloth,N
556, ,Craft,Craft,N
557, ,FD,Cloth,N
558, ,FD,Cloth,N
559, ,FD,Cloth,N
560, ,FD,Cloth,N
561, ,Music,Music,N
562, ,FD,Cloth,N
563, ,FD,Cloth,N
564, ,FD,Cloth,N
565, ,Art,Art,N
566, ,Art,Pilates,N
567, ,Publish,Publish,N
568, ,FD,Sport,N
569, ,FD,Sport,N
570, ,Art,Photo,N
571, ,FD,Ylang Ylang - Perfumery - Wellness Center,Y
572, ,Publish,Publish,N
573, ,Art,Gallary,N
574, ,Craft,Craft,N
575, ,FD,Cloth,N
576, ,FD,Perfume,N
577, ,Art,Pilates,N
578, ,FD,Intimissimi,N
579, ,FD,Intimissimi,N
580, ,Craft,Jewel,N
581, ,FD,Cloth,N
582, ,FD,Cloth,N
583, ,FD,Cloth,N
584, ,FD,Cloth,N
585, ,FD,Cloth,N
586, ,Art,Theator,N
587, ,Music,Music,N
588, ,FD,Cloth,N
589, ,IT,WIND,Y
590, ,Art,Museum,N
591, ,Craft,Craft,N
592, ,Art,Gallary,N
593, ,FD,Tommy Hilfiger,Y
594, ,FD,Cloth,N
595, ,FD,Cloth,N
596, ,FD,Cloth,N
597, ,IT,Camera,N
598, ,FD,Cloth,N
599, ,Craft,Craft,N
600, ,Craft,Craft,N
601, ,FD,Cloth,N
602, ,Art,Gallary,N
603, ,FD,Cloth,N
604, ,FD,Sport,N
605, ,FD,Cloth,N
606, ,FD,Cloth,N
607, ,FD,Cloth,N
608, ,Advertising,Advertising,N
609, ,FD,TOD's,Y
610, ,FD,Winwood Fashion,Y
611, ,FD,HOMAND,Y
612, ,Art,Gallary,N
613, ,Advertising,Advertising,N
614, ,Craft,Jewel,N
615, ,FD,Cloth,N
616, ,FD,Cloth,N
617, ,FD,Cloth,N
618, ,Craft,Craft,N
619, ,Art,Culture Center,N
620, ,Art,Photo,N
621, ,FD,Cloth,N
622, ,Publish,Publish,N
623, ,Art,Museum,N
624, ,Art,Museum,N
625, ,Art,Gallary,N
626, ,FD,Cloth,N
627, ,FD,Cloth,N
628, ,FD,Cloth,N
629, ,FD,FRANZI 1864 S.r.l.,N
630, ,FD,Eligo Milano,Y
631, ,FD,Armani Casa,Y
632, ,FD,GaGà Milano Store,Y
633, ,Craft,Jewel,N
634, ,FD,Cloth,N
635, ,Craft,Jewel,N
636, ,FD,Jeckerson Store,Y
637, ,Craft,Moschino Love,N
638, ,Art,Theator,N
639, ,Craft,Jewel,N
640, ,Craft,Jewel,N
641, ,Arch,Arch,N
642, ,Art,Gallary,N
643, ,Art,Bosoni,Y
644, ,FD,Cloth,N
645, ,FD,Cloth,N
646, ,Art,Fazioli,Y
647, ,FD,Design,N
648, ,FD,Suitsupply,Y
649, ,FD,Subdued,Y
650, ,FD,Cloth,N
651, ,Craft,Stone,N
652, ,FD,Ma Maison Srl,Y
653, ,FD,Cloth,N
654, ,FD,Mazzolari Milano,Y
655, ,Art,Culture Center,N
656, ,FD,Mia Bag,Y
657, ,FD,MUJI ITALIA,Y
658, ,FD,Guess Flagship Store,Y
659, ,FD,Florsheim Milano,Y
660, ,FD,Cloth,N
661, ,FD,Cloth,N
662, ,Craft,LEGO Store,Y
663, ,FD,Cloth,N
664, ,FD,Pinko,Y
665, ,FD,AllSaints,Y
666, ,Craft,Disney store,Y
667, ,Craft,Lauren By Ralph Lauren,Y
668, ,FD,Calvin klein,Y
669, ,FD,Cloth,N
670, ,Craft,Jewel,N
671, ,FD,Cloth,N
672, ,FD,Cloth,N
673, ,Craft,Jewel,N
674, ,FD,Cloth,N
675, ,FD,Cloth,N
676, ,FD,Cloth,N
677, ,Craft,Jewel,N
678, ,Craft,Jewel,N
679, ,Craft,Jewel,N
680, ,IT,WIND,Y
681, ,Art,Museum,N
682, ,FD,Cloth,N
683, ,Craft,Craft,N
684, ,FD,Cloth,N
685, ,FD,Cloth,N
686, ,FD,Cloth,N
687, ,FD,Michele Lopriore,Y
688, ,FD,Cloth,N
689, ,FD,Perfume,N
690, ,Craft,Craft,N
691, ,FD,Cloth,N
692, ,Art,Photo,N
693, ,FD,Alcott,Y
694, ,FD,Motivi,Y
695, ,FD,Falconeri,Y
696, ,FD,Intimissimi Uomo,Y
697, ,FD,Carpisa,Y
698, ,FD,Gutteridge,Y
699, ,FD,Nadnie,N
700, ,IT,Oregon,N
701, ,FD,LUSH,Y
702, ,FD,Claudie Pierlot,N
703, ,FD,Football Team,N
704, ,FD,Libero,Y
705, ,FD,Yamamay,Y
706, ,FD,Cisalfa Sport,Y
707, ,Craft,Craft,N
708, ,Art,Gallary,N
709, ,FD,Mirade bags & shoes,Y
710, ,FD,Wycon Cosmetics,Y
711, ,FD,Brandy & Melville,Y
712, ,FD,Excelsior,Y
713, ,FD,AVERY Perfume Gallery,Y
714, ,FD,Tiffany & Co,Y
715, ,FD,Crisafulli Eyewear Ottica Occhiali,N
716, ,Publish,P,N
717, ,Publish,P,N
718, ,FD,Mango,Y
719, ,FD,Pull & Bear,Y
720, ,FD,Sephora,Y
721, ,FD,Foot Locker,Y
722, ,FD,Intrend Milano,Y
723, ,Art,Museum,N
724, ,FD,Del Mare 1911,Y
725, ,FD,Paul Taylor,Y
726, ,FD,The North Face Store Milan,Y
727, ,FD,Cloth,N
728, ,FD,VANS Store Milan,Y
729, ,FD,Inter Store Milano,Y
730, ,FD,Oysho,N
731, ,IT,Vodafone,Y
732, ,FD,HM,Y
733, ,FD,Sisley,Y
734, ,FD,Urban Outfitters,Y
735, ,Craft,Accessorize,Y
736, ,FD,NYX Italia,Y
737, ,FD,Michael Kors,Y
738, ,FD,Pinko Boutique Milano,Y
739, ,FD,Liu Jo,Y
740, ,FD,The Highline Outlet,Y
741, ,FD,TIMBERLAND Milan - San Carlo,Y
742, ,FD,North Sails,Y
743, ,FD,Cloth,N
744, ,FD,Cloth,N
745, ,FD,Cloth,N
746, ,FD,Fendi Fendi,Y
747, ,Craft,Craft,N
748, ,Craft,Arclinea Flagship store,Y
749, ,Craft,Giorgetti Store,Y
750, ,Craft,Salvioni Milano Durini,N
751, ,FD,Technogym,Y
752, ,Arch,Arch,N
753, ,FD,Lola,Y
754, ,FD,Margherita,N
755, ,Craft,Molteni & C Dada Flagship,Y
756, ,FD,Boggi Milano - Temporaneamente Chiuso,N
757, ,Craft,Craft,N
758, ,FD,L' Arabesque,Y
759, ,Craft,Imaginarium,N
760, ,FD,HM,Y
761, ,FD,Facis,Y
762, ,Arch,Design,N
763, ,Craft,Marazzi Showroom,N
764, ,FD,Cloth,N
765, ,FD,Libero,Y
766, ,FD,Corneliani,Y
767, ,IT,Hinto,Y
768, ,Craft,B&B Italia Spa,Y
769, ,FD,Conti Confetteria,N
770, ,FD,Miracle Store,Y
771, ,Art,Art,N
772, ,FD,Matchless London Store Milano,Y
773, ,FD,Valextra Outlet,N
774, ,Craft,Agapanthus Gioielli,N
775, ,FD,Naturino Store,N
776, ,FD,Nava Design - MH Way Store,Y
777, ,Publish,Publish,N
778, ,Arch,Arch,N
779, ,IT,IT,N
780, ,Arch,Arch,N
781, ,IT,IT,N
782, ,Art,Art,N
783, ,FD,Cloth,N
784, ,FD,Orologeria Gioielleria Sangalli dal 1900,Y
785, ,FD,CC-TAPIS,Y
786, ,Arch,Arch,N
787, ,Craft,ASPESi1910,N
788, ,Art,Design,N
789, ,FD,Merceria Guffanti della C.G.C.,Y
790, ,Craft,Vigano' Alta Moda/Viganò Milano1919 - bottega,N
791, ,Craft,La Nuova Ora Srl,N
792, ,Craft,Laboratorio Orologeria Duomo,Y
793, ,Art,Museum,N
794, ,Arch,Design,N
795, ,Art,Museum,N
796, ,IT,GameStop,N
797, ,FD,United Colors of Benetton,Y
798, ,Craftq,Watch,N
799, ,FD,Laluna (S.N.C.),Y
800, ,FD,Cloth,N
801, ,FD,Enrico Broggi,Y
802, ,FD,Rolex,Y
803, ,FD,One Block Down,Y
804, ,Art,Dance,N
805, ,Craft,Eleven Village Store Milano,Y
806, ,FD,Cloth,N
807, ,FD,Cloth,N
808, ,FD,Cloth,N
809, ,Craft,Ronchi Gioielli,Y
810, ,FD,Co.import,Y
811, ,IT,GAME,N
812, ,FD,Kryolan City Milano,N
813, ,FD,Makeup,N
814, ,Craft,Craft,N
815, ,Arch,Design,N
816, ,Arch,Design,N
817, ,FD,Royal Britannia Boutique,Y
818, ,FD,Del Mare 1911,N
819, ,Arch,Arch,N
820, ,Craft,Hi-cube s.r.l.,Y
821, ,FD,METRADAMO,N
822, ,Craft,Valios Corso Italy 11,N
823, ,FD,Boggi Milano,N
824, ,Art,Art,N
825, ,FD,INCENDIO SRL,N
826, ,Film,Film,N
827, ,FD,Cloth,N
828, ,FD,BMW,Y
829, ,FD,Baracuta,N
830, ,FD,Cloth,N
831, ,FD,Cloth,N
832, ,FD,Bivio Milano Donna,Y
833, ,FD,Cloth,N
834, ,FD,Cloth,N
835, ,FD,CHACHA Milano,Y
836, ,FD,Raphael - Groom suits and formal,Y
837, ,IT,It,N
838, ,Art,Theator,N
839, ,Art,Design,N
840, ,FD,Atelier Orologiaio di GSP S.r.l.,N
841, ,FD,Scout,Y
842, ,FD,Goldenpoint,Y
843, ,FD,Geox,Y
844, ,Craft,Camper,Y
845, ,FD,Victoria’s Secret,Y
846, ,FD,Oysho,Y
847, ,FD,Foot Locker,Y
848, ,FD,Mango,Y
849, ,FD,Desigual,Y
850, ,FD,Nike Store,Y
851, ,FD,Bath & Body Works,Y
852, ,FD,De Meo Letizia,N
853, ,Craft,Osigem,N
854, ,FD,Football Team Falcone,N
855, ,FD,Napoleone,N
856, ,FD,Vergelio,N
857, ,FD,Kiko,Y
858, ,FD,PIMKIE,Y
859, ,Craft,Accessorize,Y
860, ,Art,Design,N
861, ,Craft,Perfume,N
862, ,Craft,Perfume,N
863, ,FD,Barello Optics - Milan,Y
864, ,FD,Yamamay,Y
865, ,FD,Cloth,N
866, ,FD,Terranova,Y
867, ,Art,Supergulp 2,N
868, ,FD,HM,Y
869, ,FD,Alcott,Y
870, ,IT,Trony,N
871, ,Art,Gallary,N
872, ,Art,Gallary,N
873, ,Art,Gallary,N
874, ,Art,Gallary,N
875, ,FD,Cloth,N
876, ,FD,Cloth,N
877, ,FD,Cloth,N
878, ,Craft,Craft,N
879, ,Craft,Craft,N
880, ,Craft,Craft,N
881, ,Advertising,AD,N
882, ,Advertising,AD,N
883, ,Craft,Target,N
884, ,Music,Musical Instruments Prina,Y
885, ,Craft,Craft,N
886, ,FD,Craft,N
887, ,Craft,Fortura Giocattoli,N
888, ,FD,size?,Y
889, ,FD,Parashop Italy srl,N
890, ,FD,Yves Rocher Italia,N
891, ,Craft,Jewel,N
892, ,FD,Mauro Leone,N
893, ,FD,Cloth,N
894, ,FD,Cloth,N
895, ,Art,Gallary,N
896, ,FD,Geox,Y
897, ,FD,Dan John Milano - Via Torino,Y
898, ,FD,Città del Sole - Milano Via Torino,N
899, ,Publish,Publish,N
900, ,FD,Rinascimento,N
901, ,Craft,Craft,N
902, ,FD,Nadine,N
903, ,Craft,Craft,N
904, ,IT,Software,N
905, ,FD,Cloth,N
906, ,Advertising,Ad,N
907, ,Craft,Tofy Toys,N
908, ,FD,Cloth,N
909, ,Art,Design,N
910, ,Craft,Craft,N
911, ,Art,Art center,N
912, ,Advertising,AD,N
913, ,Publish,Publish,N
914, ,Advertising,AD,N
915, ,Arch,Arch,N
916, ,Art,Design,N
917, ,Art,Museum,N
918, ,IT,IT,N
919, ,Art,Art studio,N
920, ,Art,Gallary,N
921, ,FD,Cloth,N
922, ,Advertising,AD,N
923, ,IT,IT,N
924, ,IT,Software,N
925, ,Arch,Arch,N
926, ,Music,Musci,N
927, ,Art,Gallary,N
928, ,Art,Gallary,N
929, ,Arch,Arch,N
930, ,Art,Desigh,N
931, ,Art,Design,N
932, ,Advertising,AD,N
933, ,FD,Cloth,N
934, ,Art,Design,N
935, ,Arch,Arch,N
936, ,Arch,Arch,N
937, ,Art,Model,N
938, ,Arch,Arch,N
939, ,Advertising,AD,N
940, ,Art,Design,N
941, ,Film,Video,N
942, ,Film,Video,N
943, ,Film,Video,N
944, ,Art,Model,N
945, ,Art,Design,N
946, ,FD,Manufacture Fraizzoli & C.,N
947, ,Art,Design,N
948, ,Advertising,AD,N
949, ,Film,Video,N
950, ,Art,Design,N
951, ,Art,Dance,N
952, ,Craft,Craft,N
953, ,FD,Cloth,N
954, ,Art,Museum,N
955, ,IT,IT,"N
N"
956, ,Advertising,AD,N
957, ,Art,Design,N
958, ,FD,Cloth,N
959, ,IT,Camera,N
960, ,Craft,Craft,N
961, ,Craft,Craft,N
962, ,FD,Cloth,N
963, ,FD,Cloth,N
964, ,Craft,Craft,N
965, ,FD,Jaked,Y
966, ,FD,Cloth,N
967, ,FD,Muji,Y
968, ,FD,Cloth,N
969, ,Craft,Jewel,N
970, ,IT,TIM,Y
971, ,FD,ZARA,Y
972, ,FD,Cloth,N
973, ,FD,Perfume,N
974, ,IT,Vodafone,Y
975, ,FD,Cloth,N
976, ,FD,Yamamay,Y
977, ,Arch,Arch,N
978, ,Craft,Toy,N
979, ,IT,Wind,Y
980, ,FD,Brian & Barry,Y
981, ,FD,Boggi Milano,N
982, ,FD,L'OCCITANE EN PROVENCE,Y
983, ,FD,Amedeo D.,N
984, ,Publish,Publish,N
985, ,FD,Cloth,N
986, ,Art,Theator,N
987, ,FD,Luxottica,Y
988, ,Art,Theatro,N
989, ,FD,Cloth,N
990, ,Publish,Publish,N
991, ,Arch,Arch,N
992, ,FD,Glasses,N
993, ,FD,Outlet Matia's,Y
994, ,FD,Profumeria Marionnaud,Y
995, ,FD,Brandy & Melville,Y
996, ,FD,Moleskine Store,Y
997, ,FD,Foot Locker,Y
998, ,FD,Lovable,Y
999, ,FD,LUSH,Y
1000, ,FD,OVS,Y
1001, ,Art,Gallary,N
1002, ,FD,Swarovski Internazionale,Y
1003, ,FD,ALDO Shoes,Y
1004, ,FD,ASICS,Y
1005, ,FD,Estée Lauder,Y
1006, ,FD,Silvian Heach Milano,Y
1007, ,FD,DESIGUAL,Y
1008, ,FD,Piquadro,Y
1009, ,Craft,Meravigli,N
1010, ,FD,Cappelleria Melegari dal 1914,N
1011, ,FD,Il Vecchio Drappiere,N
1012, ,FD,Aesop Corso Magenta,Y
1013, ,FD,Cloth,N
1014, ,Craft,Dioro,Y
1015, ,FD,Cloth,N
1016, ,Arch,Arch,N
1017, ,Film,Video,N
1018, ,Craft,Craft,N
1019, ,Art,Gallary,N
1020, ,Advertising,AD,N
1021, ,Film,Vedio,N
1022, ,FD,Figus Designer,N
1023, ,Craft,GuFo,N
1024, ,Art,model,N
1025, ,Art,Design,N
1026, ,FD,Cloth,N
1027, ,Flim,Vedio,N
1028, ,Film,Vedio,N
1029, ,FD,Cloth,N
1030, ,Art,Gallary,N
1031, ,Craft,Craft,N
1032, ,Art,Gallary,N
1033, ,Film,Photo,N
1034, ,Art,Museum,N
1035, ,FD,Cloth,N
1036, ,FD,Cloth,N
1037, ,FD,Cloth,N
1038, ,FD,Jo Malone London,Y
1039, ,IT,Software,N
1040, ,Art,Design,N
1041, ,IT,Design,N
1042, ,Craft,Jewel,N
1043, ,Art,Gallary,N
1044, ,Film,Video,N
1045, ,Publish,Publish,N
1046, ,Fiim,Camera,N
1047, ,FD,Warhammer,Y
1048, ,FD,Circus,Y
1049, ,Film,Video,N
1050, ,IT,IT,N
1051, ,FD,Pati Jò,N
1052, ,Advertising,AD,N
1053, ,IT,Game,N
1054, ,Advertising,AD,N
1055, ,Advertising,AD,N
1056, ,IT,IT,N'
1057, ,Advertising,AD,N
1058, ,Craft,Fate i Capricci,N
1059, ,FD,AERE STORE,N
1060, ,IT,IT,N
1061, ,FD,Joost Store,N
1062, ,Art,Dance,N
1063, ,Craft,ATELIER VM,N
1064, ,Art,Pilgiò,N
1065, ,Arch,Arch,N
1066, ,Art,Art,N
1067, ,Craft,Craft,N
1068, ,FD,E. Marinella,Y
1069, ,FD,Airness,Y
1070, ,FD,Noriem,N
1071, ,Craft,Perfume,N
1072, ,FD,Cloth,N
1073, ,Art,Gallary,N
1074, ,Craft,Perfume,N
1075, ,FD,Cloth,N
1076, ,Arch,Arch,N
1077, ,Craft,Watch,N
1078, ,FD,AW LAB,Y
1079, ,FD,MUJI,Y
1080, ,Craft,Pandora,Y
1081, ,FD,Pull&Bear,Y
1082, ,FD,Kiehl's,Y
1083, ,FD,Guess,Y
1084, ,FD,Tezenis,Y
1085, ,FD,Tally Weijl,Y
1086, ,FD,NYX Professional Makeup,Y
1087, ,Craft,Seiko,Y
1088, ,Arch,Arch,N
1089, ,FD,Wait and See,Y
1090, ,Arch,Arch,N
1091, ,Craft,I Sentieri del Vento,Y
1092, ,Art,Gallary,N
1093, ,Art,Gallary,N
1094, ,Craft,Craft,N
1095, ,FD,LUSH,Y
1096, ,FD,Stradivarius,Y
1097, ,FD,Trend,Y
1098, ,FD,Levi's,Y
1099, ,FD,Tanagra,Y
1100, ,FD,kontatto,N
1101, ,FD,Boxeur Des Rues ?,Y
1102, ,FD,Gianni Mura,Y
1103, ,FD,John Barritt Flagship Store,Y
1104, ,FD,DANI - I love this brand,Y
1105, ,FD,Flying Tiger Copenhagen,Y
1106, ,FD,Cloth,N
1107, ,Craft,Fracomina store,N
1108, ,Film,Cinema,N
1109, ,IT,WIND,Y
1110, ,FD,Ader Milano,Y
1111, ,FD,Cloth,N
1112, ,Art,Museum,N
1113, ,FD,Cloth,N
1114, ,Art,Gallary,N
1115, ,FD,Flying Tiger Copenhagen,Y
1116, ,Art,Gallary,N
1117, ,Art,Gallary,N
1118, ,FD,Cloth,N
1119, ,Art,Co-work,N
1120, ,FD,Bialetti,Y
1121, ,FD,Orologeria,Y
1122, ,FD,Blue sand,Y
1123, ,IT,TIM,Y
1124, ,IT,Vodafone,Y
1125, ,FD,Bata,Y
1126, ,IT,WIND,Y
1127, ,FD,ZARA,Y
1128, ,FD,OVS,Y
1129, ,FD,Magazzini Firme Outlet,Y
1130, ,FD,Max Mara,Y
1131, ,FD,Desiree Perfumes,Y
1132, ,FD,L'Abitino Easy Chic,Y
1133, ,FD,Cloth,N
1134, ,FD,Del Mare 1911,Y
1135, ,FD,Levi's,Y
1136, ,FD,Under Armour Milano Orefici,Y
1137, ,FD,Uniqlo Piazza Cordusio,Y
1138, ,FD,Class,N
1139, ,FD,Nashi Argan Store Dante,Y
1140, ,FD,Profumerie Limoni,N
1141, ,FD,Marco Calzature,Y
1142, ,Craft,D'Augusta Gioielli,N
1143, ,FD,Shirts Clerici 1780,Y
1144, ,Art,Museum,N
1145, ,Craft,Craft,N
1146, ,IT,Software,N
1147, ,Craft,Craft,N
1148, ,Art,Art,N
1149, ,FD,Perfume,"N
"
1150, ,Film,Film,N
1151, ,Arch,Arch,N
1152, ,IT,WIND,Y
1153, ,Music,Music,N
1154, ,Art,Gallary,N
1155, ,Art,Art,N
1156, ,Advertising,AD,N
1157, ,Art,Art,N
1158, ,Art,Design,N
1159, ,Film,Cinema,N
1160, ,IT,IT,N
1161, ,Art,Design,N
1162, ,Film,Photo,N
1163, ,FD,IperSoap,N
1164, ,Craft,Craft,N
1165, ,FD,Made from Yo!,Y
1166, ,FD,Treesse Viale Monza,N
1167, ,Art,Design,N
1168, ,Film,Music,N
1169, ,Film,Video,N
1170, ,Arch,Arch,N
1171, ,Advertising,AD,N
1172, ,Art,Dance,N
1173, ,Film,Photo,N
1174, ,Art,Dance,N
1175, ,IT,IT,Y
1176, ,FD,WEEKEND OFFENDER,N
1177, ,FD,Cloth,N
1178, ,IT,IT,IT
1179, ,Art,Print,N
1180, ,"IT
IT",IT,N
1181, ,"IT
IT",IT,N
1182, ,Art,Art,N
1183, ,Craft,Giocheria Centro Toys,Y
1184, ,FD,Cloth,N
1185, ,IT,Game,N
1186, ,Art,Dance,N
1187, ,Arch,Arch,N
1188, ,Film,Photo,N
1189, ,Arch,Arch,N
1190, ,IT,Mikamai,Y
1191, ,FD,Cloth,N
1192, ,Craft,Jewel,N
1193, ,FD,Disney,Y
1194, ,Art,Art,N
1195, ,IT,IT,N
1196, ,Arch,Design,N
1197, ,Arch,Design,N
1198, ,IT,Software,N
1199, ,FD,Calcioshop Milano,Y
1200, ,IT,Game,N
1201, ,Film,Photo,N
1202, ,Craft,Craft,N
1203, ,Film,Photo,N
1204, ,IT,WIND,Y
1205, ,FD,Triumph,Y
1206, ,FD,Cloth,N
1207, ,FD,Sephora,Y
1208, ,FD,Outlet del Kasalingo,Y
1209, ,FD,Cloth,N
1210, ,Art,Art,N
1211, ,"IT
IT",IT,N
1212, ,Film,Photo,N
1213, ,FD,Calzedonia,Y
1214, ,FD,Intimissimi,Y
1215, ,FD,Bershka,Y
1216, ,FD,Geox,Y
1217, ,FD,Thun Shop,Y
1218, ,Arch,Arch,N
1219, ,Art,Design,N
1220, ,FD,Cloth,N
1221, ,IT,WIND,Y
1222, ,Craft,Craft,N
1223, ,Arch,Arch,N
1224, ,Art,Gallary,N
1225, ,Art,Gallary,N
1226, ,FD,The Fountain Pen,Y
1227, ,FD,O Bag store,Y
1228, ,FD,Zeel International Store,Y
1229, ,Art,Art,N
1230, ,Arch,Arch,N
1231, ,FD,New York Hip Hop Jeans World,Y
1232, ,FD,Cloth,N
1233, ,Craft,Tadino48林氏手 表店,Y
1234, ,Craft,Carnaby Street,Y
1235, ,FD,Haas since 1811 - woven carpets and sofas,Y
1236, ,FD,Okaidi,Y
1237, ,FD,NAU!,Y
1238, ,FD,Tezenis,Y
1239, ,FD,TIMBERLAND,Y
1240, ,FD,Goldenpoint,Y
1241, ,FD,Gatsby Milano,N
1242, ,FD,Bata,Y
1243, ,FD,Terranova,Y
1244, ,FD,Underwear De Bernardi,N
1245, ,FD,Du Pareil Au Meme,Y
1246, ,FD,Intimissimi Uomo,Y
1247, ,Craft,Corso Buenos Aires,N
1248, ,Film,Photo,N
1249, ,Music,Music,N
1250, ,Film,Movie,N
1251, ,Art,Art,N
1252, ,FIlm,Video,N
1253, ,IT,IT,N
1254, ,Craft,Craft,N
1255, ,FD,QDM | Quelli delle Magliette,Y
1256, ,IT,Centro Telefonia Pino Milano,Y
1257, ,FD,Nake Sport,Y
1258, ,IT,IT,N
1259, ,FD,Camomilla,Y
1260, ,FD,La Montagna Sport,Y
1261, ,IT,Avanade Italy,Y
1262, ,Publish,Publish,N
1263, ,FD,Belmonte,N
1264, ,IT,IT,N
1265, ,IT,IT,N
1266, ,FD,LaMari Woman Store,Y
1267, ,FD,Pupa Forever,N
1268, ,Arch,Arch,N
1269, ,FD,Cloth,N
1270, ,Arch,Design,N
1271, ,Publish,Publish,N
1272, ,FD,FD,N
1273, ,IT,IT,N
1274, ,FD,FD,N
1275, ,IT,IT,N
1276, ,Advertising,AD,N
1277, ,Film,Video,N
1278, ,FD,La Prealpina Tessuti,N
1279, ,Craft,Jewel,N
1280, ,Craft,Jewel,N
1281, ,Craft,Jewel,N
1282, ,Publish,P,N
1283, ,FD,ES Milano Collection,Y
1284, ,Craft,Perfume,N
1285, ,Film,Cinema,N
1286, ,Film,Cinema,N
1287, ,FD,Carpe Diem,Y
1288, ,FD,Stradivarius,Y
1289, ,Craft,dmail,Y
1290, ,IT,GameStop,N
1291, ,FD,I Am,Y
1292, ,FD,Douglas,Y
1293, ,Art,Theator,N
1294, ,FD,AMI MOPS?,N
1295, ,Art,Yamato Shop,Y
1296, ,FD,GrandVision by Avanzi,N
1297, ,FD,Fossil,Y
1298, ,FD,Cloth,N
1299, ,Art,Gallary,N
1300, ,FD,Cloth,N
1301, ,Film,Cinema,N
1302, ,Art,Design,N
1303, ,Film,Photo,N
1304, ,FD,Spectrum Store Milano / Graffiti Shop & Streetwear,Y
1305, ,Craft,Design,N
1306, ,FD,dm Italia,Y
1307, ,IT,IT,N
1308, ,Film,Photo,N
1309, ,Film,Photo,N
1310, ,FD,La Montagna,Y
1311, ,Advertising,AD,N
1312, ,FD,Cloth,N
1313, ,Art,Gallary,N
1314, ,Craft,C,N
1315, ,FD,Calvin Klein Jeans,Y
1316, ,FD,PUMA Store,Y
1317, ,FD,HM,Y
1318, ,FD,Foot Locker,Y
1319, ,FD,L'OCCITANE EN PROVENCE,Y
1320, ,FD,Elena Mirò,Y
1321, ,FD,GEox,Y
1322, ,FD,Gioielleria Stroili,Y
1323, ,FD,Yamamay,Y
1324, ,Arch,Arch,N
1325, ,Advertising,AD,N
1326, ,FD,The Ink Well - Stationery and Gifts,Y
1327, ,FD,Vergelio,N
1328, ,IT,IT,N
1329, ,FD,Promod,N
1330, ,FD,SEPHORA MILANO BUENOS AIRES,Y
1331, ,IT,WIND,Y
