FID,Location,Type,Name_of_Co,Multinatio
3299, ,Art,Gallary,N
3300, ,FD,PANDORA,Y
3301, ,IT,Google,Y
3302, ,Publish,P,N
3303, ,IT,Software,N
3304, ,FD,T.E.V.E. srl,Y
3305, ,Art,Design,N
3306, ,FD,Cloth,N
3307, ,Arch,Arch,N
3308, ,Arch,Arch,N
3309, ,Film,Video,N
3310, ,Art,Design,N
3311, ,IT,IT,N
3312, ,Art,Theator,N
3313, ,FD,Cloth,N
3314, ,Music,Music,N
3315, ,Advertising,AD,N
3316, ,IT,IT,N
3317, ,Film,Video,N
3318, ,Art,Gallary,N
3319, ,Art,Gallary,N
3320, ,Art,Gallary,N
3321, ,IT,IT,N
3322, ,Publish,Publish,N
3323, ,Art,Design,N
3324, ,IT,IT,N
3325, ,Film,Video,N
3326, ,IT,IT,N
3327, ,Publish,P,N
3328, ,IT,Software,N
3329, ,"iT
IT",Software,N
3330, ,Craft,Craft,N
3331, ,Music,Music,N
3332, ,Music,Music,N
3333, ,Advertising,AD,N
3334, ,Film,VIdeo,N
3335, ,Art,Theator,N
3336, ,Art,Theator,N
3337, ,FD,Mabel,Y
3338, ,IT,IT,N
3339, ,Art,Deisgn,N
3340, ,IT,Game,N
3341, ,FD,HANGAR 107 - Milano,Y
3342, ,Art,Design,N
3343, ,Advertising,AD,N
3344, ,IT,IT,N
3345, ,Art,Museum,N
3346, ,Art,Theator,N
3347, ,Art,Dance,N
3348, ,Arch,Arch,N
3349, ,Arch,Arch,N
3350, ,Arch,Arch,N
3351, ,Art,Design,N
3352, ,Art,Theator,N
3353, ,Art,Museum,N
3354, ,IT,IT,N
3355, ,Art,Gallary,N
3356, ,IT,Game,N
3357, ,FD,Delsey,Y
3358, ,IT,IT,N
3359, ,Film,Photo,N
3360, ,IT,IT,N
3361, ,Art,Dance,N
3362, ,Craft,Craft,N
3363, ,IT,IT,"N
N"
3364, ,Craft,Craft,N
3365, ,Arch,Boeri,Y
3366, ,Arch,Arch,N
3367, ,Film,Video,N
3368, ,Art,Gallary,N
3369, ,Arch,Arch,N
3370, ,Advertising,AD,N
3371, ,Art,Model,N
3372, ,Art,Model,N
3373, ,Art,Dance,N
3374, ,Publish,P,N
3375, ,Film,Photo,N
3376, ,Publish,P,N
3377, ,Arch,Arch,N
3378, ,IT,IT,N
3379, ,Art,Design,N
3380, ,Art,Design,N
3381, ,Art,Design,N
3382, ,Arch,Arch,N
3383, ,IT,Software,N
3384, ,Film,TV,N
3385, ,Arch,Arch,N
3386, ,Advertising,AD,N
3387, ,Film,Video,N
3388, ,Film,Video,N
3389, ,Arch,Arch,N
3390, ,Music,Music,N
3391, ,Film,Cinema,N
3392, ,Advertising,AD,N
3393, ,IT,Data,N
3394, ,Art,Dance,N
3395, ,Advertising,AD,N
3396, ,Arch,Arch,N
3397, ,Art,Model,N
3398, ,Film,Photo,N
3399, ,Publish,P,N
3400, ,FIlm,Video,N
3401, ,IT,IT,N
3402, ,Art,Dance,N
3403, ,Art,Design,N
3404, ,Art,Dance,N
3405, ,Arch,Arch,N
