unit,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PC_HH,FI19	67 	69 	72 	80 	84 	85 	88 	87 	88 	92 	93 	92 
PC_HH,FI1B	: 	: 	: 	: 	90 	92 	93 	95 	95 	98 	96 	95 
PC_HH,FI1C	: 	: 	: 	: 	83 	88 	88 	86 	93 	91 	91 	94 
PC_HH,FI1D	62 	70 	75 	79 	81 	86 	86 	88 	89 	92 	91 	91 
PC_HH,FR10	: 	: 	: 	: 	: 	: 	84 	82 	85 	87 	87 	89 
PC_HH,FRB0	: 	: 	: 	: 	: 	: 	75 	76 	79 	77 	83 	80 
PC_HH,FRC1	: 	: 	: 	: 	: 	: 	69 	66 	77 	81 	75 	78 
PC_HH,FRC2	: 	: 	: 	: 	: 	: 	81 	71 	74 	72 	76 	79 
PC_HH,FRD1	: 	: 	: 	: 	: 	: 	65 	75 	80 	73 	79 	77 
PC_HH,FRD2	: 	: 	: 	: 	: 	: 	80 	73 	81 	75 	80 	79 
PC_HH,FRE1	: 	: 	: 	: 	: 	: 	79 	70 	76 	74 	80 	83 
PC_HH,FRE2	: 	: 	: 	: 	: 	: 	77 	76 	73 	77 	83 	80 
PC_HH,FRF1	: 	: 	: 	: 	: 	: 	76 	77 	80 	81 	82 	80 
PC_HH,FRF2	: 	: 	: 	: 	: 	: 	76 	74 	75 	76 	78 	77 
PC_HH,FRF3	: 	: 	: 	: 	: 	: 	74 	79 	82 	77 	81 	81 
PC_HH,FRG0	: 	: 	: 	: 	: 	: 	78 	80 	77 	77 	83 	85 
PC_HH,FRH0	: 	: 	: 	: 	: 	: 	73 	75 	74 	78 	81 	84 
PC_HH,FRI1	: 	: 	: 	: 	: 	: 	73 	78 	83 	80 	83 	83 
PC_HH,FRI2	: 	: 	: 	: 	: 	: 	72 	70 	71 	74 	63 	71 
PC_HH,FRI3	: 	: 	: 	: 	: 	: 	77 	72 	79 	73 	82 	83 
PC_HH,FRJ1	: 	: 	: 	: 	: 	: 	81 	69 	76 	77 	82 	80 
PC_HH,FRJ2	: 	: 	: 	: 	: 	: 	78 	76 	82 	82 	80 	82 
PC_HH,FRK1	: 	: 	: 	: 	: 	: 	72 	70 	78 	78 	80 	77 
PC_HH,FRK2	: 	: 	: 	: 	: 	: 	76 	79 	81 	81 	80 	85 
PC_HH,FRL0	: 	: 	: 	: 	: 	: 	75 	77 	81 	82 	81 	83 
PC_HH,FRM0	: 	: 	: 	: 	: 	: 	70 u	57 u	62 u	64 u	76 u	77 u
PC_HH,FRY1	: 	: 	: 	: 	: 	: 	: 	67 	55 	65 	58 	72 
PC_HH,FRY2	: 	: 	: 	: 	: 	: 	: 	55 	66 	72 	71 	76 
PC_HH,FRY3	: 	: 	: 	: 	: 	: 	: 	67 	46 	72 	56 	79 
PC_HH,FRY4	: 	: 	: 	: 	: 	: 	: 	65 	67 	55 	78 	66 
PC_HH,HR03	30 	41 	51 	58 	61 	64 	71 	81 	78 	73 	83 	84 
PC_HH,HR04	25 	39 	48 	56 	59 	64 	66 	73 	76 	77 	80 	79 
PC_HH,HU10	49 	: 	60 	67 	75 	78 	80 	83 	86 	89 	: 	: 
PC_HH,HU11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90 	92 
PC_HH,HU12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88 	88 
PC_HH,HU21	44 	: 	50 	60 	70 	71 	75 	78 	80 	85 	86 	88 
PC_HH,HU22	41 	: 	50 	62 	67 	70 	76 	77 	81 	83 	85 	85 
PC_HH,HU23	32 	: 	43 	53 	59 	64 	70 	72 	75 	80 	80 	85 
PC_HH,HU31	35 	: 	48 	54 	58 	65 	65 	68 	74 	75 	78 	81 
PC_HH,HU32	35 	: 	41 	52 	59 	62 	66 	67 	70 	76 	76 	82 
PC_HH,HU33	39 	: 	47 	54 	62 	62 	66 	68 	71 	76 	78 	81 
PC_HH,IE01	27 	44 	50 	60 	57 	59 	74 	78 	82 	83 	: 	: 
PC_HH,IE02	49 	57 	61 	68 	69 	70 	82 	84 	87 	90 	: 	: 
PC_HH,IE04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81 	84 
PC_HH,IE05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	87 	90 
PC_HH,IE06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	92 	93 
PC_HH,IS00	: 	87 	: 	: 	: 	: 	: 	: 	: 	96 	97 	95 
PC_HH,ITC1	29 	38 	48 	51 	53 	65 	71 	75 	78 	80 	84 	83 
PC_HH,ITC2	25 	34 	48 	52 	56 	67 	68 	76 	75 	74 	80 	85 
PC_HH,ITC3	30 	39 	48 	49 	57 	64 	68 	75 	76 	81 	85 	84 
PC_HH,ITC4	36 	43 	53 	58 	61 	71 	75 	78 	82 	83 	86 	87 
PC_HH,ITF1	26 	37 	49 	52 	51 	69 	69 	73 	78 	81 	82 	84 
PC_HH,ITF2	18 	26 	34 	43 	46 	59 	67 	71 	73 	75 	72 	77 
PC_HH,ITF3	27 	37 	41 	43 	45 	60 	64 	70 	70 	76 	77 	79 
PC_HH,ITF4	24 	29 	41 	37 	49 	60 	66 	68 	70 	74 	77 	77 
PC_HH,ITF5	22 	26 	41 	44 	43 	65 	61 	68 	70 	73 	78 	78 
PC_HH,ITF6	19 	26 	42 	43 	46 	59 	61 	65 	68 	69 	73 	77 
PC_HH,ITG1	22 	34 	39 	42 	49 	58 	62 	65 	69 	74 	74 	76 
PC_HH,ITG2	27 	36 	54 	56 	58 	70 	75 	74 	79 	79 	86 	84 
PC_HH,ITH1	32 	39 	50 	55 	59 	74 	79 	79 	76 	80 	84 	85 
PC_HH,ITH2	35 	44 	57 	58 	64 	71 	77 	80 	82 	82 	88 	91 
PC_HH,ITH3	32 	39 	54 	55 	60 	74 	73 	77 	80 	81 	86 	87 
PC_HH,ITH4	33 	43 	51 	56 	59 	70 	77 	79 	80 	80 	82 	87 
PC_HH,ITH5	: 	: 	: 	: 	60 	75 	77 	78 	81 	83 	88 	88 
PC_HH,ITI1	30 	43 	54 	58 	56 	72 	74 	75 	79 	80 	86 	86 
PC_HH,ITI2	30 	41 	51 	53 	58 	73 	71 	77 	79 	79 	83 	86 
PC_HH,ITI3	: 	: 	: 	: 	58 	72 	74 	77 	78 	82 	87 	86 
PC_HH,ITI4	38 	45 	53 	55 	58 	71 	73 	78 	80 	81 	85 	87 
PC_HH,LT00	: 	50 	54 	56 	60 	64 	65 	67 	71 	75 	: 	: 
PC_HH,LT01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81 	83 
PC_HH,LT02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77 	81 
PC_HH,LU00	61 	71 	70 	68 	68 	70 	93 	95 	97 	97 	93 b	95 
PC_HH,LV00	: 	: 	53 	59 	67 	70 	73 	74 	75 b	76 	79 	83 
PC_HH,MK00	: 	34 	37 	: 	58 	65 	68 	69 	75 	67 	78 	80 
PC_HH,MT00	: 	63 	69 	75 	77 	78 	80 	81 	81 	85 	84 	86 
PC_HH,NL11	79 	71 	75 	85 	87 	86 	92 	96 	98 	99 	99 	93 
PC_HH,NL12	74 	71 	74 	88 	81 	83 	95 	93 	95 	97 	96 	97 
PC_HH,NL13	63 	81 	77 	85 	86 	85 	94 	91 	95 	99 	94 	96 
PC_HH,NL21	77 	73 	82 	86 	88 	88 	96 	97 	95 	96 	98 	96 
PC_HH,NL22	73 	77 	74 	81 	82 	85 	96 	95 	96 	96 	98 	98 
PC_HH,NL23	71 	75 	84 	88 	92 	92 	90 	91 	100 	100 	93 	99 
PC_HH,NL31	76 	84 	84 	83 	79 	92 	96 	96 	96 	98 	97 	98 
PC_HH,NL32	79 	84 	85 	87 	85 	90 	94 	94 	94 	99 	98 	98 
PC_HH,NL33	74 	77 	80 	81 	84 	86 	94 	92 	95 	98 	97 	98 
PC_HH,NL34	66 	67 	71 	79 	88 	85 	97 	92 	92 	96 	97 	99 
PC_HH,NL41	71 	76 	79 	79 	86 	85 	93 	93 	96 	98 	98 	98 
PC_HH,NL42	71 	66 	77 	81 	84 	85 	95 	96 	93 	98 	96 	99 
PC_HH,NO01	76 	83 	86 	83 	90 	92 	95 	92 	96 	96 	94 	98 
PC_HH,NO02	76 	71 	75 	75 	82 	90 	77 	96 	93 	91 	98 	100 
PC_HH,NO03	73 	78 	81 	79 	84 	86 	88 	90 	97 	95 	92 	99 
PC_HH,NO04	66 	75 	81 	76 	89 	84 	84 	86 	98 	95 	99 	98 
PC_HH,NO05	69 	72 	86 	82 	83 	86 	87 	94 	99 	92 	92 	97 
PC_HH,NO06	78 	87 	84 	86 	83 	91 	83 	83 	99 	89 	93 	92 
PC_HH,NO07	74 	75 	79 	74 	83 	85 	90 	96 	91 	96 	91 	97 
PC_HH,PT11	36 	45 	48 	53 	56 	58 	61 	64 	70 	74 	74 	74 
PC_HH,PT15	44 	50 	55 	57 	60 	61 	64 	68 	71 	73 	74 	77 
PC_HH,PT16	31 	39 	45 	51 	54 	55 	57 	64 	68 	72 	73 	74 
PC_HH,PT17	50 	54 	59 	67 	72 	72 	72 	78 	82 	85 	86 	86 
PC_HH,PT18	34 	37 	42 	48 	47 	51 	53 	60 	62 	66 	67 	72 
PC_HH,PT20	39 	45 	51 	59 	64 	66 	69 	75 	79 	84 	84 	83 
PC_HH,PT30	41 	48 	51 	54 	60 	64 	67 	73 	78 	81 	81 	83 
PC_HH,RO11	13 	: 	28 	31 	51 	61 	60 b	70 	72 	80 	87 	85 
PC_HH,RO12	14 	: 	23 	28 	46 	52 	53 b	65 	67 	68 	76 	80 
PC_HH,RO21	9 	: 	17 	17 	41 	47 	51 b	57 	62 	68 	69 	77 
PC_HH,RO22	17 	: 	23 	25 	52 	56 	57 b	57 	67 	71 	69 	77 
PC_HH,RO31	12 	: 	23 	35 	48 	50 	51 b	61 	65 	70 	74 	79 
PC_HH,RO32	21 	: 	33 	54 	71 	78 	79 b	80 	88 	88 	94 	91 
PC_HH,RO41	11 	: 	15 	31 	48 	53 	52 b	62 	71 	69 	80 	83 
PC_HH,RO42	10 	: 	22 	30 	53 	61 	63 b	75 	74 	85 	85 	87 
PC_HH,RS11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	89 
PC_HH,RS12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81 
PC_HH,RS21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	74 
PC_HH,RS22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	70 
PC_HH,SE11	: 	84 	87 	91 	89 	: u	88 	85 	90 b	96 	93 	93 b
PC_HH,SE12	: 	79 	82 	86 	85 	: u	88 	82 	89 b	93 	91 	95 b
PC_HH,SE21	: 	75 	78 	84 	86 	: u	85 	76 	83 b	89 	91 	98 b
PC_HH,SE22	: 	80 	84 	87 	88 	: u	85 	80 	93 b	90 	94 	94 b
PC_HH,SE23	: 	79 	83 	83 	88 	: u	90 	86 	89 b	94 	92 	96 b
PC_HH,SE31	: 	78 	80 	80 	83 	: u	78 	78 	87 b	88 	89 	93 b
PC_HH,SE32	: 	73 	75 	82 	84 	: u	84 	85 	82 b	100 u	80 u	97 bu
PC_HH,SE33	: 	76 	79 	86 	86 	: u	85 	91 	85 b	97 	90 	96 b
PC_HH,SI01	: 	: 	: 	: 	: 	: 	73 	: 	: 	: 	: 	: 
PC_HH,SI02	: 	: 	: 	: 	: 	: 	78 	: 	: 	: 	: 	: 
PC_HH,SI03	: 	: 	: 	: 	: 	: 	: 	73 	77 	80 	84 	87 
PC_HH,SI04	: 	: 	: 	: 	: 	: 	: 	83 	80 	84 	90 	92 
PC_HH,SK01	39 	39 	57 	57 	80 	72 	78 	78 	84 	84 	87 	83 
PC_HH,SK02	35 	44 	48 	60 	71 	73 	76 	77 	77 	76 	80 	81 
PC_HH,SK03	37 	40 	43 	51 	67 	65 	74 	77 	74 	77 	75 	78 
PC_HH,SK04	33 	41 	54 	51 	74 	70 	78 	79 	80 	82 	77 	81 
