unit,c_unload,c_load,geo\time	2015 	2010 	2005 
PAS,AT12,CZ08,CZ	303 	180 	290 
PAS,AT12,DE11,DE	: 	: 	1061 
PAS,AT12,DE12,DE	: 	: 	477 
PAS,AT12,DE13,DE	: 	: 	283 
PAS,AT12,DE14,DE	: 	: 	464 
PAS,AT12,DE21,DE	: 	: 	4083 
PAS,AT12,DE22,DE	: 	: 	165 
PAS,AT12,DE23,DE	: 	: 	342 
PAS,AT12,DE24,DE	: 	: 	100 
PAS,AT12,DE25,DE	: 	: 	579 
PAS,AT12,DE26,DE	: 	: 	422 
PAS,AT12,DE27,DE	: 	: 	438 
PAS,AT12,DE30,DE	: 	: 	330 
PAS,AT12,DE41,DE	: 	: 	12 
PAS,AT12,DE42,DE	: 	: 	19 
PAS,AT12,DE50,DE	: 	: 	93 
PAS,AT12,DE60,DE	: 	: 	258 
PAS,AT12,DE71,DE	: 	: 	752 
PAS,AT12,DE72,DE	: 	: 	107 
PAS,AT12,DE73,DE	: 	: 	245 
PAS,AT12,DE80,DE	: 	: 	28 
PAS,AT12,DE91,DE	: 	: 	208 
PAS,AT12,DE92,DE	: 	: 	228 
PAS,AT12,DE93,DE	: 	: 	75 
PAS,AT12,DE94,DE	: 	: 	112 
PAS,AT12,DEA1,DE	: 	: 	376 
PAS,AT12,DEA2,DE	: 	: 	385 
PAS,AT12,DEA3,DE	: 	: 	99 
PAS,AT12,DEA4,DE	: 	: 	99 
PAS,AT12,DEA5,DE	: 	: 	183 
PAS,AT12,DEB1,DE	: 	: 	214 
PAS,AT12,DEB2,DE	: 	: 	50 
PAS,AT12,DEB3,DE	: 	: 	236 
PAS,AT12,DEC0,DE	: 	: 	77 
PAS,AT12,DED1,DE	: 	: 	52 
PAS,AT12,DED2,DE	: 	: 	106 
PAS,AT12,DED3,DE	: 	: 	87 
PAS,AT12,DEE1,DE	: 	: 	7 
PAS,AT12,DEE2,DE	: 	: 	56 
PAS,AT12,DEE3,DE	: 	: 	31 
PAS,AT12,DEF0,DE	: 	: 	125 
PAS,AT12,DEG0,DE	: 	: 	144 
PAS,AT12,DK,DK	: 	: 	23 
PAS,AT12,FR10,FR	: 	: 	: c
PAS,AT12,FR23,FR	: 	: 	: c
PAS,AT12,FR24,FR	: 	: 	: c
PAS,AT12,FR26,FR	: 	: 	: c
PAS,AT12,FR30,FR	: 	: 	: c
PAS,AT12,FR41,FR	: 	: 	: c
PAS,AT12,FR42,CY	: 	: z	: 
PAS,AT12,FR42,FR	: 	: 	: c
PAS,AT12,FR42,MT	: 	: z	: 
PAS,AT12,FR43,FR	: 	: 	: c
PAS,AT12,FR51,FR	: 	: 	: c
PAS,AT12,FR52,FR	: 	: 	: c
PAS,AT12,FR53,FR	: 	: 	: c
PAS,AT12,FR61,FR	: 	: 	: c
PAS,AT12,FR62,FR	: 	: 	: c
PAS,AT12,FR71,FR	: 	: 	: c
PAS,AT12,FR72,FR	: 	: 	: c
PAS,AT12,FR82,FR	: 	: 	: c
PAS,AT12,HR01,HR	: 	324 	: 
PAS,AT12,HR02,HR	: 	5 	: 
PAS,AT12,HR03,HR	32 	83 	: 
PAS,AT12,HR04,HR	200 	: 	: 
PAS,AT12,HU10,CY	: z	: 	: 
PAS,AT12,HU10,HU	1748 	: 	2938 
PAS,AT12,HU10,MT	: z	: 	: 
PAS,AT12,HU21,CY	: z	: 	: 
PAS,AT12,HU21,HU	12 	: 	5 
PAS,AT12,HU21,MT	: z	: 	: 
PAS,AT12,HU22,CY	: z	: 	: 
PAS,AT12,HU22,HU	6419 	: 	8014 
PAS,AT12,HU22,MT	: z	: 	: 
PAS,AT12,HU23,CY	: z	: 	: 
PAS,AT12,HU23,HU	44 	: 	3 
PAS,AT12,HU23,MT	: z	: 	: 
PAS,AT12,HU31,CY	: z	: 	: 
PAS,AT12,HU31,HU	11265 	: 	: 
PAS,AT12,HU31,MT	: z	: 	: 
PAS,AT12,HU32,CY	: z	: 	: 
PAS,AT12,HU32,HU	65 	: 	5 
PAS,AT12,HU32,MT	: z	: 	: 
PAS,AT12,HU33,CY	: z	: 	: 
PAS,AT12,HU33,HU	27 	: 	5 
PAS,AT12,HU33,MT	: z	: 	: 
PAS,AT12,ITC1,IT	: 	: 	: c
PAS,AT12,ITC4,CY	: 	: z	: 
PAS,AT12,ITC4,IT	: 	: 	: c
PAS,AT12,ITC4,MT	: 	: z	: 
PAS,AT12,ITD1,IT	: 	: 	: c
PAS,AT12,ITD3,CY	: 	: z	: 
PAS,AT12,ITD3,IT	: 	: 	: c
PAS,AT12,ITD3,MT	: 	: z	: 
PAS,AT12,ITD4,IT	: 	: 	: c
PAS,AT12,ITD5,CY	: 	: z	: 
PAS,AT12,ITD5,IT	: 	: 	: c
PAS,AT12,ITD5,MT	: 	: z	: 
PAS,AT12,ITE1,CY	: 	: z	: 
PAS,AT12,ITE1,IT	: 	: 	: c
PAS,AT12,ITE1,MT	: 	: z	: 
PAS,AT12,ITE2,CY	: 	: z	: 
PAS,AT12,ITE2,IT	: 	: 	: c
PAS,AT12,ITE2,MT	: 	: z	: 
PAS,AT12,ITE3,IT	: 	: 	: c
PAS,AT12,ITE4,CY	: 	: z	: 
PAS,AT12,ITE4,IT	: 	: 	: c
PAS,AT12,ITE4,MT	: 	: z	: 
PAS,AT12,LU,CY	: 	: z	: 
PAS,AT12,LU,LU	14 	31 	13 
PAS,AT12,LU,MT	: 	: z	: 
PAS,AT12,NL11,NL	: 	: 	8 
PAS,AT12,NL12,NL	: 	: 	4 
PAS,AT12,NL13,NL	: 	: 	1 
PAS,AT12,NL21,NL	: 	: 	19 
PAS,AT12,NL22,CY	: 	: z	: 
PAS,AT12,NL22,MT	: 	: z	: 
PAS,AT12,NL22,NL	: 	: 	76 
PAS,AT12,NL31,CY	: 	: z	: 
PAS,AT12,NL31,MT	: 	: z	: 
PAS,AT12,NL31,NL	: 	: 	92 
PAS,AT12,NL32,CY	: 	: z	: 
PAS,AT12,NL32,MT	: 	: z	: 
PAS,AT12,NL32,NL	: 	: 	98 
PAS,AT12,NL33,CY	: 	: z	: 
PAS,AT12,NL33,MT	: 	: z	: 
PAS,AT12,NL33,NL	: 	: 	63 
PAS,AT12,NL34,NL	: 	: 	12 
PAS,AT12,NL41,CY	: 	: z	: 
PAS,AT12,NL41,MT	: 	: z	: 
PAS,AT12,NL41,NL	: 	: 	50 
PAS,AT12,NL42,NL	: 	: 	1 
PAS,AT12,PL11,PL	: 	: 	1 
PAS,AT12,PL12,PL	4 	48 	59 
PAS,AT12,PL21,PL	1 	16 	105 
PAS,AT12,PL22,PL	5 	31 	32 
PAS,AT12,PL31,PL	1 	: 	1 
PAS,AT12,PL32,PL	: 	: 	4 
PAS,AT12,PL34,PL	: 	1 	3 
PAS,AT12,PL41,PL	: 	22 	17 
PAS,AT12,PL51,PL	: 	1 	8 
PAS,AT12,PL52,PL	: 	: 	2 
PAS,AT12,PL61,PL	: 	2 	: 
PAS,AT12,PL63,PL	: 	4 	6 
PAS,AT12,SI,SI	: 	: 	535 
PAS,AT12,SI01,SI	: 	88 	: 
PAS,AT12,SI02,SI	: 	220 	: 
PAS,AT12,SI03,SI	250 	: 	: 
PAS,AT12,SI04,SI	414 	: 	: 
PAS,AT12,SK01,SK	26528 	24226 	34984 
PAS,AT12,SK02,SK	724 	397 	209 
PAS,AT12,SK03,SK	300 	273 	85 
PAS,AT12,SK04,SK	1353 	1014 	227 
PAS,AT13,AT12,AT	445294 	: 	: 
PAS,AT13,AT12,CY	: z	: 	: 
PAS,AT13,AT12,MT	: z	: 	: 
PAS,AT13,AT13,AT	120338244 	: 	: c
PAS,AT13,AT13,CY	: z	: z	: 
PAS,AT13,AT13,MT	: z	: z	: 
PAS,AT13,AT21,AT	3330000 	: 	: c
PAS,AT13,AT21,CY	: z	: z	: 
PAS,AT13,AT21,MT	: z	: z	: 
PAS,AT13,AT22,AT	3070000 	: 	: c
PAS,AT13,AT22,CY	: z	: z	: 
PAS,AT13,AT22,MT	: z	: z	: 
PAS,AT13,AT31,AT	4918634 	: 	: c
PAS,AT13,AT31,CY	: z	: z	: 
PAS,AT13,AT31,MT	: z	: z	: 
PAS,AT13,AT32,AT	2626028 	: 	: c
PAS,AT13,AT32,CY	: z	: z	: 
PAS,AT13,AT32,MT	: z	: z	: 
PAS,AT13,AT33,AT	2720000 	: 	: c
PAS,AT13,AT33,CY	: z	: z	: 
PAS,AT13,AT33,MT	: z	: z	: 
PAS,AT13,AT34,AT	2910000 	: 	: c
PAS,AT13,AT34,CY	: z	: z	: 
PAS,AT13,AT34,MT	: z	: z	: 
PAS,AT13,BA,AT	34 	: 	: 
PAS,AT13,BA,CY	: z	: 	: 
PAS,AT13,BA,MT	: z	: 	: 
PAS,AT13,BE10,AT	65 	: 	: c
PAS,AT13,BE10,BE	114 	: 	133 
PAS,AT13,BE10,CY	: z	: z	: 
PAS,AT13,BE10,MT	: z	: z	: 
PAS,AT13,BE21,AT	12 	: 	: c
PAS,AT13,BE21,BE	25 	: 	29 
PAS,AT13,BE21,CY	: z	: z	: 
PAS,AT13,BE21,MT	: z	: z	: 
PAS,AT13,BE22,BE	5 	: 	6 
PAS,AT13,BE22,CY	: z	: 	: 
PAS,AT13,BE22,MT	: z	: 	: 
PAS,AT13,BE23,AT	: 	: 	: c
PAS,AT13,BE23,BE	4 	: 	5 
PAS,AT13,BE23,CY	: z	: z	: 
PAS,AT13,BE23,MT	: z	: z	: 
PAS,AT13,BE24,BE	3 	: 	4 
PAS,AT13,BE24,CY	: z	: 	: 
PAS,AT13,BE24,MT	: z	: 	: 
PAS,AT13,BE25,BE	14 	: 	16 
PAS,AT13,BE25,CY	: z	: 	: 
PAS,AT13,BE25,MT	: z	: 	: 
PAS,AT13,BE32,BE	2 	: 	2 
PAS,AT13,BE32,CY	: z	: 	: 
PAS,AT13,BE32,MT	: z	: 	: 
PAS,AT13,BE33,AT	: 	: 	: c
PAS,AT13,BE33,BE	37 	: 	43 
PAS,AT13,BE33,CY	: z	: z	: 
PAS,AT13,BE33,MT	: z	: z	: 
PAS,AT13,BG,AT	: 	: 	: c
PAS,AT13,BG41,AT	52 	: 	: 
PAS,AT13,BG41,CY	: z	: z	: 
PAS,AT13,BG41,MT	: z	: z	: 
PAS,AT13,CH01,AT	34579 	: 	: c
PAS,AT13,CH01,CH	2712 	: 	: 
PAS,AT13,CH01,CY	: z	: z	: 
PAS,AT13,CH01,MT	: z	: z	: 
PAS,AT13,CH02,AT	27945 	: 	: c
PAS,AT13,CH02,CH	4295 	: 	: 
PAS,AT13,CH02,CY	: z	: z	: 
PAS,AT13,CH02,MT	: z	: z	: 
PAS,AT13,CH03,AT	14833 	: 	: c
PAS,AT13,CH03,CH	8592 	: 	: 
PAS,AT13,CH03,CY	: z	: z	: 
PAS,AT13,CH03,MT	: z	: z	: 
PAS,AT13,CH04,AT	71235 	: 	: c
PAS,AT13,CH04,CH	15894 	: 	: 
PAS,AT13,CH04,CY	: z	: z	: 
PAS,AT13,CH04,MT	: z	: z	: 
PAS,AT13,CH05,AT	70978 	: 	: c
PAS,AT13,CH05,CH	12464 	: 	: 
PAS,AT13,CH05,CY	: z	: z	: 
PAS,AT13,CH05,MT	: z	: z	: 
PAS,AT13,CH06,AT	20472 	: 	: c
PAS,AT13,CH06,CH	1521 	: 	: 
PAS,AT13,CH06,CY	: z	: z	: 
PAS,AT13,CH06,MT	: z	: z	: 
PAS,AT13,CH07,CH	88 	: 	: 
PAS,AT13,CH07,CY	: 	: z	: 
PAS,AT13,CH07,MT	: 	: z	: 
PAS,AT13,CZ01,AT	151060 	: 	: c
PAS,AT13,CZ01,CY	: z	: z	: 
PAS,AT13,CZ01,CZ	187151 	67190 	43970 
PAS,AT13,CZ01,MT	: z	: z	: 
PAS,AT13,CZ02,CZ	562 	300 	250 
PAS,AT13,CZ03,AT	19761 	: 	: 
PAS,AT13,CZ03,CY	: z	: 	: 
PAS,AT13,CZ03,CZ	6122 	6760 	4290 
PAS,AT13,CZ03,MT	: z	: 	: 
PAS,AT13,CZ04,CZ	724 	460 	620 
PAS,AT13,CZ05,CZ	3839 	1330 	1510 
PAS,AT13,CZ06,AT	52237 	: 	: 
PAS,AT13,CZ06,CY	: z	: 	: 
PAS,AT13,CZ06,CZ	63343 	56270 	52740 
PAS,AT13,CZ06,MT	: z	: 	: 
PAS,AT13,CZ07,CZ	8714 	2290 	2750 
PAS,AT13,CZ08,CZ	8266 	2160 	3280 
PAS,AT13,CZZZ,AT	: 	: 	: c
PAS,AT13,CZZZ,CY	: 	: z	: 
PAS,AT13,CZZZ,MT	: 	: z	: 
PAS,AT13,DE11,DE	: 	: 	10531 
PAS,AT13,DE12,AT	22830 	: 	: c
PAS,AT13,DE12,CY	: z	: z	: 
PAS,AT13,DE12,DE	: 	: 	9285 
PAS,AT13,DE12,MT	: z	: z	: 
PAS,AT13,DE13,AT	22931 	: 	: c
PAS,AT13,DE13,CY	: z	: z	: 
PAS,AT13,DE13,DE	: 	: 	5383 
PAS,AT13,DE13,MT	: z	: z	: 
PAS,AT13,DE14,DE	: 	: 	5816 
PAS,AT13,DE21,AT	339886 	: 	: c
PAS,AT13,DE21,CY	: z	: z	: 
PAS,AT13,DE21,DE	: 	: 	76381 
PAS,AT13,DE21,MT	: z	: z	: 
PAS,AT13,DE22,DE	: 	: 	3089 
PAS,AT13,DE23,AT	21839 	: 	: c
PAS,AT13,DE23,CY	: z	: z	: 
PAS,AT13,DE23,DE	: 	: 	6668 
PAS,AT13,DE23,MT	: z	: z	: 
PAS,AT13,DE24,DE	: 	: 	2461 
PAS,AT13,DE25,AT	45664 	: 	: c
PAS,AT13,DE25,CY	: z	: z	: 
PAS,AT13,DE25,DE	: 	: 	14002 
PAS,AT13,DE25,MT	: z	: z	: 
PAS,AT13,DE26,AT	286 	: 	: 
PAS,AT13,DE26,CY	: z	: 	: 
PAS,AT13,DE26,DE	: 	: 	6304 
PAS,AT13,DE26,MT	: z	: 	: 
PAS,AT13,DE27,AT	23392 	: 	: c
PAS,AT13,DE27,CY	: z	: z	: 
PAS,AT13,DE27,DE	: 	: 	7312 
PAS,AT13,DE27,MT	: z	: z	: 
PAS,AT13,DE30,AT	104044 	: 	: c
PAS,AT13,DE30,CY	: z	: z	: 
PAS,AT13,DE30,DE	: 	: 	4873 
PAS,AT13,DE30,MT	: z	: z	: 
PAS,AT13,DE40,AT	60784 	: 	: 
PAS,AT13,DE40,CY	: z	: 	: 
PAS,AT13,DE40,MT	: z	: 	: 
PAS,AT13,DE41,AT	: 	: 	: c
PAS,AT13,DE41,CY	: 	: z	: 
PAS,AT13,DE41,DE	: 	: 	149 
PAS,AT13,DE41,MT	: 	: z	: 
PAS,AT13,DE42,DE	: 	: 	264 
PAS,AT13,DE50,DE	: 	: 	1201 
PAS,AT13,DE60,AT	72780 	: 	: c
PAS,AT13,DE60,CY	: z	: z	: 
PAS,AT13,DE60,DE	: 	: 	2984 
PAS,AT13,DE60,MT	: z	: z	: 
PAS,AT13,DE71,DE	: 	: 	17645 
PAS,AT13,DE72,DE	: 	: 	1570 
PAS,AT13,DE73,DE	: 	: 	4157 
PAS,AT13,DE80,DE	: 	: 	494 
PAS,AT13,DE91,DE	: 	: 	2866 
PAS,AT13,DE92,DE	: 	: 	2675 
PAS,AT13,DE93,DE	: 	: 	870 
PAS,AT13,DE94,DE	: 	: 	1381 
PAS,AT13,DEA1,DE	: 	: 	3126 
PAS,AT13,DEA2,AT	117903 	: 	: c
PAS,AT13,DEA2,CY	: z	: z	: 
PAS,AT13,DEA2,DE	: 	: 	5883 
PAS,AT13,DEA2,MT	: z	: z	: 
PAS,AT13,DEA3,DE	: 	: 	815 
PAS,AT13,DEA4,AT	119 	: 	: 
PAS,AT13,DEA4,CY	: z	: 	: 
PAS,AT13,DEA4,DE	: 	: 	1298 
PAS,AT13,DEA4,MT	: z	: 	: 
PAS,AT13,DEA5,AT	15334 	: 	: c
PAS,AT13,DEA5,CY	: z	: z	: 
PAS,AT13,DEA5,DE	: 	: 	1519 
PAS,AT13,DEA5,MT	: z	: z	: 
PAS,AT13,DEB1,DE	: 	: 	1466 
PAS,AT13,DEB2,DE	: 	: 	342 
PAS,AT13,DEB3,DE	: 	: 	3254 
PAS,AT13,DEC0,DE	: 	: 	1310 
PAS,AT13,DED1,DE	: 	: 	659 
PAS,AT13,DED2,DE	: 	: 	3797 
PAS,AT13,DED3,DE	: 	: 	1466 
PAS,AT13,DEE1,DE	: 	: 	188 
PAS,AT13,DEE2,DE	: 	: 	662 
PAS,AT13,DEE3,DE	: 	: 	379 
PAS,AT13,DEF0,DE	: 	: 	1606 
PAS,AT13,DEG0,DE	: 	: 	2199 
PAS,AT13,DK,DK	: 	: 	885 
PAS,AT13,DK01,AT	1220 	: 	: 
PAS,AT13,DK01,CY	: z	: 	: 
PAS,AT13,DK01,MT	: z	: 	: 
PAS,AT13,DK04,AT	45 	: 	: 
PAS,AT13,DK04,CY	: z	: 	: 
PAS,AT13,DK04,MT	: z	: 	: 
PAS,AT13,EL12,AT	: 	: 	: c
PAS,AT13,EL12,CY	: 	: z	: 
PAS,AT13,EL12,MT	: 	: z	: 
PAS,AT13,ES30,AT	: 	: 	: c
PAS,AT13,ES30,CY	: 	: z	: 
PAS,AT13,ES30,MT	: 	: z	: 
PAS,AT13,FI18,AT	: 	: 	: c
PAS,AT13,FI18,CY	: 	: z	: 
PAS,AT13,FI18,MT	: 	: z	: 
PAS,AT13,FR10,AT	154 	: 	: c
PAS,AT13,FR10,CY	: z	: z	: 
PAS,AT13,FR10,FR	: 	: 	: c
PAS,AT13,FR10,MT	: z	: z	: 
PAS,AT13,FR21,FR	: 	: 	: c
PAS,AT13,FR22,FR	: 	: 	: c
PAS,AT13,FR23,FR	: 	: 	: c
PAS,AT13,FR24,FR	: 	: 	: c
PAS,AT13,FR25,CY	: 	: z	: 
PAS,AT13,FR25,FR	: 	: 	: c
PAS,AT13,FR25,MT	: 	: z	: 
PAS,AT13,FR26,CY	: z	: 	: 
PAS,AT13,FR26,FR	1 	: 	: c
PAS,AT13,FR26,MT	: z	: 	: 
PAS,AT13,FR30,AT	87 	: 	: c
PAS,AT13,FR30,CY	: z	: z	: 
PAS,AT13,FR30,FR	: 	: 	: c
PAS,AT13,FR30,MT	: z	: z	: 
PAS,AT13,FR41,CY	: z	: z	: 
PAS,AT13,FR41,FR	0 	: 	: c
PAS,AT13,FR41,MT	: z	: z	: 
PAS,AT13,FR42,CY	: z	: z	: 
PAS,AT13,FR42,FR	22 	: 	: c
PAS,AT13,FR42,MT	: z	: z	: 
PAS,AT13,FR43,CY	: 	: z	: 
PAS,AT13,FR43,FR	: 	: 	: c
PAS,AT13,FR43,MT	: 	: z	: 
PAS,AT13,FR51,FR	: 	: 	: c
PAS,AT13,FR52,FR	: 	: 	: c
PAS,AT13,FR53,FR	: 	: 	: c
PAS,AT13,FR61,FR	: 	: 	: c
PAS,AT13,FR62,CY	: 	: z	: 
PAS,AT13,FR62,FR	: 	: 	: c
PAS,AT13,FR62,MT	: 	: z	: 
PAS,AT13,FR63,FR	: 	: 	: c
PAS,AT13,FR71,AT	18 	: 	: c
PAS,AT13,FR71,CY	: z	: z	: 
PAS,AT13,FR71,FR	8 	: 	: c
PAS,AT13,FR71,MT	: z	: z	: 
PAS,AT13,FR72,FR	: 	: 	: c
PAS,AT13,FR81,CY	: 	: z	: 
PAS,AT13,FR81,FR	: 	: 	: c
PAS,AT13,FR81,MT	: 	: z	: 
PAS,AT13,FR82,CY	: 	: z	: 
PAS,AT13,FR82,FR	: 	: 	: c
PAS,AT13,FR82,MT	: 	: z	: 
PAS,AT13,HR,AT	: 	: 	: c
PAS,AT13,HR01,HR	: 	4198 	: 
PAS,AT13,HR02,CY	: 	: z	: 
PAS,AT13,HR02,HR	: 	196 	: 
PAS,AT13,HR02,MT	: 	: z	: 
PAS,AT13,HR03,HR	: 	2315 	: 
PAS,AT13,HR04,AT	26102 	: 	: 
PAS,AT13,HR04,CY	: z	: 	: 
PAS,AT13,HR04,HR	7 	: 	: 
PAS,AT13,HR04,MT	: z	: 	: 
PAS,AT13,HU10,AT	363781 	: 	: c
PAS,AT13,HU10,CY	: z	: z	: 
PAS,AT13,HU10,HU	49091 	: 	104852 
PAS,AT13,HU10,MT	: z	: z	: 
