unit,c_unload,c_load,geo\time	2015 	2010 	2005 
PAS,BE21,DE50,MT	: z	: 	: 
PAS,BE21,DE60,BE	9 	: 	5 
PAS,BE21,DE60,CY	: z	: 	: 
PAS,BE21,DE60,DE	: 	: 	54 
PAS,BE21,DE60,MT	: z	: 	: 
PAS,BE21,DE71,BE	59 	: 	33 
PAS,BE21,DE71,CY	: z	: 	: 
PAS,BE21,DE71,DE	: 	: 	247 
PAS,BE21,DE71,MT	: z	: 	: 
PAS,BE21,DE72,BE	2 	: 	1 
PAS,BE21,DE72,CY	: z	: 	: 
PAS,BE21,DE72,DE	: 	: 	6 
PAS,BE21,DE72,MT	: z	: 	: 
PAS,BE21,DE73,DE	: 	: 	14 
PAS,BE21,DE80,DE	: 	: 	3 
PAS,BE21,DE91,BE	4 	: 	2 
PAS,BE21,DE91,CY	: z	: 	: 
PAS,BE21,DE91,DE	: 	: 	13 
PAS,BE21,DE91,MT	: z	: 	: 
PAS,BE21,DE92,BE	5 	: 	3 
PAS,BE21,DE92,CY	: z	: 	: 
PAS,BE21,DE92,DE	: 	: 	37 
PAS,BE21,DE92,MT	: z	: 	: 
PAS,BE21,DE93,DE	: 	: 	7 
PAS,BE21,DE94,BE	11 	: 	6 
PAS,BE21,DE94,CY	: z	: 	: 
PAS,BE21,DE94,DE	: 	: 	25 
PAS,BE21,DE94,MT	: z	: 	: 
PAS,BE21,DEA1,BE	20 	: 	11 
PAS,BE21,DEA1,CY	: z	: 	: 
PAS,BE21,DEA1,DE	: 	: 	132 
PAS,BE21,DEA1,MT	: z	: 	: 
PAS,BE21,DEA2,BE	135 	: 	76 
PAS,BE21,DEA2,CY	: z	: 	: 
PAS,BE21,DEA2,DE	: 	: 	270 
PAS,BE21,DEA2,MT	: z	: 	: 
PAS,BE21,DEA3,BE	4 	: 	2 
PAS,BE21,DEA3,CY	: z	: 	: 
PAS,BE21,DEA3,DE	: 	: 	23 
PAS,BE21,DEA3,MT	: z	: 	: 
PAS,BE21,DEA4,DE	: 	: 	18 
PAS,BE21,DEA5,BE	2 	: 	1 
PAS,BE21,DEA5,CY	: z	: 	: 
PAS,BE21,DEA5,DE	: 	: 	40 
PAS,BE21,DEA5,MT	: z	: 	: 
PAS,BE21,DEB1,BE	12 	: 	7 
PAS,BE21,DEB1,CY	: z	: 	: 
PAS,BE21,DEB1,DE	: 	: 	27 
PAS,BE21,DEB1,MT	: z	: 	: 
PAS,BE21,DEB2,DE	: 	: 	2 
PAS,BE21,DEB3,BE	7 	: 	4 
PAS,BE21,DEB3,CY	: z	: 	: 
PAS,BE21,DEB3,DE	: 	: 	35 
PAS,BE21,DEB3,MT	: z	: 	: 
PAS,BE21,DEC0,DE	: 	: 	2 
PAS,BE21,DED1,DE	: 	: 	2 
PAS,BE21,DED2,BE	5 	: 	3 
PAS,BE21,DED2,CY	: z	: 	: 
PAS,BE21,DED2,DE	: 	: 	7 
PAS,BE21,DED2,MT	: z	: 	: 
PAS,BE21,DED3,BE	: 	: 	4 
PAS,BE21,DED3,DE	: 	: 	17 
PAS,BE21,DEE1,DE	: 	: 	1 
PAS,BE21,DEE2,DE	: 	: 	5 
PAS,BE21,DEE3,DE	: 	: 	2 
PAS,BE21,DEF0,DE	: 	: 	13 
PAS,BE21,DEG0,DE	: 	: 	12 
PAS,BE21,DEXX,BE	7 	: 	: 
PAS,BE21,DEXX,CY	: z	: 	: 
PAS,BE21,DEXX,MT	: z	: 	: 
PAS,BE21,DK,DK	: 	: 	10 
PAS,BE21,FR10,BE	79570 	: 	44859 
PAS,BE21,FR10,CY	: z	: z	: 
PAS,BE21,FR10,FR	105593 	: 	: c
PAS,BE21,FR10,MT	: z	: z	: 
PAS,BE21,FR21,CY	: z	: z	: 
PAS,BE21,FR21,FR	7 	: 	: c
PAS,BE21,FR21,MT	: z	: z	: 
PAS,BE21,FR22,BE	5 	: 	3 
PAS,BE21,FR22,CY	: z	: z	: 
PAS,BE21,FR22,FR	118 	: 	: c
PAS,BE21,FR22,MT	: z	: z	: 
PAS,BE21,FR23,CY	: z	: z	: 
PAS,BE21,FR23,FR	45 	: 	: c
PAS,BE21,FR23,MT	: z	: z	: 
PAS,BE21,FR24,CY	: z	: z	: 
PAS,BE21,FR24,FR	14 	: 	: c
PAS,BE21,FR24,MT	: z	: z	: 
PAS,BE21,FR25,CY	: z	: z	: 
PAS,BE21,FR25,FR	3 	: 	: c
PAS,BE21,FR25,MT	: z	: z	: 
PAS,BE21,FR26,CY	: z	: z	: 
PAS,BE21,FR26,FR	2 	: 	: c
PAS,BE21,FR26,MT	: z	: z	: 
PAS,BE21,FR30,BE	397 	: 	224 
PAS,BE21,FR30,CY	: z	: z	: 
PAS,BE21,FR30,FR	6508 	: 	: c
PAS,BE21,FR30,MT	: z	: z	: 
PAS,BE21,FR41,BE	30 	: 	17 
PAS,BE21,FR41,CY	: z	: z	: 
PAS,BE21,FR41,FR	47 	: 	: c
PAS,BE21,FR41,MT	: z	: z	: 
PAS,BE21,FR42,BE	119 	: 	67 
PAS,BE21,FR42,CY	: z	: z	: 
PAS,BE21,FR42,FR	128 	: 	: c
PAS,BE21,FR42,MT	: z	: z	: 
PAS,BE21,FR43,BE	7 	: 	4 
PAS,BE21,FR43,CY	: z	: z	: 
PAS,BE21,FR43,FR	1 	: 	: c
PAS,BE21,FR43,MT	: z	: z	: 
PAS,BE21,FR51,CY	: z	: z	: 
PAS,BE21,FR51,FR	43 	: 	: c
PAS,BE21,FR51,MT	: z	: z	: 
PAS,BE21,FR52,BE	2 	: 	1 
PAS,BE21,FR52,CY	: z	: z	: 
PAS,BE21,FR52,FR	20 	: 	: c
PAS,BE21,FR52,MT	: z	: z	: 
PAS,BE21,FR53,CY	: z	: z	: 
PAS,BE21,FR53,FR	26 	: 	: c
PAS,BE21,FR53,MT	: z	: z	: 
PAS,BE21,FR61,BE	4 	: 	2 
PAS,BE21,FR61,CY	: z	: z	: 
PAS,BE21,FR61,FR	14 	: 	: c
PAS,BE21,FR61,MT	: z	: z	: 
PAS,BE21,FR62,BE	2 	: 	1 
PAS,BE21,FR62,CY	: z	: z	: 
PAS,BE21,FR62,FR	2 	: 	: c
PAS,BE21,FR62,MT	: z	: z	: 
PAS,BE21,FR63,CY	: z	: z	: 
PAS,BE21,FR63,FR	7 	: 	: c
PAS,BE21,FR63,MT	: z	: z	: 
PAS,BE21,FR71,BE	568 	: 	320 
PAS,BE21,FR71,CY	: z	: z	: 
PAS,BE21,FR71,FR	103 	: 	: c
PAS,BE21,FR71,MT	: z	: z	: 
PAS,BE21,FR72,CY	: 	: z	: 
PAS,BE21,FR72,FR	: 	: 	: c
PAS,BE21,FR72,MT	: 	: z	: 
PAS,BE21,FR81,BE	2 	: 	1 
PAS,BE21,FR81,CY	: z	: z	: 
PAS,BE21,FR81,FR	3 	: 	: c
PAS,BE21,FR81,MT	: z	: z	: 
PAS,BE21,FR82,BE	275 	: 	155 
PAS,BE21,FR82,CY	: z	: z	: 
PAS,BE21,FR82,FR	528 	: 	: c
PAS,BE21,FR82,MT	: z	: z	: 
PAS,BE21,HU10,HU	: 	: 	205 
PAS,BE21,ITC1,IT	: 	: 	: c
PAS,BE21,ITC3,IT	: 	: 	: c
PAS,BE21,ITC4,BE	2 	: 	1 
PAS,BE21,ITC4,CY	: z	: 	: 
PAS,BE21,ITC4,IT	: 	: 	: c
PAS,BE21,ITC4,MT	: z	: 	: 
PAS,BE21,ITD3,IT	: 	: 	: c
PAS,BE21,ITD5,BE	: 	: 	1 
PAS,BE21,ITD5,IT	: 	: 	: c
PAS,BE21,ITF4,IT	: 	: 	: c
PAS,BE21,ITXX,BE	2 	: 	: 
PAS,BE21,ITXX,CY	: z	: 	: 
PAS,BE21,ITXX,MT	: z	: 	: 
PAS,BE21,LU,BE	181 	: 	102 
PAS,BE21,LU,CY	: z	: z	: 
PAS,BE21,LU,LU	6368 	4824 	6437 
PAS,BE21,LU,MT	: z	: z	: 
PAS,BE21,NL11,BE	48 	: 	27 
PAS,BE21,NL11,CY	: z	: z	: 
PAS,BE21,NL11,MT	: z	: z	: 
PAS,BE21,NL11,NL	3281 	: 	2583 
PAS,BE21,NL12,BE	90 	: 	51 
PAS,BE21,NL12,CY	: z	: z	: 
PAS,BE21,NL12,MT	: z	: z	: 
PAS,BE21,NL12,NL	2074 	: 	1634 
PAS,BE21,NL13,BE	21 	: 	12 
PAS,BE21,NL13,CY	: z	: z	: 
PAS,BE21,NL13,MT	: z	: z	: 
PAS,BE21,NL13,NL	1249 	: 	981 
PAS,BE21,NL21,BE	124 	: 	70 
PAS,BE21,NL21,CY	: z	: z	: 
PAS,BE21,NL21,MT	: z	: z	: 
PAS,BE21,NL21,NL	6121 	: 	4827 
PAS,BE21,NL22,BE	218 	: 	123 
PAS,BE21,NL22,CY	: z	: z	: 
PAS,BE21,NL22,MT	: z	: z	: 
PAS,BE21,NL22,NL	17576 	: 	13855 
PAS,BE21,NL23,BE	25 	: 	14 
PAS,BE21,NL23,CY	: z	: z	: 
PAS,BE21,NL23,MT	: z	: z	: 
PAS,BE21,NL23,NL	3059 	: 	2407 
PAS,BE21,NL31,BE	333 	: 	188 
PAS,BE21,NL31,CY	: z	: z	: 
PAS,BE21,NL31,MT	: z	: z	: 
PAS,BE21,NL31,NL	24807 	: 	19554 
PAS,BE21,NL32,BE	18713 	: 	10550 
PAS,BE21,NL32,CY	: z	: z	: 
PAS,BE21,NL32,MT	: z	: z	: 
PAS,BE21,NL32,NL	166021 	: 	130841 
PAS,BE21,NL33,BE	5378 	: 	3032 
PAS,BE21,NL33,CY	: z	: z	: 
PAS,BE21,NL33,MT	: z	: z	: 
PAS,BE21,NL33,NL	195246 	: 	153876 
PAS,BE21,NL34,BE	46 	: 	26 
PAS,BE21,NL34,CY	: z	: z	: 
PAS,BE21,NL34,MT	: z	: z	: 
PAS,BE21,NL34,NL	8351 	: 	6579 
PAS,BE21,NL41,BE	5586 	: 	3149 
PAS,BE21,NL41,CY	: z	: z	: 
PAS,BE21,NL41,MT	: z	: z	: 
PAS,BE21,NL41,NL	125988 	: 	99292 
PAS,BE21,NL42,BE	50 	: 	28 
PAS,BE21,NL42,CY	: z	: z	: 
PAS,BE21,NL42,MT	: z	: z	: 
PAS,BE21,NL42,NL	5316 	: 	4188 
PAS,BE21,NLXX,BE	35 	: 	20 
PAS,BE21,NLXX,CY	: z	: 	: 
PAS,BE21,NLXX,MT	: z	: 	: 
PAS,BE21,PL12,PL	: 	2 	1 
PAS,BE21,PL63,PL	: 	: 	4 
PAS,BE21,SI,SI	: 	: 	4 
PAS,BE21,SI02,SI	: 	3 	: 
PAS,BE21,SK01,SK	2 	: 	: 
PAS,BE21,SK02,SK	: 	: 	2 
PAS,BE21,UA,BE	: 	: 	1 
PAS,BE21,UKXX,BE	2 	: 	: 
PAS,BE21,UKXX,CY	: z	: 	: 
PAS,BE21,UKXX,MT	: z	: 	: 
PAS,BE22,AT33,BE	5 	: 	3 
PAS,BE22,AT33,CY	: z	: 	: 
PAS,BE22,AT33,MT	: z	: 	: 
PAS,BE22,BE10,BE	165334 	: 	128080 
PAS,BE22,BE10,CY	: z	: 	: 
PAS,BE22,BE10,MT	: z	: 	: 
PAS,BE22,BE21,BE	441369 	: 	341917 
PAS,BE22,BE21,CY	: z	: 	: 
PAS,BE22,BE21,MT	: z	: 	: 
PAS,BE22,BE22,BE	1043848 	: 	808641 
PAS,BE22,BE22,CY	: z	: 	: 
PAS,BE22,BE22,MT	: z	: 	: 
PAS,BE22,BE23,BE	95247 	: 	73785 
PAS,BE22,BE23,CY	: z	: 	: 
PAS,BE22,BE23,MT	: z	: 	: 
PAS,BE22,BE24,BE	872918 	: 	676226 
PAS,BE22,BE24,CY	: z	: 	: 
PAS,BE22,BE24,MT	: z	: 	: 
PAS,BE22,BE25,BE	131440 	: 	101823 
PAS,BE22,BE25,CY	: z	: 	: 
PAS,BE22,BE25,MT	: z	: 	: 
PAS,BE22,BE31,BE	2327 	: 	1803 
PAS,BE22,BE31,CY	: z	: 	: 
PAS,BE22,BE31,MT	: z	: 	: 
PAS,BE22,BE32,BE	6117 	: 	4739 
PAS,BE22,BE32,CY	: z	: 	: 
PAS,BE22,BE32,MT	: z	: 	: 
PAS,BE22,BE33,BE	57526 	: 	44564 
PAS,BE22,BE33,CY	: z	: 	: 
PAS,BE22,BE33,MT	: z	: 	: 
PAS,BE22,BE34,BE	1124 	: 	871 
PAS,BE22,BE34,CY	: z	: 	: 
PAS,BE22,BE34,MT	: z	: 	: 
PAS,BE22,BE35,BE	4033 	: 	3124 
PAS,BE22,BE35,CY	: z	: 	: 
PAS,BE22,BE35,MT	: z	: 	: 
PAS,BE22,BEXX,BE	1 	: 	1 
PAS,BE22,BEXX,CY	: z	: 	: 
PAS,BE22,BEXX,MT	: z	: 	: 
PAS,BE22,CH01,BE	2 	: 	1 
PAS,BE22,CH01,CY	: z	: 	: 
PAS,BE22,CH01,MT	: z	: 	: 
PAS,BE22,CH02,BE	2 	: 	1 
PAS,BE22,CH02,CY	: z	: 	: 
PAS,BE22,CH02,MT	: z	: 	: 
PAS,BE22,CH04,BE	7 	: 	4 
PAS,BE22,CH04,CY	: z	: 	: 
PAS,BE22,CH04,MT	: z	: 	: 
PAS,BE22,CH05,BE	2 	: 	1 
PAS,BE22,CH05,CY	: z	: 	: 
PAS,BE22,CH05,MT	: z	: 	: 
PAS,BE22,CZ01,BE	2 	: 	1 
PAS,BE22,CZ01,CY	: z	: 	: 
PAS,BE22,CZ01,MT	: z	: 	: 
PAS,BE22,DE11,DE	: 	: 	15 
PAS,BE22,DE12,BE	7 	: 	4 
PAS,BE22,DE12,CY	: z	: 	: 
PAS,BE22,DE12,DE	: 	: 	13 
PAS,BE22,DE12,MT	: z	: 	: 
PAS,BE22,DE13,DE	: 	: 	11 
PAS,BE22,DE14,DE	: 	: 	4 
PAS,BE22,DE21,DE	: 	: 	5 
PAS,BE22,DE22,DE	: 	: 	1 
PAS,BE22,DE23,DE	: 	: 	3 
PAS,BE22,DE24,DE	: 	: 	1 
PAS,BE22,DE25,DE	: 	: 	4 
PAS,BE22,DE26,DE	: 	: 	1 
PAS,BE22,DE27,DE	: 	: 	2 
PAS,BE22,DE30,DE	: 	: 	3 
PAS,BE22,DE50,DE	: 	: 	3 
PAS,BE22,DE60,DE	: 	: 	6 
PAS,BE22,DE71,DE	: 	: 	22 
PAS,BE22,DE73,DE	: 	: 	3 
PAS,BE22,DE91,DE	: 	: 	3 
PAS,BE22,DE92,DE	: 	: 	2 
PAS,BE22,DE93,DE	: 	: 	1 
PAS,BE22,DE94,DE	: 	: 	3 
PAS,BE22,DEA1,BE	7 	: 	4 
PAS,BE22,DEA1,CY	: z	: 	: 
PAS,BE22,DEA1,DE	: 	: 	11 
PAS,BE22,DEA1,MT	: z	: 	: 
PAS,BE22,DEA2,BE	5 	: 	3 
PAS,BE22,DEA2,CY	: z	: 	: 
PAS,BE22,DEA2,DE	: 	: 	31 
PAS,BE22,DEA2,MT	: z	: 	: 
PAS,BE22,DEA3,DE	: 	: 	3 
PAS,BE22,DEA4,DE	: 	: 	3 
PAS,BE22,DEA5,DE	: 	: 	5 
PAS,BE22,DEB1,DE	: 	: 	4 
PAS,BE22,DEB2,BE	2 	: 	1 
PAS,BE22,DEB2,CY	: z	: 	: 
PAS,BE22,DEB2,MT	: z	: 	: 
PAS,BE22,DEB3,DE	: 	: 	2 
PAS,BE22,DED2,DE	: 	: 	2 
PAS,BE22,DED3,DE	: 	: 	1 
PAS,BE22,DEE2,DE	: 	: 	1 
PAS,BE22,DEF0,DE	: 	: 	4 
PAS,BE22,DEG0,DE	: 	: 	2 
PAS,BE22,FR10,CY	: z	: 	: 
PAS,BE22,FR10,FR	1 	: 	: 
PAS,BE22,FR10,MT	: z	: 	: 
PAS,BE22,FR22,CY	: z	: 	: 
PAS,BE22,FR22,FR	1 	: 	: 
PAS,BE22,FR22,MT	: z	: 	: 
PAS,BE22,FR24,FR	: 	: 	: c
PAS,BE22,FR30,BE	7 	: 	4 
PAS,BE22,FR30,CY	: z	: z	: 
PAS,BE22,FR30,FR	22 	: 	: c
PAS,BE22,FR30,MT	: z	: z	: 
PAS,BE22,FR41,CY	: z	: z	: 
PAS,BE22,FR41,FR	4 	: 	: c
PAS,BE22,FR41,MT	: z	: z	: 
PAS,BE22,FR42,CY	: z	: 	: 
PAS,BE22,FR42,FR	1 	: 	: 
PAS,BE22,FR42,MT	: z	: 	: 
PAS,BE22,ITC3,IT	: 	: 	: c
PAS,BE22,ITE1,IT	: 	: 	: c
PAS,BE22,ITF4,IT	: 	: 	: c
PAS,BE22,LU,BE	5 	: 	3 
PAS,BE22,LU,CY	: z	: z	: 
PAS,BE22,LU,LU	494 	374 	540 
PAS,BE22,LU,MT	: z	: z	: 
PAS,BE22,NL11,CY	: 	: z	: 
PAS,BE22,NL11,MT	: 	: z	: 
PAS,BE22,NL11,NL	: 	: 	51 
PAS,BE22,NL12,CY	: 	: z	: 
PAS,BE22,NL12,MT	: 	: z	: 
PAS,BE22,NL12,NL	: 	: 	9 
PAS,BE22,NL13,CY	: 	: z	: 
PAS,BE22,NL13,MT	: 	: z	: 
PAS,BE22,NL13,NL	: 	: 	12 
PAS,BE22,NL21,CY	: 	: z	: 
PAS,BE22,NL21,MT	: 	: z	: 
PAS,BE22,NL21,NL	: 	: 	79 
PAS,BE22,NL22,BE	5 	: 	3 
PAS,BE22,NL22,CY	: z	: z	: 
PAS,BE22,NL22,MT	: z	: z	: 
PAS,BE22,NL22,NL	153 	: 	122 
PAS,BE22,NL23,CY	: 	: z	: 
PAS,BE22,NL23,MT	: 	: z	: 
PAS,BE22,NL23,NL	: 	: 	30 
PAS,BE22,NL31,BE	7 	: 	4 
PAS,BE22,NL31,CY	: z	: z	: 
PAS,BE22,NL31,MT	: z	: z	: 
PAS,BE22,NL31,NL	251 	: 	195 
PAS,BE22,NL32,BE	92 	: 	52 
PAS,BE22,NL32,CY	: z	: z	: 
PAS,BE22,NL32,MT	: z	: z	: 
PAS,BE22,NL32,NL	2024 	: 	1593 
PAS,BE22,NL33,BE	20 	: 	11 
PAS,BE22,NL33,CY	: z	: z	: 
PAS,BE22,NL33,MT	: z	: z	: 
PAS,BE22,NL33,NL	2391 	: 	1883 
PAS,BE22,NL34,CY	: 	: z	: 
PAS,BE22,NL34,MT	: 	: z	: 
PAS,BE22,NL34,NL	: 	: 	40 
PAS,BE22,NL41,BE	4 	: 	2 
PAS,BE22,NL41,CY	: z	: z	: 
PAS,BE22,NL41,MT	: z	: z	: 
PAS,BE22,NL41,NL	639 	: 	505 
PAS,BE22,NL42,BE	2 	: 	1 
PAS,BE22,NL42,CY	: z	: z	: 
PAS,BE22,NL42,MT	: z	: z	: 
PAS,BE22,NL42,NL	163 	: 	125 
PAS,BE23,AT13,AT	: 	: 	: c
PAS,BE23,AT13,BE	2 	: 	1 
PAS,BE23,AT13,CY	: z	: z	: 
PAS,BE23,AT13,MT	: z	: z	: 
PAS,BE23,AT21,AT	: 	: 	: c
PAS,BE23,AT21,BE	5 	: 	3 
PAS,BE23,AT21,CY	: z	: z	: 
PAS,BE23,AT21,MT	: z	: z	: 
PAS,BE23,AT22,AT	: 	: 	: c
PAS,BE23,AT22,CY	: 	: z	: 
PAS,BE23,AT22,MT	: 	: z	: 
PAS,BE23,AT31,AT	: 	: 	: c
PAS,BE23,AT31,CY	: 	: z	: 
PAS,BE23,AT31,MT	: 	: z	: 
PAS,BE23,AT32,AT	: 	: 	: c
PAS,BE23,AT32,BE	5 	: 	3 
PAS,BE23,AT32,CY	: z	: z	: 
PAS,BE23,AT32,MT	: z	: z	: 
PAS,BE23,AT33,AT	: 	: 	: c
PAS,BE23,AT33,BE	419 	: 	236 
PAS,BE23,AT33,CY	: z	: z	: 
PAS,BE23,AT33,MT	: z	: z	: 
PAS,BE23,AT34,AT	: 	: 	: c
PAS,BE23,AT34,BE	2 	: 	1 
PAS,BE23,AT34,CY	: z	: z	: 
PAS,BE23,AT34,MT	: z	: z	: 
PAS,BE23,BE10,BE	1442934 	: 	1117802 
PAS,BE23,BE10,CY	: z	: 	: 
PAS,BE23,BE10,MT	: z	: 	: 
PAS,BE23,BE21,BE	1489333 	: 	1153746 
PAS,BE23,BE21,CY	: z	: 	: 
PAS,BE23,BE21,MT	: z	: 	: 
PAS,BE23,BE22,BE	89425 	: 	69275 
PAS,BE23,BE22,CY	: z	: 	: 
PAS,BE23,BE22,MT	: z	: 	: 
PAS,BE23,BE23,BE	13351224 	: 	10342833 
PAS,BE23,BE23,CY	: z	: 	: 
PAS,BE23,BE23,MT	: z	: 	: 
PAS,BE23,BE24,BE	1194667 	: 	925476 
PAS,BE23,BE24,CY	: z	: 	: 
PAS,BE23,BE24,MT	: z	: 	: 
PAS,BE23,BE25,BE	3939938 	: 	3052164 
PAS,BE23,BE25,CY	: z	: 	: 
PAS,BE23,BE25,MT	: z	: 	: 
PAS,BE23,BE31,BE	23566 	: 	18256 
PAS,BE23,BE31,CY	: z	: 	: 
PAS,BE23,BE31,MT	: z	: 	: 
PAS,BE23,BE32,BE	98130 	: 	76019 
PAS,BE23,BE32,CY	: z	: 	: 
PAS,BE23,BE32,MT	: z	: 	: 
PAS,BE23,BE33,BE	28221 	: 	21862 
PAS,BE23,BE33,CY	: z	: 	: 
PAS,BE23,BE33,MT	: z	: 	: 
PAS,BE23,BE34,BE	8484 	: 	6572 
PAS,BE23,BE34,CY	: z	: 	: 
PAS,BE23,BE34,MT	: z	: 	: 
PAS,BE23,BE35,BE	15800 	: 	12240 
PAS,BE23,BE35,CY	: z	: 	: 
PAS,BE23,BE35,MT	: z	: 	: 
PAS,BE23,BEXX,BE	121 	: 	94 
PAS,BE23,BEXX,CY	: z	: 	: 
PAS,BE23,BEXX,MT	: z	: 	: 
PAS,BE23,CH01,BE	34 	: 	19 
PAS,BE23,CH01,CY	: z	: 	: 
PAS,BE23,CH01,MT	: z	: 	: 
PAS,BE23,CH02,BE	20 	: 	11 
PAS,BE23,CH02,CY	: z	: 	: 
PAS,BE23,CH02,MT	: z	: 	: 
PAS,BE23,CH03,BE	9 	: 	5 
PAS,BE23,CH03,CY	: z	: 	: 
PAS,BE23,CH03,MT	: z	: 	: 
PAS,BE23,CH04,BE	14 	: 	8 
PAS,BE23,CH04,CY	: z	: 	: 
PAS,BE23,CH04,MT	: z	: 	: 
PAS,BE23,CH05,BE	32 	: 	18 
PAS,BE23,CH05,CY	: z	: 	: 
PAS,BE23,CH05,MT	: z	: 	: 
PAS,BE23,CH06,BE	4 	: 	2 
PAS,BE23,CH06,CY	: z	: 	: 
PAS,BE23,CH06,MT	: z	: 	: 
PAS,BE23,CHXX,BE	2 	: 	1 
PAS,BE23,CHXX,CY	: z	: 	: 
PAS,BE23,CHXX,MT	: z	: 	: 
PAS,BE23,CZ01,CZ	1 	: 	10 
PAS,BE23,CZ04,CZ	3 	: 	30 
PAS,BE23,CZ08,CZ	: 	: 	10 
PAS,BE23,DE11,BE	18 	: 	10 
PAS,BE23,DE11,CY	: z	: 	: 
PAS,BE23,DE11,DE	: 	: 	36 
PAS,BE23,DE11,MT	: z	: 	: 
PAS,BE23,DE12,BE	14 	: 	8 
PAS,BE23,DE12,CY	: z	: 	: 
PAS,BE23,DE12,DE	: 	: 	49 
PAS,BE23,DE12,MT	: z	: 	: 
PAS,BE23,DE13,BE	16 	: 	9 
PAS,BE23,DE13,CY	: z	: 	: 
PAS,BE23,DE13,DE	: 	: 	11 
PAS,BE23,DE13,MT	: z	: 	: 
PAS,BE23,DE14,BE	2 	: 	1 
PAS,BE23,DE14,CY	: z	: 	: 
PAS,BE23,DE14,DE	: 	: 	8 
PAS,BE23,DE14,MT	: z	: 	: 
PAS,BE23,DE21,BE	12 	: 	7 
PAS,BE23,DE21,CY	: z	: 	: 
PAS,BE23,DE21,DE	: 	: 	25 
PAS,BE23,DE21,MT	: z	: 	: 
PAS,BE23,DE22,DE	: 	: 	3 
PAS,BE23,DE23,DE	: 	: 	2 
PAS,BE23,DE24,DE	: 	: 	2 
PAS,BE23,DE25,BE	7 	: 	4 
PAS,BE23,DE25,CY	: z	: 	: 
PAS,BE23,DE25,DE	: 	: 	9 
PAS,BE23,DE25,MT	: z	: 	: 
PAS,BE23,DE26,BE	5 	: 	3 
PAS,BE23,DE26,CY	: z	: 	: 
PAS,BE23,DE26,DE	: 	: 	13 
PAS,BE23,DE26,MT	: z	: 	: 
PAS,BE23,DE27,DE	: 	: 	6 
PAS,BE23,DE30,BE	7 	: 	4 
PAS,BE23,DE30,CY	: z	: 	: 
PAS,BE23,DE30,DE	: 	: 	18 
PAS,BE23,DE30,MT	: z	: 	: 
PAS,BE23,DE41,DE	: 	: 	1 
PAS,BE23,DE42,DE	: 	: 	1 
PAS,BE23,DE50,BE	2 	: 	1 
PAS,BE23,DE50,CY	: z	: 	: 
PAS,BE23,DE50,DE	: 	: 	12 
PAS,BE23,DE50,MT	: z	: 	: 
PAS,BE23,DE60,BE	2 	: 	1 
PAS,BE23,DE60,CY	: z	: 	: 
PAS,BE23,DE60,DE	: 	: 	24 
PAS,BE23,DE60,MT	: z	: 	: 
PAS,BE23,DE71,BE	44 	: 	25 
PAS,BE23,DE71,CY	: z	: 	: 
PAS,BE23,DE71,DE	: 	: 	129 
PAS,BE23,DE71,MT	: z	: 	: 
PAS,BE23,DE72,DE	: 	: 	5 
PAS,BE23,DE73,DE	: 	: 	22 
PAS,BE23,DE80,DE	: 	: 	1 
PAS,BE23,DE91,BE	2 	: 	1 
PAS,BE23,DE91,CY	: z	: 	: 
PAS,BE23,DE91,DE	: 	: 	10 
PAS,BE23,DE91,MT	: z	: 	: 
PAS,BE23,DE92,DE	: 	: 	14 
PAS,BE23,DE93,DE	: 	: 	4 
PAS,BE23,DE94,BE	2 	: 	1 
PAS,BE23,DE94,CY	: z	: 	: 
PAS,BE23,DE94,DE	: 	: 	8 
PAS,BE23,DE94,MT	: z	: 	: 
PAS,BE23,DEA1,BE	34 	: 	19 
PAS,BE23,DEA1,CY	: z	: 	: 
PAS,BE23,DEA1,DE	: 	: 	48 
PAS,BE23,DEA1,MT	: z	: 	: 
PAS,BE23,DEA2,BE	98 	: 	55 
PAS,BE23,DEA2,CY	: z	: 	: 
PAS,BE23,DEA2,DE	: 	: 	138 
PAS,BE23,DEA2,MT	: z	: 	: 
PAS,BE23,DEA3,BE	4 	: 	2 
PAS,BE23,DEA3,CY	: z	: 	: 
PAS,BE23,DEA3,DE	: 	: 	10 
PAS,BE23,DEA3,MT	: z	: 	: 
PAS,BE23,DEA4,DE	: 	: 	7 
PAS,BE23,DEA5,BE	7 	: 	4 
PAS,BE23,DEA5,CY	: z	: 	: 
PAS,BE23,DEA5,DE	: 	: 	18 
PAS,BE23,DEA5,MT	: z	: 	: 
PAS,BE23,DEB1,DE	: 	: 	9 
PAS,BE23,DEB2,BE	2 	: 	1 
PAS,BE23,DEB2,CY	: z	: 	: 
PAS,BE23,DEB2,DE	: 	: 	3 
PAS,BE23,DEB2,MT	: z	: 	: 
PAS,BE23,DEB3,BE	7 	: 	4 
PAS,BE23,DEB3,CY	: z	: 	: 
PAS,BE23,DEB3,DE	: 	: 	16 
PAS,BE23,DEB3,MT	: z	: 	: 
PAS,BE23,DEC0,BE	: 	: 	2 
PAS,BE23,DEC0,DE	: 	: 	1 
PAS,BE23,DED1,DE	: 	: 	2 
PAS,BE23,DED2,BE	2 	: 	1 
PAS,BE23,DED2,CY	: z	: 	: 
PAS,BE23,DED2,DE	: 	: 	3 
PAS,BE23,DED2,MT	: z	: 	: 
PAS,BE23,DED3,BE	: 	: 	5 
PAS,BE23,DED3,DE	: 	: 	11 
