unit,geo\time	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 
GDP_BEUR,AT213	2.103 p	3.742 	1.768 	5.17 	4.896 	2.65 	3.222 	1.292 	3.899 	2.616 	3.724 	2.506 	5.602 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT22	6.396 p	6.822 	7.302 	7.621 	6.538 	6.012 	7.442 	5.99 	6.478 	7.45 	6.706 	6.139 	6.421 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT221	7.97 p	9.068 	9.735 	9.771 	8.432 	7.646 	9.606 	7.524 	8.594 	9.984 	9.226 	7.799 	9.221 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT222	1.948 p	2.906 	1.109 	1.312 	0.12 	0.149 	1.555 	1.739 	1.563 	: 	: 	1.074 	0.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT223	5.234 p	6.336 	5.267 	6.922 	5.977 	4.981 	4.671 	6.231 	6.54 	6.964 	3.823 	4.806 	7.044 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT224	5.089 p	4.353 	4.196 	5.518 	4.742 	4.125 	3.774 	3.113 	3.371 	4.015 	4.514 	3.297 	3.153 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT225	5.922 p	6.472 	8.712 	8.526 	7.233 	6.75 	10.124 	6.62 	5.982 	7.305 	6.425 	7.081 	4.359 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT226	6.602 p	3.588 	6.835 	4.603 	4.617 	6.276 	8.498 	5.028 	5.552 	7.221 	8.14 	8.021 	4.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT3	6.52 p	7.898 	8.379 	7.597 	7.24 	7.632 	7.424 	7.345 	7.23 	6.63 	6.588 	7.013 	7.209 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT31	6.624 p	7.741 	8.443 	8.183 	6.724 	7.265 	7.601 	7.117 	7.392 	6.602 	7.125 	6.933 	7.136 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
