unit,geo\time	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 
GDP_BEUR,ITI31	2.328 p	2.735 	3.187 	4.057 	3.146 	2.988 	3.438 	2.959 	2.262 	2.137 	4.115 	2.57 	2.995 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITI32	3.322 p	4.214 	5.121 	4.914 	3.612 	4.472 	3.706 	3.361 	2.537 	3.175 	2.374 	2.503 	3.494 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITI33	1.434 p	1.749 	2.596 	2.217 	2.541 	3.665 	2.909 	3.848 	3.598 	2.772 	2.189 	2.462 	3.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITI34	1.368 p	1.941 	1.678 	1.261 	2.327 	2.177 	1.664 	1.197 	0.999 	0.387 	2.102 	1.743 	1.189 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITI35	1.482 p	2.773 	2.32 	3.384 	1.915 	1.526 	1.402 	1.305 	1.485 	1.52 	0.857 	1.698 	1.208 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITI4	0.71 p	1.151 	1.232 	0.94 	1.239 	1.173 	1.31 	1.411 	1.276 	1.376 	1.194 	1.394 	1.527 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITI41	0.487 p	0.376 	0.826 	0.562 	1.034 	0.019 	0.705 	0.905 	0.761 	0.693 	1.141 	0.994 	0.251 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITI42	0.528 p	1.389 	2.039 	0.314 	0.437 	0.603 	0.303 	1.222 	0.969 	0.707 	1.143 	1.295 	1.796 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITI43	0.773 p	1.238 	1.271 	1.01 	1.318 	1.297 	1.373 	1.455 	1.371 	1.449 	1.195 	1.435 	1.726 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITI44	0.307 p	0.758 	0.825 	0.527 	0.812 	0.667 	1.053 	1.135 	0.801 	1.173 	0.88 	1.449 	0.444 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITI45	0.481 p	0.77 	1.159 	0.822 	0.978 	0.975 	1.438 	1.53 	1.02 	1.296 	1.565 	1.074 	0.809 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITZ	1.611 p	5.175 	1.812 	4.839 	4.062 	5.847 	5.194 	4.442 	10.867 	2.418 	9.361 	10.98 	6.637 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITZZ	1.611 p	5.175 	1.812 	4.839 	4.062 	5.847 	5.194 	4.442 	10.867 	2.418 	9.361 	10.98 	6.637 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ITZZZ	1.611 p	5.175 	1.812 	4.839 	4.062 	5.847 	5.194 	4.442 	11.319 	2.418 	9.361 	10.98 	6.637 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT	0.78 p	0.571 	0.567 	0.309 	0.508 	0.337 	0.402 	0.419 	0.61 	1.011 	0.175 	0.23 	0.355 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT0	0.78 p	0.571 	0.567 	0.309 	0.508 	0.337 	0.402 	0.419 	0.61 	1.011 	0.175 	0.23 	0.355 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT00	0.78 p	0.571 	0.567 	0.309 	0.508 	0.337 	0.402 	0.419 	0.61 	1.011 	0.175 	0.23 	0.355 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT001	0.898 p	: 	1.026 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT002	0.399 p	0.278 	0.408 	0.584 	0.554 	0.501 	0.324 	0.637 	1.446 	2.489 	0.208 	: 	0.455 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT003	0.249 p	0.784 	0.435 	: 	: 	: 	: 	: 	0.048 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT004	0.87 p	0.477 	: 	0.127 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT005	0.19 p	0.52 	0.59 	: 	0.497 	0.193 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT006	0.531 p	0.642 	0.482 	0.104 	: 	: 	: 	0.413 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.559 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT008	: 	: 	: 	: 	0.715 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT009	0.917 p	: 	0.203 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LT00A	1.374 p	0.855 	0.836 	0.482 	0.883 	0.582 	0.884 	0.717 	0.91 	1.451 	0.186 	0.628 	0.764 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LU	1.328 p	1.649 	1.926 	2.066 	2.468 	1.971 	3.187 	3.259 	4.117 	3.369 	2.452 	3.081 	3.424 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LU0	1.328 p	1.649 	1.926 	2.066 	2.441 	1.971 	3.172 	3.259 	4.117 	3.369 	2.452 	3.06 	3.424 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LU00	1.328 p	1.649 	1.926 	2.066 	2.441 	1.971 	3.172 	3.259 	4.117 	3.369 	2.452 	3.06 	3.424 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LU000	1.328 p	1.649 	1.926 	2.066 	2.441 	1.971 	3.172 	3.259 	4.117 	3.369 	2.452 	3.06 	3.424 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LV	1.118 p	0.888 	0.888 	0.996 	0.936 	0.692 	0.953 	1.3 	0.842 	0.679 	0.673 	0.548 	1.071 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LV0	1.119 p	0.883 	0.889 	0.992 	0.908 	0.693 	0.954 	1.301 	0.842 	0.68 	0.673 	0.549 	1.072 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LV00	1.119 p	0.883 	0.889 	0.992 	0.908 	0.693 	0.954 	1.301 	0.842 	0.68 	0.673 	0.549 	1.072 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LV003	0.824 p	: 	0.137 	: 	0.379 	: 	0.102 	: 	: 	0.134 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LV005	0.182 p	0.066 	0.234 	: 	: 	: 	0.82 	0.962 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LV006	1.536 p	0.985 	1.398 	1.426 	1.341 	1.105 	1 	1.792 	0.891 	0.781 	1.135 	0.838 	1.802 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LV007	1.242 p	1.71 	0.745 	1.102 	0.679 	0.727 	2.593 	2.027 	2.891 	2.045 	0.517 	0.802 	0.875 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LV008	0.245 p	: 	: 	: 	0.214 	: 	: 	0.158 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LV009	0.24 p	1.502 	0.17 	1.142 	0.525 	: 	: 	: 	0.225 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LVZ	: 	3.667 	: 	3.611 	16.222 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LVZZ	: 	3.667 	: 	3.611 	16.222 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,LVZZZ	: 	3.667 	: 	3.611 	16.222 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,MT	0.692 p	0.048 	0.53 	1.271 	0.897 	1.129 	1.272 	2.188 	1.233 	0.678 	0.844 	1.2 	1.024 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,MT0	0.554 p	: 	0.531 	1.024 	0.491 	0.87 	1.274 	2.193 	1.235 	0.679 	0.846 	0.871 	1.026 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,MT00	0.554 p	: 	0.531 	1.024 	0.491 	0.87 	1.274 	2.193 	1.235 	0.679 	0.846 	0.871 	1.026 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,MT001	0.584 p	: 	0.561 	1.081 	0.517 	0.827 	1.348 	2.232 	1.09 	0.719 	0.899 	0.93 	1.098 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,MT002	: 	: 	: 	: 	: 	1.65 	: 	1.511 	3.731 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,MTZ	71.429 p	23.571 	: 	117.692 	192.308 	115.385 	: 	: 	: 	: 	: 	187.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,MTZZ	71.429 p	23.571 	: 	117.692 	192.308 	115.385 	: 	: 	: 	: 	: 	187.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,MTZZZ	71.429 p	23.571 	: 	117.692 	192.308 	115.385 	: 	: 	: 	: 	: 	187.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL	4.098 p	5.326 	4.813 	5.555 	5.389 	5.434 	6.439 	6.427 	6.985 	6.906 	7.19 	8.233 	7.743 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL1	1.074 p	1.75 	1.918 	2.258 	2.345 	2.249 	2.426 	2.132 	2.742 	2.719 	2.684 	2.407 	2.994 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL11	0.692 p	1.581 	1.401 	1.947 	1.921 	2.123 	2.096 	1.732 	2.057 	2.413 	2.925 	2.292 	2.752 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL111	1.384 p	3.7 	1.626 	2.344 	4.278 	1.592 	2.64 	3.44 	4.024 	3.488 	3.164 	3.797 	4.468 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL112	1.628 p	3.459 	0.108 	1.032 	3.038 	: 	4.31 	0.684 	1.178 	1.824 	2.338 	1.08 	0.715 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL113	0.573 p	1.229 	1.444 	1.945 	1.594 	2.344 	1.886 	1.574 	1.836 	2.297 	2.936 	2.156 	2.663 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL12	1.341 p	2.159 	2.546 	2.347 	2.617 	1.994 	2.077 	2.474 	2.723 	2.458 	2.05 	2.48 	2.479 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL121	1.198 p	1.867 	2.866 	1.658 	2.672 	1.722 	1.918 	1.905 	2.347 	1.286 	1.128 	1.179 	1.199 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL122	3.118 p	3.774 	1.93 	3.263 	3.144 	1.661 	1.913 	2.957 	2.669 	6.861 	3.075 	4.215 	3.854 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL123	0.869 p	1.986 	2.282 	3.105 	2.273 	2.597 	2.417 	3.237 	3.417 	2.452 	3.237 	4.022 	4.081 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL13	1.62 p	1.567 	2.216 	2.77 	2.912 	2.806 	3.532 	2.45 	4.014 	3.595 	3.051 	2.516 	4.051 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL131	1.84 p	1.638 	1.904 	2.608 	2.166 	2.533 	3.279 	2.9 	3.855 	3.372 	3.312 	3.064 	5.179 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL132	1.75 p	1.657 	2.976 	2.978 	4.4 	3.272 	4.491 	3.663 	3.938 	3.873 	3.421 	2.687 	4.376 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL133	1.162 p	1.366 	1.742 	2.734 	1.99 	2.557 	2.646 	0.258 	4.338 	3.548 	2.183 	1.467 	2.008 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL2	3.005 p	3.751 	4.054 	4.159 	3.947 	4.097 	4.407 	4.812 	4.93 	3.782 	3.936 	4.406 	4.954 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL21	3.27 p	4.068 	4.405 	4.888 	4.261 	4.497 	4.03 	4.494 	4.275 	2.82 	3.481 	4.082 	4.429 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL211	2.263 p	2.792 	3.024 	2.819 	3.146 	3.892 	2.6 	2.297 	3.123 	1.351 	1.697 	2.365 	2.595 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL212	2.322 p	2.646 	3.386 	4.418 	3.303 	2.315 	3.729 	4.322 	2.196 	3.336 	3.382 	3.768 	7.524 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL213	4.145 p	5.223 	5.53 	6.312 	5.235 	5.411 	5.039 	5.974 	5.56 	3.626 	4.654 	5.267 	4.825 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL22	3.007 p	3.983 	4.297 	4.207 	4.122 	4.184 	5.02 	5.463 	5.655 	4.511 	4.42 	4.791 	5.353 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL221	2.785 p	3.942 	4.61 	4.071 	3.936 	5.112 	5.828 	6.097 	6.541 	4.63 	5.086 	5.282 	5.326 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL224	3.296 p	4.254 	2.348 	3.122 	3.298 	2.478 	4.711 	4.303 	5.286 	2.156 	3.969 	2.465 	3.464 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL225	4.693 p	3.607 	5.022 	5.417 	4.878 	4.944 	5.643 	6.206 	6.933 	6.759 	5.837 	5.725 	7.866 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL226	2.396 p	4.108 	4.307 	4.137 	4.216 	3.513 	4.092 	4.91 	4.397 	4.106 	3.351 	4.664 	4.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL23	2.19 p	1.463 	1.655 	1.582 	2.034 	2.471 	2.183 	2.133 	2.82 	2.568 	2.462 	3.072 	4.199 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL230	2.19 p	1.463 	1.655 	1.582 	2.034 	2.471 	2.183 	2.133 	2.82 	2.568 	2.462 	3.072 	4.199 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL3	2.421 p	2.936 	3.005 	3.301 	3.386 	3.542 	3.716 	3.461 	3.609 	3.546 	3.524 	3.396 	3.991 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL31	2.306 p	2.227 	3.386 	3.649 	3.637 	3.977 	4.279 	4.362 	3.978 	3.837 	3.916 	3.585 	4.405 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL310	2.306 p	2.227 	3.386 	3.649 	3.637 	3.977 	4.279 	4.362 	3.978 	3.837 	3.916 	3.585 	4.405 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL32	1.733 p	2.561 	2.313 	2.527 	2.461 	3.026 	3.227 	2.506 	3.214 	2.791 	2.864 	2.766 	3.428 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL321	1.909 p	2.782 	1.91 	3.042 	1.837 	3.341 	3.161 	3.131 	3.104 	2.318 	3.046 	3.192 	2.331 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL322	1.413 p	3.086 	2.867 	3.321 	3.743 	2.543 	4.745 	3.791 	5.103 	3.482 	5.226 	1.983 	3.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL323	5.405 p	8.153 	4.238 	2.902 	1.759 	1.996 	3.595 	1.496 	2.588 	1.617 	3.234 	1.84 	4.547 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL324	2.132 p	2.525 	2.97 	2.276 	4.142 	4.038 	4.03 	4.75 	5.594 	3.314 	3.295 	5.154 	3.257 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL325	2.203 p	1.918 	3.567 	2.165 	1.709 	6.543 	3.31 	2.893 	3.918 	4.537 	5.951 	4.774 	3.797 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL326	1.43 p	2.122 	1.937 	2.363 	2.268 	2.536 	2.573 	2.049 	2.474 	2.567 	2.247 	2.441 	3.365 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL327	1.895 p	2.84 	3.38 	2.888 	3.361 	5.285 	6.461 	3.613 	6.15 	3.964 	3.801 	3.074 	4.198 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL33	3.146 p	3.617 	3.561 	3.908 	4.029 	3.866 	4.021 	4.074 	3.874 	4.198 	4.073 	3.973 	4.377 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL332	1.936 p	2.334 	3.432 	4.646 	4.557 	3.901 	3.991 	4.129 	3.001 	3.582 	3.129 	3.385 	3.406 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL333	16.1 p	19.233 	13.599 	9.965 	11.778 	9.548 	9.166 	8.446 	8.096 	8.147 	8.908 	5.604 	6.411 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL337	3.222 p	4.571 	4.932 	6.165 	5.173 	4.55 	5.759 	4.812 	7.523 	5.226 	5.793 	6.143 	8.016 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL338	2.11 p	1.975 	1.887 	2.695 	2.889 	3.819 	4.828 	3.502 	2.75 	5.272 	3.785 	3.844 	4.243 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL339	2.169 p	2.243 	2.494 	2.383 	2.585 	3.082 	2.838 	3.503 	3.339 	3.739 	3.685 	3.532 	4.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,NL33A	2.62 p	2.855 	1.887 	3.242 	3.396 	2.653 	3.549 	3.191 	2.779 	3.216 	3.187 	3.959 	2.962 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
