unit,nstr24,geo\time	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
THS_T,02,ES415	483 	317 	209 	288 	167 	71 	157 	172 	102 
THS_T,02,ES416	395 	417 	344 	661 	266 	220 	225 	243 	221 
THS_T,02,ES417	37 	30 	73 	29 	10 	28 	27 	9 	17 
THS_T,02,ES418	801 	666 	418 	827 	468 	604 	497 	433 	345 
THS_T,02,ES419	75 	159 	167 	176 	205 	68 	34 	132 	29 
THS_T,02,ES421	1347 	866 	717 	887 	791 	630 	406 	418 	505 
THS_T,02,ES422	1121 	491 	454 	647 	367 	361 	347 	270 	320 
THS_T,02,ES423	158 	164 	285 	184 	316 	182 	335 	173 	171 
THS_T,02,ES424	51 	24 	38 	27 	2 	13 	: 	1 	34 
THS_T,02,ES425	273 	625 	255 	213 	155 	159 	123 	120 	150 
THS_T,02,ES431	480 	597 	1275 	737 	808 	772 	326 	349 	785 
THS_T,02,ES432	84 	166 	301 	60 	342 	211 	164 	223 	138 
THS_T,02,ES511	2750 	2523 	2221 	2191 	1198 	1218 	1167 	985 	762 
THS_T,02,ES512	250 	218 	118 	146 	235 	74 	441 	138 	138 
THS_T,02,ES513	1766 	1694 	1263 	1434 	1178 	1354 	1361 	1523 	1091 
THS_T,02,ES514	1088 	1186 	1380 	848 	422 	543 	541 	509 	423 
THS_T,02,ES521	2602 	2051 	2064 	1761 	1486 	1329 	949 	1126 	1059 
THS_T,02,ES522	931 	1023 	1001 	1094 	1349 	1148 	1088 	936 	501 
THS_T,02,ES523	7074 	4461 	5570 	3707 	3674 	4174 	3552 	3482 	2931 
THS_T,02,ES53	: 	: 	: 	: 	281 	176 	303 	117 	262 
THS_T,02,ES530	292 	459 	291 	178 	281 	176 	303 	117 	262 
THS_T,02,ES611	1764 	2324 	1665 	1696 	1725 	1556 	1683 	1209 	1008 
THS_T,02,ES612	595 	458 	633 	837 	366 	451 	507 	432 	287 
THS_T,02,ES613	211 	703 	335 	502 	394 	460 	273 	263 	206 
THS_T,02,ES614	503 	877 	441 	552 	839 	388 	412 	291 	317 
THS_T,02,ES615	1049 	857 	949 	718 	609 	592 	376 	269 	434 
THS_T,02,ES616	139 	26 	9 	15 	38 	109 	28 	35 	60 
THS_T,02,ES617	615 	514 	385 	527 	284 	424 	154 	139 	152 
THS_T,02,ES618	2846 	1827 	1785 	1173 	1461 	1230 	703 	691 	1083 
THS_T,02,ES62	: 	: 	: 	: 	4974 	5057 	3586 	3256 	2434 
THS_T,02,ES620	4838 	4775 	5891 	6043 	4974 	5057 	3586 	3256 	2434 
THS_T,02,ES701	1143 	503 	733 	415 	360 	448 	152 	224 	662 
THS_T,02,ES702	665 	968 	927 	627 	544 	467 	423 	342 	756 
THS_T,02,FI131	125 	: 	10 	21 	3 	35 	44 	28 	18 
THS_T,02,FI132	124 	64 	72 	32 	: 	67 	124 	51 	15 
THS_T,02,FI133	15 	: 	: 	29 	: 	42 	16 	4 	: 
THS_T,02,FI134	: 	: 	: 	: 	: 	3 	: 	: 	6 
THS_T,02,FI181	197 	236 	324 	489 	417 	463 	342 	359 	534 
THS_T,02,FI182	: 	: 	1 	: 	: 	: 	8 	48 	: 
THS_T,02,FI183	323 	212 	101 	140 	107 	216 	274 	169 	128 
THS_T,02,FI184	105 	50 	32 	81 	: 	83 	20 	19 	4 
THS_T,02,FI185	125 	: 	: 	25 	7 	44 	: 	: 	389 
THS_T,02,FI186	: 	8 	94 	16 	27 	55 	46 	65 	113 
THS_T,02,FI187	: 	: 	: 	27 	: 	: 	: 	20 	37 
THS_T,02,FI191	: 	281 	: 	69 	251 	38 	167 	130 	163 
THS_T,02,FI192	5 	: 	46 	194 	77 	: 	234 	129 	73 
THS_T,02,FI193	: 	: 	24 	126 	: 	: 	: 	11 	17 
THS_T,02,FI194	24 	: 	90 	138 	46 	219 	87 	898 	285 
THS_T,02,FI195	78 	311 	101 	126 	133 	134 	153 	215 	295 
THS_T,02,FI1A1	: 	: 	180 	50 	: 	17 	11 	22 	26 
THS_T,02,FI1A2	160 	: 	126 	: 	109 	241 	213 	39 	73 
THS_T,02,FI1A3	: 	: 	: 	: 	5 	9 	: 	: 	21 
THS_T,02,FR101	110 	64 	215 	285 	21 	199 	133 	103 	28 
THS_T,02,FR102	1730 	1593 	1946 	1343 	1243 	1529 	1464 	616 	789 
THS_T,02,FR103	187 	570 	695 	509 	172 	182 	198 	184 	284 
THS_T,02,FR104	1928 	2265 	2178 	3043 	2335 	2326 	1799 	1709 	1384 
THS_T,02,FR105	280 	310 	125 	126 	70 	200 	291 	207 	156 
THS_T,02,FR106	225 	213 	148 	509 	271 	100 	324 	90 	82 
THS_T,02,FR107	2743 	2706 	3325 	3318 	3555 	2874 	2432 	2060 	3093 
THS_T,02,FR108	787 	831 	742 	784 	586 	821 	652 	342 	567 
THS_T,02,FR211	143 	130 	153 	136 	184 	230 	87 	257 	336 
THS_T,02,FR212	612 	542 	455 	196 	385 	675 	145 	354 	315 
THS_T,02,FR213	1087 	1567 	1295 	1504 	2507 	1448 	1008 	1032 	1368 
THS_T,02,FR214	439 	249 	221 	87 	127 	266 	253 	179 	105 
THS_T,02,FR221	604 	2823 	800 	910 	684 	1139 	817 	1682 	1424 
THS_T,02,FR222	1031 	923 	625 	1195 	965 	914 	843 	724 	1094 
THS_T,02,FR223	1652 	1188 	2094 	1308 	793 	799 	570 	1402 	847 
THS_T,02,FR231	993 	810 	1010 	547 	574 	423 	445 	388 	326 
THS_T,02,FR232	1333 	1240 	1398 	1427 	1154 	1368 	1017 	837 	1040 
THS_T,02,FR241	494 	311 	316 	299 	204 	307 	370 	315 	228 
THS_T,02,FR242	449 	428 	293 	228 	301 	254 	318 	304 	346 
THS_T,02,FR243	153 	520 	88 	119 	52 	182 	65 	45 	26 
THS_T,02,FR244	1052 	950 	825 	1054 	904 	1317 	1706 	1061 	1095 
THS_T,02,FR245	236 	295 	375 	132 	263 	146 	94 	130 	110 
THS_T,02,FR246	1106 	1193 	923 	712 	1089 	1075 	675 	685 	765 
THS_T,02,FR251	1426 	1871 	1855 	1606 	841 	1206 	1251 	543 	603 
THS_T,02,FR252	607 	502 	544 	471 	461 	620 	444 	326 	686 
THS_T,02,FR253	837 	308 	291 	238 	311 	316 	152 	256 	155 
THS_T,02,FR261	371 	753 	1019 	298 	319 	426 	403 	355 	192 
THS_T,02,FR262	21 	24 	39 	19 	15 	13 	: 	: 	22 
THS_T,02,FR263	771 	925 	465 	377 	563 	812 	569 	191 	251 
THS_T,02,FR264	471 	556 	806 	1541 	530 	422 	313 	375 	202 
THS_T,02,FR301	2582 	2945 	2905 	2771 	3531 	2778 	2143 	1993 	2622 
THS_T,02,FR302	5991 	4695 	4177 	3741 	3382 	2717 	2159 	3063 	1669 
THS_T,02,FR411	781 	523 	544 	426 	377 	162 	237 	180 	157 
THS_T,02,FR412	237 	444 	262 	298 	256 	189 	72 	121 	191 
THS_T,02,FR413	603 	670 	755 	376 	528 	597 	563 	353 	321 
THS_T,02,FR414	199 	310 	212 	264 	225 	371 	351 	436 	182 
THS_T,02,FR421	1668 	2156 	1317 	1437 	1742 	1592 	910 	771 	838 
THS_T,02,FR422	966 	672 	606 	284 	479 	464 	297 	523 	270 
THS_T,02,FR431	149 	70 	100 	155 	95 	182 	74 	103 	71 
THS_T,02,FR432	86 	204 	94 	143 	82 	78 	42 	295 	64 
THS_T,02,FR433	45 	5 	83 	55 	1 	30 	25 	18 	45 
THS_T,02,FR434	52 	58 	27 	3 	9 	18 	14 	31 	61 
THS_T,02,FR511	2200 	1905 	1802 	1720 	1828 	1731 	1832 	1354 	1319 
THS_T,02,FR512	1162 	1121 	1586 	1034 	1209 	1417 	1773 	1658 	1190 
THS_T,02,FR513	554 	528 	335 	323 	296 	338 	282 	276 	342 
THS_T,02,FR514	1039 	913 	1197 	1342 	1394 	1160 	761 	1032 	936 
THS_T,02,FR515	438 	437 	576 	559 	722 	578 	590 	369 	359 
THS_T,02,FR521	1017 	1423 	854 	1160 	791 	600 	753 	476 	761 
THS_T,02,FR522	1384 	1367 	1683 	1612 	2087 	2430 	1428 	1180 	1910 
THS_T,02,FR523	2290 	2109 	1713 	1921 	1536 	1586 	1503 	961 	1364 
THS_T,02,FR524	1681 	1309 	1936 	1530 	1232 	1472 	1440 	1025 	998 
THS_T,02,FR531	267 	400 	341 	552 	278 	231 	179 	280 	187 
THS_T,02,FR532	553 	287 	279 	260 	207 	663 	275 	390 	151 
THS_T,02,FR533	416 	632 	571 	1437 	389 	534 	536 	441 	556 
THS_T,02,FR534	262 	268 	400 	409 	314 	301 	313 	155 	291 
THS_T,02,FR611	110 	443 	126 	104 	109 	236 	209 	229 	175 
THS_T,02,FR612	1041 	1509 	1238 	1302 	1730 	1653 	1642 	910 	933 
THS_T,02,FR613	416 	634 	529 	524 	523 	605 	627 	486 	468 
THS_T,02,FR614	1051 	1359 	1039 	982 	1051 	1130 	1325 	1304 	752 
THS_T,02,FR615	252 	342 	215 	407 	330 	561 	540 	277 	179 
THS_T,02,FR621	5 	6 	48 	14 	13 	224 	94 	11 	15 
THS_T,02,FR622	142 	151 	221 	291 	127 	87 	119 	142 	181 
THS_T,02,FR623	1251 	1112 	962 	1520 	1396 	1303 	1061 	821 	881 
THS_T,02,FR624	127 	397 	294 	181 	578 	238 	394 	149 	218 
THS_T,02,FR625	43 	174 	117 	52 	26 	35 	290 	33 	65 
THS_T,02,FR626	16 	34 	132 	11 	31 	: 	3 	12 	67 
THS_T,02,FR627	148 	180 	185 	386 	294 	118 	48 	145 	274 
THS_T,02,FR628	860 	592 	408 	455 	456 	558 	420 	261 	619 
THS_T,02,FR631	352 	304 	480 	682 	177 	275 	270 	295 	345 
THS_T,02,FR632	24 	15 	13 	47 	2 	7 	25 	: 	11 
THS_T,02,FR633	316 	177 	246 	181 	76 	280 	278 	279 	387 
THS_T,02,FR711	939 	684 	638 	423 	928 	963 	373 	548 	488 
THS_T,02,FR712	82 	78 	162 	122 	96 	117 	175 	101 	113 
THS_T,02,FR713	1035 	1099 	1232 	1246 	736 	783 	762 	598 	789 
THS_T,02,FR714	867 	1319 	980 	1227 	755 	772 	853 	473 	447 
THS_T,02,FR715	420 	304 	213 	270 	290 	422 	296 	282 	226 
THS_T,02,FR716	2621 	2747 	2955 	2630 	2947 	2353 	2136 	2256 	1990 
THS_T,02,FR717	379 	98 	328 	424 	368 	338 	214 	80 	147 
THS_T,02,FR718	523 	566 	961 	492 	630 	564 	440 	314 	326 
THS_T,02,FR721	313 	419 	527 	539 	384 	171 	273 	246 	133 
THS_T,02,FR722	116 	61 	38 	30 	109 	126 	102 	13 	57 
THS_T,02,FR723	117 	36 	56 	80 	73 	143 	123 	133 	118 
THS_T,02,FR724	668 	340 	476 	502 	632 	435 	265 	984 	489 
THS_T,02,FR811	441 	385 	328 	359 	252 	256 	234 	235 	611 
THS_T,02,FR812	577 	584 	918 	405 	555 	897 	423 	514 	804 
THS_T,02,FR813	704 	601 	649 	1102 	546 	361 	375 	399 	528 
THS_T,02,FR814	44 	25 	13 	80 	13 	: 	: 	: 	: 
THS_T,02,FR815	2308 	1937 	2280 	2094 	2271 	1853 	3041 	1799 	1764 
THS_T,02,FR821	48 	157 	72 	14 	86 	300 	377 	37 	91 
THS_T,02,FR822	99 	754 	593 	30 	229 	273 	79 	33 	99 
THS_T,02,FR823	158 	284 	230 	312 	156 	337 	37 	111 	214 
THS_T,02,FR824	3244 	2558 	3194 	3265 	2829 	3512 	3625 	2957 	2687 
THS_T,02,FR825	438 	270 	323 	286 	514 	284 	154 	157 	191 
THS_T,02,FR826	3406 	1582 	1696 	2154 	2268 	2131 	1384 	1978 	1361 
THS_T,02,FR831	100 	11 	81 	89 	78 	60 	33 	9 	9 
THS_T,02,FR832	103 	209 	247 	70 	74 	55 	36 	17 	45 
THS_T,02,HU101	193 	248 	182 	139 	195 	308 	314 	: 	: 
THS_T,02,HU102	642 	408 	294 	286 	332 	263 	336 	: 	: 
THS_T,02,HU211	188 	223 	83 	60 	87 	146 	48 	: 	: 
THS_T,02,HU212	19 	23 	24 	9 	8 	25 	113 	: 	: 
THS_T,02,HU213	17 	57 	22 	28 	38 	19 	41 	: 	: 
THS_T,02,HU221	65 	25 	54 	70 	65 	108 	93 	: 	: 
THS_T,02,HU222	10 	20 	10 	16 	4 	13 	25 	: 	: 
THS_T,02,HU223	27 	28 	42 	9 	27 	43 	30 	: 	: 
THS_T,02,HU231	20 	19 	17 	8 	17 	50 	35 	: 	: 
THS_T,02,HU232	30 	83 	10 	18 	35 	112 	102 	: 	: 
THS_T,02,HU233	12 	9 	13 	61 	31 	9 	59 	: 	: 
THS_T,02,HU311	26 	22 	62 	35 	45 	55 	103 	: 	: 
THS_T,02,HU312	29 	58 	40 	115 	60 	40 	165 	: 	: 
THS_T,02,HU313	6 	5 	7 	4 	4 	39 	54 	: 	: 
THS_T,02,HU321	43 	151 	135 	134 	241 	166 	219 	: 	: 
THS_T,02,HU322	34 	49 	76 	204 	83 	164 	91 	: 	: 
THS_T,02,HU323	99 	193 	153 	348 	258 	242 	408 	: 	: 
THS_T,02,HU331	135 	138 	115 	114 	230 	216 	340 	: 	: 
THS_T,02,HU332	138 	195 	121 	133 	138 	106 	214 	: 	: 
THS_T,02,HU333	244 	366 	197 	353 	235 	254 	324 	: 	: 
THS_T,02,IE011	100 	97 	249 	152 	159 	213 	138 	151 	138 
THS_T,02,IE012	88 	28 	75 	39 	75 	76 	49 	47 	37 
THS_T,02,IE013	74 	75 	94 	186 	72 	150 	158 	117 	94 
THS_T,02,IE021	926 	814 	916 	1006 	1215 	972 	585 	391 	429 
THS_T,02,IE022	163 	328 	194 	296 	153 	73 	122 	173 	270 
THS_T,02,IE023	63 	25 	66 	88 	94 	79 	87 	23 	35 
THS_T,02,IE024	230 	177 	277 	158 	224 	440 	128 	217 	228 
THS_T,02,IE025	166 	237 	344 	361 	167 	254 	313 	123 	200 
THS_T,02,ITC11	145 	159 	169 	173 	280 	179 	268 	313 	182 
THS_T,02,ITC12	7 	35 	11 	143 	103 	43 	17 	51 	26 
THS_T,02,ITC13	: 	38 	4 	: 	: 	2 	15 	36 	8 
THS_T,02,ITC14	1 	1 	: z	: 	: 	5 	4 	1 	2 
THS_T,02,ITC15	61 	314 	36 	93 	22 	49 	94 	64 	25 
THS_T,02,ITC16	324 	171 	344 	205 	159 	257 	426 	145 	216 
THS_T,02,ITC17	25 	31 	9 	: 	70 	113 	69 	34 	18 
THS_T,02,ITC18	50 	426 	666 	221 	198 	142 	460 	706 	332 
THS_T,02,ITC2	: 	: 	: 	: 	: 	: 	13 	: 	: 
THS_T,02,ITC20	: 	: 	: 	: 	: 	: 	13 	: 	: 
THS_T,02,ITC31	1 	: 	13 	: 	11 	: z	21 	2 	6 
THS_T,02,ITC32	157 	179 	186 	269 	505 	264 	349 	211 	375 
THS_T,02,ITC33	215 	280 	331 	152 	224 	248 	315 	314 	240 
THS_T,02,ITC34	: 	25 	18 	13 	12 	44 	32 	28 	14 
THS_T,02,ITC41	99 	98 	217 	100 	83 	14 	39 	30 	65 
THS_T,02,ITC42	442 	417 	661 	293 	51 	84 	164 	89 	45 
THS_T,02,ITC43	53 	39 	103 	68 	16 	69 	28 	31 	7 
THS_T,02,ITC44	12 	17 	65 	27 	23 	59 	143 	38 	23 
THS_T,02,ITC45	729 	647 	1899 	1077 	1077 	1204 	1512 	1336 	1241 
THS_T,02,ITC46	587 	405 	665 	594 	280 	602 	303 	744 	349 
THS_T,02,ITC47	436 	137 	649 	512 	425 	235 	330 	257 	123 
THS_T,02,ITC48	313 	246 	564 	167 	86 	243 	123 	79 	66 
THS_T,02,ITC49	23 	2 	97 	20 	: z	29 	36 	4 	9 
THS_T,02,ITC4A	54 	42 	23 	26 	115 	43 	55 	111 	60 
THS_T,02,ITC4B	43 	72 	95 	341 	355 	253 	154 	78 	199 
THS_T,02,ITD1	: 	: 	: 	: 	502 	401 	909 	523 	785 
THS_T,02,ITD10	418 	416 	594 	476 	502 	401 	909 	523 	785 
THS_T,02,ITD2	: 	: 	: 	: 	444 	389 	504 	642 	445 
THS_T,02,ITD20	1179 	194 	446 	425 	444 	389 	504 	642 	445 
THS_T,02,ITD31	1821 	994 	867 	787 	856 	1277 	676 	1475 	867 
THS_T,02,ITD32	136 	71 	84 	350 	186 	102 	116 	71 	146 
THS_T,02,ITD33	8 	: 	30 	4 	15 	26 	32 	24 	: 
THS_T,02,ITD34	186 	380 	189 	197 	321 	124 	152 	194 	97 
THS_T,02,ITD35	1160 	1259 	292 	253 	278 	529 	391 	517 	260 
THS_T,02,ITD36	368 	588 	419 	531 	386 	681 	808 	516 	299 
THS_T,02,ITD37	630 	266 	423 	564 	323 	381 	347 	265 	216 
THS_T,02,ITD41	274 	24 	39 	132 	81 	71 	31 	58 	11 
THS_T,02,ITD42	743 	81 	70 	160 	111 	135 	195 	136 	173 
THS_T,02,ITD43	36 	6 	3 	: 	3 	6 	11 	17 	54 
THS_T,02,ITD44	86 	36 	36 	30 	58 	9 	35 	27 	59 
THS_T,02,ITD51	465 	115 	12 	70 	179 	133 	161 	77 	184 
THS_T,02,ITD52	79 	63 	154 	65 	208 	147 	128 	332 	90 
THS_T,02,ITD53	35 	33 	173 	26 	66 	149 	174 	342 	84 
THS_T,02,ITD54	178 	139 	211 	264 	384 	283 	168 	467 	219 
THS_T,02,ITD55	542 	315 	587 	649 	763 	1080 	862 	1067 	822 
THS_T,02,ITD56	1948 	20 	329 	1192 	548 	421 	612 	698 	652 
THS_T,02,ITD57	213 	275 	583 	229 	380 	494 	553 	647 	807 
THS_T,02,ITD58	1842 	863 	377 	523 	455 	522 	721 	607 	382 
THS_T,02,ITD59	71 	188 	60 	18 	87 	69 	205 	76 	68 
THS_T,02,ITE11	2 	39 	7 	: 	1 	11 	58 	39 	: 
THS_T,02,ITE12	10 	2 	86 	219 	173 	236 	78 	106 	121 
THS_T,02,ITE13	85 	107 	39 	2 	9 	13 	36 	2 	37 
THS_T,02,ITE14	410 	830 	1011 	457 	914 	1529 	690 	460 	689 
THS_T,02,ITE15	: z	53 	: 	6 	1 	6 	19 	9 	: 
THS_T,02,ITE16	108 	35 	660 	103 	178 	325 	427 	94 	266 
THS_T,02,ITE17	97 	329 	22 	18 	52 	14 	59 	51 	23 
THS_T,02,ITE18	25 	433 	81 	17 	48 	259 	8 	107 	65 
THS_T,02,ITE19	67 	: 	19 	6 	201 	14 	16 	34 	38 
THS_T,02,ITE1A	36 	: 	41 	: 	23 	33 	14 	19 	23 
THS_T,02,ITE21	43 	88 	293 	161 	84 	159 	369 	29 	101 
THS_T,02,ITE22	: 	36 	25 	52 	66 	7 	53 	37 	: 
THS_T,02,ITE31	59 	10 	9 	9 	7 	19 	17 	1 	6 
THS_T,02,ITE32	144 	262 	123 	59 	93 	49 	84 	100 	59 
THS_T,02,ITE33	71 	95 	18 	68 	181 	107 	272 	73 	57 
THS_T,02,ITE34	208 	574 	497 	302 	913 	555 	268 	532 	137 
THS_T,02,ITE41	3 	: 	82 	204 	123 	203 	47 	190 	121 
THS_T,02,ITE42	: 	: 	: 	: z	: 	24 	2 	: 	: 
THS_T,02,ITE43	107 	101 	266 	285 	503 	527 	631 	473 	323 
THS_T,02,ITE44	551 	766 	388 	425 	597 	805 	1194 	1066 	706 
THS_T,02,ITE45	72 	55 	19 	120 	42 	59 	80 	21 	15 
THS_T,02,ITF11	295 	520 	263 	128 	117 	175 	226 	152 	392 
THS_T,02,ITF12	56 	102 	55 	46 	79 	201 	158 	1140 	147 
THS_T,02,ITF13	13 	66 	57 	71 	63 	50 	71 	17 	105 
THS_T,02,ITF14	6 	20 	28 	16 	81 	70 	125 	154 	67 
THS_T,02,ITF21	: z	: 	: 	: 	29 	: 	1 	: 	10 
THS_T,02,ITF22	86 	36 	33 	15 	21 	386 	69 	75 	11 
THS_T,02,ITF31	232 	40 	303 	133 	93 	306 	151 	155 	251 
THS_T,02,ITF32	15 	15 	72 	71 	79 	58 	25 	25 	17 
THS_T,02,ITF33	133 	437 	88 	560 	257 	344 	369 	479 	395 
THS_T,02,ITF34	: 	18 	4 	1 	18 	75 	14 	48 	8 
THS_T,02,ITF35	748 	2228 	702 	486 	940 	1150 	744 	886 	733 
THS_T,02,ITF41	639 	155 	753 	475 	752 	650 	417 	794 	353 
THS_T,02,ITF42	508 	403 	236 	145 	628 	687 	798 	398 	581 
THS_T,02,ITF43	66 	18 	73 	127 	111 	157 	147 	111 	154 
THS_T,02,ITF44	21 	83 	29 	104 	13 	27 	111 	95 	59 
THS_T,02,ITF45	29 	30 	2 	58 	26 	35 	201 	23 	96 
THS_T,02,ITF51	: 	: 	: 	: 	3 	9 	45 	106 	148 
THS_T,02,ITF52	42 	65 	35 	60 	22 	256 	128 	235 	158 
THS_T,02,ITF61	96 	102 	136 	58 	20 	152 	101 	146 	193 
THS_T,02,ITF62	: 	447 	5 	: 	112 	: 	12 	205 	8 
THS_T,02,ITF63	48 	75 	23 	29 	80 	185 	39 	79 	36 
THS_T,02,ITF64	184 	: 	: 	: 	3 	13 	19 	5 	41 
THS_T,02,ITF65	46 	21 	56 	13 	9 	84 	69 	70 	99 
THS_T,02,ITG11	: 	: 	11 	14 	221 	82 	97 	21 	144 
THS_T,02,ITG12	55 	53 	233 	30 	36 	163 	129 	234 	92 
THS_T,02,ITG13	19 	4 	92 	49 	39 	6 	69 	101 	143 
THS_T,02,ITG14	39 	96 	49 	67 	33 	147 	67 	218 	64 
THS_T,02,ITG15	126 	: 	78 	124 	25 	166 	16 	90 	45 
THS_T,02,ITG16	: 	: 	: 	: 	11 	: 	14 	3 	3 
THS_T,02,ITG17	530 	607 	569 	396 	312 	316 	509 	907 	450 
THS_T,02,ITG18	312 	818 	447 	468 	583 	493 	529 	494 	446 
THS_T,02,ITG19	101 	270 	218 	188 	482 	415 	493 	271 	278 
THS_T,02,ITG21	20 	52 	65 	21 	23 	53 	32 	39 	54 
THS_T,02,ITG22	: 	: 	: 	: 	18 	29 	60 	4 	: 
THS_T,02,ITG23	406 	1 	14 	43 	6 	15 	9 	26 	39 
THS_T,02,ITG24	132 	76 	137 	148 	264 	179 	130 	170 	99 
THS_T,02,LT001	1 	: 	3 	: 	1 	: 	: 	: 	: 
THS_T,02,LT002	84 	44 	13 	86 	34 	: 	: 	: 	: 
THS_T,02,LT003	36 	61 	44 	31 	32 	: 	: 	: 	: 
THS_T,02,LT004	3 	11 	3 	7 	19 	: 	: 	: 	: 
THS_T,02,LT005	1 	3 	: 	7 	8 	: 	: 	: 	: 
THS_T,02,LT006	4 	11 	28 	15 	3 	: 	: 	: 	: 
THS_T,02,LT007	: 	: 	: 	: 	26 	: 	: 	: 	: 
THS_T,02,LT008	: 	6 	1 	: 	: 	: 	: 	: 	: 
THS_T,02,LT009	12 	: 	: 	: 	: 	: 	: 	: 	: 
THS_T,02,LT00A	81 	44 	42 	30 	49 	: 	: 	: 	: 
THS_T,02,LU	: 	: 	: 	: 	156 	142 	176 	112 	99 
THS_T,02,LU000	266 	310 	290 	309 	156 	142 	176 	112 	99 
THS_T,02,LV001	: 	: 	: 	: 	48 	98 	: 	: 	: 
THS_T,02,LV002	: 	: 	: 	: 	: 	31 	: 	: 	: 
THS_T,02,LV003	6 	32 	20 	8 	: 	9 	: 	: 	: 
THS_T,02,LV004	: 	: 	: 	: 	53 	23 	: 	: 	: 
THS_T,02,LV005	: 	17 	6 	11 	6 	1 	: 	: 	: 
THS_T,02,LV006	173 	75 	65 	105 	: 	: 	: 	: 	: 
THS_T,02,LV007	7 	34 	20 	7 	: 	: 	: 	: 	: 
THS_T,02,LV008	26 	8 	37 	11 	: 	: 	: 	: 	: 
THS_T,02,LV009	8 	28 	2 	22 	: 	: 	: 	: 	: 
THS_T,02,NL111	134 	572 	503 	1050 	689 	826 	207 	281 	308 
THS_T,02,NL112	268 	273 	150 	262 	172 	215 	262 	151 	135 
THS_T,02,NL113	193 	54 	133 	154 	262 	319 	127 	192 	311 
THS_T,02,NL121	466 	250 	221 	387 	207 	246 	429 	560 	457 
THS_T,02,NL122	43 	17 	19 	21 	49 	75 	43 	43 	88 
THS_T,02,NL123	82 	99 	53 	55 	72 	229 	104 	90 	92 
THS_T,02,NL131	121 	92 	327 	208 	233 	306 	363 	370 	194 
THS_T,02,NL132	1598 	774 	405 	1024 	329 	771 	575 	511 	498 
THS_T,02,NL133	158 	192 	166 	93 	74 	130 	129 	161 	131 
THS_T,02,NL211	399 	616 	195 	516 	254 	353 	429 	124 	369 
THS_T,02,NL212	162 	160 	193 	14 	128 	205 	150 	62 	44 
THS_T,02,NL213	247 	230 	116 	97 	103 	97 	104 	110 	194 
THS_T,02,NL221	228 	220 	211 	180 	259 	319 	369 	363 	306 
THS_T,02,NL222	151 	88 	391 	242 	224 	325 	236 	207 	190 
THS_T,02,NL223	215 	195 	240 	180 	143 	205 	207 	322 	210 
THS_T,02,NL224	770 	784 	750 	649 	840 	657 	723 	490 	533 
THS_T,02,NL23	: 	: 	: 	: 	2194 	1527 	1814 	1798 	1109 
THS_T,02,NL230	1674 	1396 	887 	1219 	2194 	1527 	1814 	1798 	1109 
THS_T,02,NL31	: 	: 	: 	: 	300 	513 	573 	559 	611 
THS_T,02,NL310	266 	302 	441 	312 	300 	513 	573 	559 	611 
THS_T,02,NL321	669 	724 	858 	876 	755 	647 	707 	852 	792 
THS_T,02,NL322	125 	132 	41 	139 	145 	121 	167 	116 	181 
THS_T,02,NL323	167 	165 	190 	80 	113 	124 	182 	209 	263 
THS_T,02,NL324	29 	6 	20 	48 	28 	7 	6 	13 	15 
THS_T,02,NL325	28 	91 	51 	21 	146 	122 	14 	92 	615 
THS_T,02,NL326	437 	343 	445 	403 	576 	593 	540 	561 	651 
THS_T,02,NL327	17 	6 	6 	8 	24 	16 	25 	4 	30 
THS_T,02,NL331	289 	211 	193 	242 	188 	207 	149 	203 	182 
THS_T,02,NL332	166 	256 	150 	170 	112 	154 	120 	144 	120 
THS_T,02,NL333	1036 	929 	842 	875 	921 	974 	901 	858 	1100 
THS_T,02,NL334	126 	289 	437 	217 	213 	280 	309 	366 	229 
THS_T,02,NL335	4289 	3917 	3642 	3377 	2799 	2953 	2447 	2573 	3088 
THS_T,02,NL336	146 	148 	101 	49 	104 	116 	151 	156 	141 
THS_T,02,NL341	292 	197 	518 	464 	219 	347 	1067 	330 	312 
THS_T,02,NL342	989 	1187 	1268 	951 	949 	942 	1223 	1024 	1255 
THS_T,02,NL411	1168 	1212 	897 	1183 	918 	1358 	1177 	1013 	1110 
THS_T,02,NL412	415 	418 	386 	277 	241 	273 	401 	397 	503 
THS_T,02,NL413	730 	889 	1204 	862 	807 	746 	1016 	744 	718 
THS_T,02,NL414	473 	540 	386 	636 	559 	618 	626 	616 	598 
THS_T,02,NL421	1048 	1130 	942 	1295 	1093 	862 	702 	696 	1025 
THS_T,02,NL422	180 	195 	215 	199 	187 	164 	258 	315 	292 
THS_T,02,NL423	178 	88 	201 	132 	87 	290 	133 	420 	190 
THS_T,02,NO011	454 	240 	206 	271 	421 	78 	112 	26 	150 
THS_T,02,NO012	94 	114 	43 	67 	52 	67 	61 	20 	42 
THS_T,02,NO021	356 	88 	321 	167 	337 	373 	2359 	532 	485 
THS_T,02,NO022	158 	128 	137 	38 	226 	205 	124 	109 	151 
THS_T,02,NO031	90 	120 	43 	24 	37 	39 	47 	19 	102 
THS_T,02,NO032	122 	50 	106 	197 	97 	289 	197 	87 	76 
THS_T,02,NO033	56 	79 	49 	38 	303 	42 	416 	238 	258 
THS_T,02,NO034	4 	17 	25 	54 	9 	92 	83 	74 	22 
THS_T,02,NO041	13 	22 	14 	56 	27 	43 	50 	9 	: 
