unit,nstr24,geo\time	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
THS_T,01,BG312	3 	22 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG313	36 	68 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG314	244 	996 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG315	166 	100 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG321	123 	219 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG322	: 	44 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG323	158 	214 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG324	25 	25 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG325	119 	1114 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG331	623 	155 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG332	437 	653 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG333	58 	189 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG334	24 	159 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG341	402 	341 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG342	354 	228 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG343	51 	220 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG344	167 	104 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG411	: 	14 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG412	7 	9 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG415	: 	1 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG421	183 	74 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG422	23 	34 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG423	89 	58 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,BG424	2 	: 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,CY	: 	: 	364 	3066 	2296 	1590 	: 	: 	: 
THS_T,01,CY000	720 	472 	121 	3066 	2296 	1590 	: 	: 	: 
THS_T,01,CZ01	: 	: 	: 	: 	76 	12 	47 	485 	: 
THS_T,01,CZ010	59 	137 	14 	55 	76 	12 	47 	485 	: 
THS_T,01,CZ020	2659 	2979 	2190 	2037 	1439 	3597 	2678 	1595 	: 
THS_T,01,CZ031	997 	762 	1353 	1367 	912 	1174 	1117 	1611 	: 
THS_T,01,CZ032	903 	1812 	1404 	901 	1164 	555 	1095 	1430 	: 
THS_T,01,CZ041	79 	106 	98 	121 	348 	423 	9 	5 	: 
THS_T,01,CZ042	731 	390 	3511 	1208 	345 	749 	1808 	203 	: 
THS_T,01,CZ051	80 	218 	23 	436 	: 	281 	45 	51 	: 
THS_T,01,CZ052	732 	708 	1211 	398 	539 	1782 	295 	206 	: 
THS_T,01,CZ053	850 	299 	646 	643 	273 	668 	332 	2343 	: 
THS_T,01,CZ061	877 	842 	1777 	1231 	2025 	1319 	1417 	1635 	: 
THS_T,01,CZ062	780 	2035 	687 	1841 	2033 	674 	1915 	1623 	: 
THS_T,01,CZ071	1402 	743 	1149 	1186 	1373 	1074 	1590 	986 	: 
THS_T,01,CZ072	417 	247 	212 	218 	924 	346 	68 	85 	: 
THS_T,01,CZ080	391 	475 	123 	237 	335 	408 	169 	107 	: 
THS_T,01,DE111	1 	48 	2 	: 	2 	31 	19 	1 	: 
THS_T,01,DE112	29 	27 	29 	11 	27 	41 	73 	24 	17 
THS_T,01,DE113	7 	12 	1 	24 	24 	5 	: 	48 	88 
THS_T,01,DE114	5 	5 	3 	: 	: 	: 	: z	2 	: 
THS_T,01,DE115	65 	30 	28 	133 	22 	45 	64 	86 	28 
THS_T,01,DE116	11 	12 	10 	: z	: 	7 	4 	9 	3 
THS_T,01,DE117	6 	25 	5 	12 	14 	14 	9 	33 	9 
THS_T,01,DE118	122 	44 	285 	93 	360 	100 	114 	21 	68 
THS_T,01,DE119	32 	38 	59 	11 	30 	22 	47 	34 	15 
THS_T,01,DE11A	58 	18 	90 	39 	20 	23 	2 	8 	2 
THS_T,01,DE11B	152 	74 	152 	93 	115 	115 	127 	111 	83 
THS_T,01,DE11C	37 	16 	54 	25 	54 	77 	32 	23 	132 
THS_T,01,DE11D	25 	9 	: 	42 	: 	11 	23 	3 	8 
THS_T,01,DE121	: 	: 	: 	: 	: 	: 	: 	: 	1 
THS_T,01,DE122	: 	: 	35 	: 	7 	5 	50 	6 	: 
THS_T,01,DE123	31 	174 	196 	42 	55 	27 	219 	170 	21 
THS_T,01,DE124	10 	10 	: 	18 	8 	12 	3 	69 	17 
THS_T,01,DE125	: 	: 	: 	: 	: 	: 	: 	: z	: 
THS_T,01,DE126	53 	145 	52 	32 	13 	45 	37 	21 	69 
THS_T,01,DE127	32 	91 	144 	30 	48 	56 	48 	114 	50 
THS_T,01,DE128	23 	87 	33 	54 	121 	76 	51 	24 	71 
THS_T,01,DE129	3 	: 	: 	: 	4 	: 	: 	: 	: 
THS_T,01,DE12A	24 	: 	: 	53 	: 	3 	12 	3 	8 
THS_T,01,DE12B	52 	34 	37 	30 	9 	33 	43 	64 	72 
THS_T,01,DE12C	31 	30 	20 	6 	9 	16 	3 	21 	10 
THS_T,01,DE131	3 	3 	: 	1 	: 	: 	2 	6 	3 
