unit,iccs,geo\time	2010 	2009 	2008 
NR,ICCS0101,DE12A	1 	3 	: 
NR,ICCS0101,DE12B	0 	0 	: 
NR,ICCS0101,DE12C	0 	1 	: 
NR,ICCS0101,DE131	0 	1 	: 
NR,ICCS0101,DE132	1 	1 	: 
NR,ICCS0101,DE133	1 	1 	: 
NR,ICCS0101,DE134	1 	3 	: 
NR,ICCS0101,DE135	2 	2 	: 
NR,ICCS0101,DE136	0 	0 	: 
NR,ICCS0101,DE137	4 	0 	: 
NR,ICCS0101,DE138	1 	2 	: 
NR,ICCS0101,DE139	2 	1 	: 
NR,ICCS0101,DE13A	0 	2 	: 
NR,ICCS0101,DE141	3 	5 	: 
NR,ICCS0101,DE142	2 	3 	: 
NR,ICCS0101,DE143	2 	3 	: 
NR,ICCS0101,DE144	0 	1 	: 
NR,ICCS0101,DE145	0 	2 	: 
NR,ICCS0101,DE146	1 	2 	: 
NR,ICCS0101,DE147	2 	0 	: 
NR,ICCS0101,DE148	1 	1 	: 
NR,ICCS0101,DE149	1 	0 	: 
NR,ICCS0101,DE2	74 	91 	89 
NR,ICCS0101,DE211	3 	0 	: 
NR,ICCS0101,DE212	9 	7 	: 
NR,ICCS0101,DE213	2 	2 	: 
NR,ICCS0101,DE214	0 	2 	: 
NR,ICCS0101,DE215	0 	0 	: 
NR,ICCS0101,DE216	0 	1 	: 
NR,ICCS0101,DE217	0 	0 	: 
NR,ICCS0101,DE218	2 	1 	: 
NR,ICCS0101,DE219	0 	0 	: 
NR,ICCS0101,DE21A	0 	0 	: 
NR,ICCS0101,DE21B	1 	0 	: 
NR,ICCS0101,DE21C	1 	1 	: 
NR,ICCS0101,DE21D	0 	2 	: 
NR,ICCS0101,DE21E	0 	2 	: 
NR,ICCS0101,DE21F	1 	2 	: 
NR,ICCS0101,DE21G	0 	0 	: 
NR,ICCS0101,DE21H	5 	0 	: 
NR,ICCS0101,DE21I	1 	0 	: 
NR,ICCS0101,DE21J	1 	1 	: 
NR,ICCS0101,DE21K	3 	1 	: 
NR,ICCS0101,DE21L	0 	1 	: 
NR,ICCS0101,DE21M	1 	3 	: 
NR,ICCS0101,DE21N	1 	1 	: 
NR,ICCS0101,DE221	2 	1 	: 
NR,ICCS0101,DE222	0 	1 	: 
NR,ICCS0101,DE223	0 	3 	: 
NR,ICCS0101,DE224	0 	1 	: 
NR,ICCS0101,DE225	1 	1 	: 
NR,ICCS0101,DE226	2 	2 	: 
NR,ICCS0101,DE227	0 	0 	: 
NR,ICCS0101,DE228	1 	2 	: 
NR,ICCS0101,DE229	2 	1 	: 
NR,ICCS0101,DE22A	0 	1 	: 
NR,ICCS0101,DE22B	2 	0 	: 
NR,ICCS0101,DE22C	2 	0 	: 
NR,ICCS0101,DE231	0 	0 	: 
NR,ICCS0101,DE232	0 	1 	: 
NR,ICCS0101,DE233	1 	0 	: 
NR,ICCS0101,DE234	0 	1 	: 
NR,ICCS0101,DE235	0 	0 	: 
NR,ICCS0101,DE236	0 	0 	: 
NR,ICCS0101,DE237	0 	0 	: 
NR,ICCS0101,DE238	1 	0 	: 
NR,ICCS0101,DE239	0 	1 	: 
NR,ICCS0101,DE23A	0 	0 	: 
NR,ICCS0101,DE241	1 	0 	: 
NR,ICCS0101,DE242	1 	3 	: 
NR,ICCS0101,DE243	0 	0 	: 
NR,ICCS0101,DE244	1 	0 	: 
NR,ICCS0101,DE245	0 	2 	: 
NR,ICCS0101,DE246	1 	1 	: 
NR,ICCS0101,DE247	0 	0 	: 
NR,ICCS0101,DE248	2 	1 	: 
NR,ICCS0101,DE249	0 	0 	: 
NR,ICCS0101,DE24A	0 	0 	: 
NR,ICCS0101,DE24B	0 	0 	: 
NR,ICCS0101,DE24C	0 	1 	: 
NR,ICCS0101,DE24D	0 	0 	: 
NR,ICCS0101,DE251	0 	0 	: 
NR,ICCS0101,DE252	0 	2 	: 
NR,ICCS0101,DE253	0 	3 	: 
NR,ICCS0101,DE254	1 	8 	: 
NR,ICCS0101,DE255	0 	2 	: 
NR,ICCS0101,DE256	1 	2 	: 
NR,ICCS0101,DE257	0 	1 	: 
NR,ICCS0101,DE258	0 	1 	: 
NR,ICCS0101,DE259	2 	0 	: 
NR,ICCS0101,DE25A	0 	3 	: 
NR,ICCS0101,DE25B	0 	1 	: 
NR,ICCS0101,DE25C	0 	0 	: 
NR,ICCS0101,DE261	0 	0 	: 
NR,ICCS0101,DE262	3 	1 	: 
NR,ICCS0101,DE263	1 	0 	: 
NR,ICCS0101,DE264	0 	1 	: 
NR,ICCS0101,DE265	1 	1 	: 
NR,ICCS0101,DE266	0 	1 	: 
NR,ICCS0101,DE267	1 	0 	: 
NR,ICCS0101,DE268	0 	0 	: 
NR,ICCS0101,DE269	0 	0 	: 
NR,ICCS0101,DE26A	1 	1 	: 
NR,ICCS0101,DE26B	0 	0 	: 
NR,ICCS0101,DE26C	0 	0 	: 
NR,ICCS0101,DE271	6 	1 	: 
NR,ICCS0101,DE272	1 	0 	: 
NR,ICCS0101,DE273	0 	0 	: 
NR,ICCS0101,DE274	0 	1 	: 
NR,ICCS0101,DE275	0 	0 	: 
NR,ICCS0101,DE276	0 	2 	: 
NR,ICCS0101,DE277	1 	2 	: 
NR,ICCS0101,DE278	0 	2 	: 
NR,ICCS0101,DE279	1 	1 	: 
NR,ICCS0101,DE27A	0 	0 	: 
NR,ICCS0101,DE27B	0 	2 	: 
NR,ICCS0101,DE27C	0 	1 	: 
NR,ICCS0101,DE27D	0 	0 	: 
NR,ICCS0101,DE27E	2 	0 	: 
NR,ICCS0101,DE3	41 	62 	49 
NR,ICCS0101,DE300	41 	62 	: 
NR,ICCS0101,DE4	40 	30 	36 
NR,ICCS0101,DE401	2 	1 	: 
NR,ICCS0101,DE402	0 	1 	: 
NR,ICCS0101,DE403	1 	1 	: 
NR,ICCS0101,DE404	0 	0 	: 
NR,ICCS0101,DE405	10 	5 	: 
NR,ICCS0101,DE406	6 	1 	: 
NR,ICCS0101,DE407	1 	3 	: 
NR,ICCS0101,DE408	4 	1 	: 
NR,ICCS0101,DE409	1 	3 	: 
NR,ICCS0101,DE40A	8 	3 	: 
NR,ICCS0101,DE40B	4 	1 	: 
NR,ICCS0101,DE40C	0 	0 	: 
NR,ICCS0101,DE40D	0 	0 	: 
NR,ICCS0101,DE40E	0 	3 	: 
NR,ICCS0101,DE40F	0 	2 	: 
NR,ICCS0101,DE40G	2 	1 	: 
NR,ICCS0101,DE40H	0 	0 	: 
NR,ICCS0101,DE40I	1 	4 	: 
NR,ICCS0101,DE5	10 	9 	4 
NR,ICCS0101,DE501	9 	5 	: 
NR,ICCS0101,DE502	1 	4 	: 
NR,ICCS0101,DE6	18 	18 	22 
NR,ICCS0101,DE600	18 	18 	: 
NR,ICCS0101,DE7	61 	53 	62 
NR,ICCS0101,DE711	2 	1 	: 
NR,ICCS0101,DE712	13 	9 	: 
NR,ICCS0101,DE713	0 	1 	: 
NR,ICCS0101,DE714	2 	3 	: 
NR,ICCS0101,DE715	1 	2 	: 
NR,ICCS0101,DE716	2 	0 	: 
NR,ICCS0101,DE717	3 	2 	: 
NR,ICCS0101,DE718	1 	3 	: 
NR,ICCS0101,DE719	4 	2 	: 
NR,ICCS0101,DE71A	0 	2 	: 
NR,ICCS0101,DE71B	2 	0 	: 
NR,ICCS0101,DE71C	1 	4 	: 
NR,ICCS0101,DE71D	0 	0 	: 
NR,ICCS0101,DE71E	1 	2 	: 
NR,ICCS0101,DE721	4 	1 	: 
NR,ICCS0101,DE722	5 	5 	: 
NR,ICCS0101,DE723	2 	6 	: 
NR,ICCS0101,DE724	3 	2 	: 
NR,ICCS0101,DE725	0 	2 	: 
NR,ICCS0101,DE731	5 	1 	: 
NR,ICCS0101,DE732	0 	0 	: 
NR,ICCS0101,DE733	3 	2 	: 
NR,ICCS0101,DE734	2 	1 	: 
NR,ICCS0101,DE735	2 	0 	: 
NR,ICCS0101,DE736	2 	0 	: 
NR,ICCS0101,DE737	0 	2 	: 
NR,ICCS0101,DE8	10 	11 	14 
NR,ICCS0101,DE801	1 	1 	: 
NR,ICCS0101,DE802	0 	0 	: 
NR,ICCS0101,DE803	3 	1 	: 
NR,ICCS0101,DE804	2 	0 	: 
NR,ICCS0101,DE805	0 	0 	: 
NR,ICCS0101,DE806	0 	7 	: 
NR,ICCS0101,DE807	1 	0 	: 
NR,ICCS0101,DE808	1 	0 	: 
NR,ICCS0101,DE809	0 	0 	: 
NR,ICCS0101,DE80A	0 	0 	: 
NR,ICCS0101,DE80B	0 	0 	: 
NR,ICCS0101,DE80C	1 	0 	: 
NR,ICCS0101,DE80D	0 	0 	: 
NR,ICCS0101,DE80E	0 	1 	: 
NR,ICCS0101,DE80F	1 	1 	: 
NR,ICCS0101,DE80G	0 	0 	: 
NR,ICCS0101,DE80H	0 	0 	: 
NR,ICCS0101,DE80I	0 	0 	: 
NR,ICCS0101,DE9	78 	73 	80 
NR,ICCS0101,DE911	1 	2 	: 
NR,ICCS0101,DE912	0 	1 	: 
NR,ICCS0101,DE913	0 	0 	: 
NR,ICCS0101,DE914	3 	5 	: 
NR,ICCS0101,DE915	2 	2 	: 
NR,ICCS0101,DE916	0 	2 	: 
NR,ICCS0101,DE917	1 	0 	: 
NR,ICCS0101,DE918	0 	2 	: 
NR,ICCS0101,DE919	0 	0 	: 
NR,ICCS0101,DE91A	1 	1 	: 
NR,ICCS0101,DE91B	0 	0 	: 
NR,ICCS0101,DE922	1 	1 	: 
NR,ICCS0101,DE923	0 	1 	: 
NR,ICCS0101,DE925	3 	7 	: 
NR,ICCS0101,DE926	1 	1 	: 
NR,ICCS0101,DE927	1 	0 	: 
NR,ICCS0101,DE928	4 	2 	: 
NR,ICCS0101,DE929	9 	8 	: 
NR,ICCS0101,DE931	0 	0 	: 
NR,ICCS0101,DE932	4 	2 	: 
NR,ICCS0101,DE933	1 	1 	: 
NR,ICCS0101,DE934	0 	1 	: 
NR,ICCS0101,DE935	2 	0 	: 
NR,ICCS0101,DE936	0 	0 	: 
NR,ICCS0101,DE937	0 	1 	: 
NR,ICCS0101,DE938	3 	3 	: 
NR,ICCS0101,DE939	0 	4 	: 
NR,ICCS0101,DE93A	1 	0 	: 
NR,ICCS0101,DE93B	2 	0 	: 
NR,ICCS0101,DE941	0 	2 	: 
NR,ICCS0101,DE942	0 	0 	: 
NR,ICCS0101,DE943	0 	3 	: 
NR,ICCS0101,DE944	5 	7 	: 
NR,ICCS0101,DE945	1 	0 	: 
NR,ICCS0101,DE946	1 	2 	: 
NR,ICCS0101,DE947	2 	0 	: 
NR,ICCS0101,DE948	19 	1 	: 
NR,ICCS0101,DE949	1 	1 	: 
NR,ICCS0101,DE94A	0 	1 	: 
NR,ICCS0101,DE94B	0 	0 	: 
NR,ICCS0101,DE94C	0 	1 	: 
NR,ICCS0101,DE94D	4 	1 	: 
NR,ICCS0101,DE94E	4 	2 	: 
NR,ICCS0101,DE94F	0 	1 	: 
NR,ICCS0101,DE94G	1 	1 	: 
NR,ICCS0101,DE94H	0 	0 	: 
NR,ICCS0101,DEA	120 	108 	129 
NR,ICCS0101,DEA11	5 	2 	: 
NR,ICCS0101,DEA12	3 	3 	: 
NR,ICCS0101,DEA13	3 	5 	: 
NR,ICCS0101,DEA14	2 	0 	: 
NR,ICCS0101,DEA15	1 	3 	: 
NR,ICCS0101,DEA16	0 	1 	: 
NR,ICCS0101,DEA17	2 	1 	: 
NR,ICCS0101,DEA18	2 	2 	: 
NR,ICCS0101,DEA19	0 	1 	: 
NR,ICCS0101,DEA1A	5 	4 	: 
NR,ICCS0101,DEA1B	0 	3 	: 
NR,ICCS0101,DEA1C	4 	4 	: 
NR,ICCS0101,DEA1D	0 	0 	: 
NR,ICCS0101,DEA1E	1 	5 	: 
NR,ICCS0101,DEA1F	3 	1 	: 
NR,ICCS0101,DEA22	5 	2 	: 
NR,ICCS0101,DEA23	20 	7 	: 
NR,ICCS0101,DEA24	1 	0 	: 
NR,ICCS0101,DEA26	2 	2 	: 
NR,ICCS0101,DEA27	1 	2 	: 
NR,ICCS0101,DEA28	2 	0 	: 
NR,ICCS0101,DEA29	2 	5 	: 
NR,ICCS0101,DEA2A	2 	1 	: 
NR,ICCS0101,DEA2B	0 	3 	: 
NR,ICCS0101,DEA2C	8 	2 	: 
NR,ICCS0101,DEA2D	4 	4 	: 
NR,ICCS0101,DEA31	1 	0 	: 
NR,ICCS0101,DEA32	2 	2 	: 
NR,ICCS0101,DEA33	1 	1 	: 
NR,ICCS0101,DEA34	0 	1 	: 
NR,ICCS0101,DEA35	1 	3 	: 
NR,ICCS0101,DEA36	3 	5 	: 
NR,ICCS0101,DEA37	0 	4 	: 
NR,ICCS0101,DEA38	1 	2 	: 
NR,ICCS0101,DEA41	1 	0 	: 
NR,ICCS0101,DEA42	2 	2 	: 
NR,ICCS0101,DEA43	1 	0 	: 
NR,ICCS0101,DEA44	0 	0 	: 
NR,ICCS0101,DEA45	3 	0 	: 
NR,ICCS0101,DEA46	1 	4 	: 
NR,ICCS0101,DEA47	1 	3 	: 
NR,ICCS0101,DEA51	0 	0 	: 
NR,ICCS0101,DEA52	4 	3 	: 
NR,ICCS0101,DEA53	3 	0 	: 
NR,ICCS0101,DEA54	2 	1 	: 
NR,ICCS0101,DEA55	0 	2 	: 
NR,ICCS0101,DEA56	1 	2 	: 
NR,ICCS0101,DEA57	1 	2 	: 
NR,ICCS0101,DEA58	2 	4 	: 
NR,ICCS0101,DEA59	1 	2 	: 
NR,ICCS0101,DEA5A	1 	1 	: 
NR,ICCS0101,DEA5B	1 	0 	: 
NR,ICCS0101,DEA5C	8 	0 	: 
NR,ICCS0101,DEB	27 	25 	27 
NR,ICCS0101,DEB11	1 	0 	: 
NR,ICCS0101,DEB12	1 	0 	: 
NR,ICCS0101,DEB13	0 	4 	: 
NR,ICCS0101,DEB14	1 	0 	: 
NR,ICCS0101,DEB15	0 	0 	: 
NR,ICCS0101,DEB16	1 	0 	: 
NR,ICCS0101,DEB17	0 	0 	: 
NR,ICCS0101,DEB18	2 	0 	: 
NR,ICCS0101,DEB19	0 	0 	: 
NR,ICCS0101,DEB1A	0 	1 	: 
NR,ICCS0101,DEB1B	1 	0 	: 
NR,ICCS0101,DEB21	1 	3 	: 
NR,ICCS0101,DEB22	0 	1 	: 
NR,ICCS0101,DEB23	1 	0 	: 
NR,ICCS0101,DEB24	1 	1 	: 
NR,ICCS0101,DEB25	1 	0 	: 
NR,ICCS0101,DEB31	0 	1 	: 
NR,ICCS0101,DEB32	0 	3 	: 
NR,ICCS0101,DEB33	1 	1 	: 
NR,ICCS0101,DEB34	2 	2 	: 
NR,ICCS0101,DEB35	0 	0 	: 
NR,ICCS0101,DEB36	0 	0 	: 
NR,ICCS0101,DEB37	0 	0 	: 
NR,ICCS0101,DEB38	1 	0 	: 
NR,ICCS0101,DEB39	3 	1 	: 
NR,ICCS0101,DEB3A	0 	1 	: 
NR,ICCS0101,DEB3B	2 	0 	: 
NR,ICCS0101,DEB3C	1 	3 	: 
NR,ICCS0101,DEB3D	1 	1 	: 
NR,ICCS0101,DEB3E	1 	0 	: 
NR,ICCS0101,DEB3F	1 	1 	: 
NR,ICCS0101,DEB3G	2 	1 	: 
NR,ICCS0101,DEB3H	0 	0 	: 
NR,ICCS0101,DEB3I	0 	0 	: 
NR,ICCS0101,DEB3J	1 	0 	: 
NR,ICCS0101,DEB3K	0 	0 	: 
NR,ICCS0101,DEC	16 	5 	7 
NR,ICCS0101,DEC01	5 	2 	: 
NR,ICCS0101,DEC02	2 	0 	: 
NR,ICCS0101,DEC03	0 	0 	: 
NR,ICCS0101,DEC04	6 	2 	: 
NR,ICCS0101,DEC05	3 	1 	: 
NR,ICCS0101,DEC06	0 	0 	: 
NR,ICCS0101,DED	35 	26 	29 
NR,ICCS0101,DED21	16 	2 	: 
NR,ICCS0101,DED2C	3 	3 	: 
NR,ICCS0101,DED2D	1 	1 	: 
NR,ICCS0101,DED2E	1 	3 	: 
NR,ICCS0101,DED2F	1 	2 	: 
NR,ICCS0101,DED41	1 	2 	: 
NR,ICCS0101,DED42	3 	2 	: 
NR,ICCS0101,DED43	0 	1 	: 
NR,ICCS0101,DED44	2 	1 	: 
NR,ICCS0101,DED45	2 	2 	: 
NR,ICCS0101,DED51	3 	4 	: 
NR,ICCS0101,DED52	1 	1 	: 
NR,ICCS0101,DED53	1 	2 	: 
NR,ICCS0101,DEE	26 	35 	41 
NR,ICCS0101,DEE01	1 	1 	: 
NR,ICCS0101,DEE02	2 	3 	: 
NR,ICCS0101,DEE03	4 	3 	: 
NR,ICCS0101,DEE04	4 	2 	: 
NR,ICCS0101,DEE05	1 	2 	: 
NR,ICCS0101,DEE06	0 	1 	: 
NR,ICCS0101,DEE07	3 	6 	: 
NR,ICCS0101,DEE08	1 	2 	: 
NR,ICCS0101,DEE09	1 	1 	: 
NR,ICCS0101,DEE0A	0 	1 	: 
NR,ICCS0101,DEE0B	1 	2 	: 
NR,ICCS0101,DEE0C	3 	4 	: 
NR,ICCS0101,DEE0D	3 	3 	: 
NR,ICCS0101,DEE0E	2 	4 	: 
NR,ICCS0101,DEF	35 	23 	27 
NR,ICCS0101,DEF01	0 	0 	: 
NR,ICCS0101,DEF02	2 	2 	: 
NR,ICCS0101,DEF03	3 	2 	: 
NR,ICCS0101,DEF04	0 	1 	: 
NR,ICCS0101,DEF05	1 	0 	: 
NR,ICCS0101,DEF06	1 	0 	: 
NR,ICCS0101,DEF07	1 	0 	: 
NR,ICCS0101,DEF08	0 	4 	: 
NR,ICCS0101,DEF09	1 	3 	: 
NR,ICCS0101,DEF0A	0 	0 	: 
NR,ICCS0101,DEF0B	1 	0 	: 
NR,ICCS0101,DEF0C	23 	3 	: 
NR,ICCS0101,DEF0D	1 	3 	: 
NR,ICCS0101,DEF0E	0 	4 	: 
NR,ICCS0101,DEF0F	1 	1 	: 
NR,ICCS0101,DEG	27 	31 	29 
NR,ICCS0101,DEG01	0 	2 	: 
NR,ICCS0101,DEG02	1 	1 	: 
NR,ICCS0101,DEG03	3 	1 	: 
NR,ICCS0101,DEG04	2 	0 	: 
NR,ICCS0101,DEG05	0 	0 	: 
NR,ICCS0101,DEG06	1 	0 	: 
NR,ICCS0101,DEG07	1 	1 	: 
NR,ICCS0101,DEG09	6 	1 	: 
NR,ICCS0101,DEG0A	0 	0 	: 
NR,ICCS0101,DEG0B	1 	0 	: 
NR,ICCS0101,DEG0C	2 	0 	: 
NR,ICCS0101,DEG0D	0 	0 	: 
NR,ICCS0101,DEG0E	1 	0 	: 
NR,ICCS0101,DEG0F	0 	1 	: 
NR,ICCS0101,DEG0G	0 	1 	: 
