unit,facility,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
P_HTHAB,HBEDT,CZ06	791.29 	781.92 	771.24 	782.17 b	750.06 	738.51 	708.60 	704.07 	702.06 	706.47 	708.25 	713.29 
P_HTHAB,HBEDT,CZ07	700.29 	693.56 	683.23 	702.63 b	690.50 	672.08 	642.66 	638.64 	633.68 	635.20 	634.55 	634.22 
P_HTHAB,HBEDT,CZ08	712.61 	698.00 	669.59 	714.99 b	695.73 	673.77 	667.37 	668.99 	678.49 	682.08 	679.12 	678.74 
P_HTHAB,HBEDT,DK01	433.62 	420.60 	410.40 	458.27 	355.30 b	: 	340.83 	251.20 be	249.29 e	319.36 e	306.72 	300.80 
P_HTHAB,HBEDT,DK02	341.17 	326.57 	334.75 	298.23 	320.33 b	: 	317.93 	310.16 be	308.26 e	284.21 e	294.68 	280.90 
P_HTHAB,HBEDT,DK03	343.97 	328.78 	321.26 	306.13 	304.33 b	: 	296.68 	293.08 be	231.48 e	220.75 e	229.12 	155.48 
P_HTHAB,HBEDT,DK04	339.71 	331.46 	315.06 	295.83 	262.22 b	: 	276.39 	240.21 be	242.08 e	215.97 e	220.49 	224.81 
P_HTHAB,HBEDT,DK05	340.02 	332.08 	326.34 	313.94 	306.25 b	: 	279.34 	277.22 be	255.11 e	218.79 e	226.78 	231.74 
P_HTHAB,HBEDT,EE00	548.15 	563.16 	536.97 	527.39 	535.92 	552.58 	500.53 b	500.55 	495.97 	475.84 	469.49 	457.35 
P_HTHAB,HBEDT,EL11	378.45 	383.58 	371.37 	347.65 	375.24 	360.92 	383.15 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,EL12	526.57 	536.12 	535.83 	472.94 	477.34 	472.45 	439.21 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,EL13	426.98 	434.98 	438.73 	398.91 	407.35 	434.31 	417.48 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,EL14	517.00 	537.65 	556.26 	525.04 	550.50 	505.71 	507.00 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,EL21	466.65 	481.50 	476.85 	442.27 	446.48 	468.16 	429.72 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,EL22	483.22 	325.59 	323.21 	280.73 	233.17 	257.90 	263.52 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,EL23	314.67 	311.14 	311.41 	259.53 	278.67 	311.49 	321.40 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,EL24	189.11 	188.19 	189.40 	176.02 	171.07 	172.40 	164.74 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,EL25	307.62 	302.52 	314.73 	289.92 	239.68 	240.17 	240.10 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,EL30	589.44 	582.79 	596.40 	546.84 	553.89 	559.75 	521.74 	520.15 	512.64 	507.86 	505.71 	506.28 
P_HTHAB,HBEDT,EL41	339.66 	346.06 	345.76 	328.67 	321.86 	301.45 	318.55 	314.43 	314.95 	310.23 	303.73 	288.73 
P_HTHAB,HBEDT,EL42	434.71 	380.44 	449.38 	445.22 	311.92 	301.15 	300.84 	321.06 	304.04 	301.56 	311.22 	322.97 
P_HTHAB,HBEDT,EL43	461.98 	465.79 	466.08 	411.28 	408.27 	388.26 	383.20 	392.27 	376.63 	379.13 	381.62 	377.16 
P_HTHAB,HBEDT,EL51	380.18 	383.35 	369.72 	345.10 	371.35 	368.36 	383.15 	406.02 	403.47 	405.70 	402.00 	403.53 
P_HTHAB,HBEDT,EL52	534.64 	544.62 	544.70 	480.75 	485.03 	471.42 	439.21 	431.79 	447.21 	453.47 	450.78 	450.53 
P_HTHAB,HBEDT,EL53	437.28 	445.09 	448.77 	408.14 	417.57 	439.35 	417.48 	422.60 	423.07 	416.99 	407.24 	402.44 
P_HTHAB,HBEDT,EL54	474.86 	493.64 	492.82 	457.50 	458.13 	472.58 	429.72 	417.53 	425.46 	427.92 	429.82 	436.80 
P_HTHAB,HBEDT,EL61	512.13 	531.32 	548.59 	516.90 	541.67 	506.65 	507.00 	518.16 	542.41 	514.94 	546.02 	533.77 
P_HTHAB,HBEDT,EL62	529.59 	360.38 	361.29 	314.91 	261.02 	261.16 	263.52 	269.10 	273.96 	267.75 	293.18 	298.21 
P_HTHAB,HBEDT,EL63	334.47 	332.34 	334.38 	279.79 	300.69 	309.66 	321.40 	297.86 	311.14 	307.91 	301.94 	296.65 
P_HTHAB,HBEDT,EL64	189.25 	187.62 	188.01 	174.08 	168.78 	174.19 	164.74 	170.64 	171.52 	156.17 	158.36 	158.15 
