unit,facility,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
P_HTHAB,HBEDT,ITH2	447.32 	435.55 	426.25 	420.44 	409.41 	405.62 	365.29 	356.17 	356.63 	347.32 	365.32 	348.38 
P_HTHAB,HBEDT,ITH3	379.34 	367.69 	363.33 	358.72 	353.01 	344.95 	339.27 	338.37 	341.61 	328.99 	329.76 	323.46 
P_HTHAB,HBEDT,ITH4	358.44 	346.59 	356.70 	362.76 	363.07 	365.79 	358.51 	357.01 	348.64 	332.09 	325.30 	332.90 
P_HTHAB,HBEDT,ITH5	433.22 	421.00 	412.92 	409.79 	421.19 	405.40 	398.60 	385.35 	366.71 	370.40 	377.71 	369.99 
P_HTHAB,HBEDT,ITI1	358.67 	347.52 	331.40 	329.91 	322.43 	322.55 	299.89 	287.91 	294.22 	290.40 	282.13 	284.52 
P_HTHAB,HBEDT,ITI2	315.37 	303.99 	304.19 	300.08 	303.41 	303.48 	313.41 	306.56 	304.38 	304.25 	299.51 	304.53 
P_HTHAB,HBEDT,ITI3	376.61 	376.90 	372.69 	370.71 	357.03 	345.32 	332.31 	322.82 	319.47 	305.79 	308.36 	299.38 
P_HTHAB,HBEDT,ITI4	495.92 	495.64 	443.94 	419.46 	374.66 	373.58 	345.84 	336.45 	330.76 	334.65 	349.36 	331.32 
P_HTHAB,HBEDT,LI00	241.05 	239.62 	195.85 	216.54 	214.81 	212.79 	164.94 	163.77 	160.03 	159.08 	239.71 	101.97 
P_HTHAB,HBEDT,LT00	719.00 	717.83 	718.29 	716.43 	743.40 	743.23 	728.20 	722.15 	696.61 	669.16 	: 	: 
P_HTHAB,HBEDT,LT01	834.57 	829.41 	834.95 	828.75 	852.34 	841.69 	813.44 	797.95 	766.44 	733.16 	718.77 	703.88 
P_HTHAB,HBEDT,LT02	679.23 	678.96 	677.11 	676.13 	703.70 	708.68 	700.45 	699.21 	669.78 	644.17 	630.71 	618.88 
P_HTHAB,HBEDT,LU00	566.88 	556.84 	546.62 	536.74 	527.83 	515.31 	517.15 	505.29 	493.33 	480.58 	466.18 	450.70 
P_HTHAB,HBEDT,LV00	783.20 	776.50 	673.96 	568.28 	588.00 	588.50 	579.98 	565.71 	569.45 	571.97 	556.67 	549.35 
P_HTHAB,HBEDT,ME00	404.99 	392.96 	394.29 	398.11 	397.69 	397.36 	388.92 	393.37 	393.15 	393.06 	386.10 	391.31 
P_HTHAB,HBEDT,MK00	456.36 	454.64 	447.80 	459.07 	450.76 	440.36 	444.65 	439.64 	438.86 	437.16 	428.05 	: 
P_HTHAB,HBEDT,MT00	784.81 	738.92 	483.18 b	452.10 	438.18 b	470.68 	477.50 	458.86 	458.60 	467.11 	448.51 	430.84 
P_HTHAB,HBEDT,NO01	: 	: 	463.70 	403.31 	407.27 	377.22 	373.78 	377.84 	383.57 	379.10 	365.12 	363.80 
P_HTHAB,HBEDT,NO02	: 	: 	579.25 	572.69 	516.86 	511.49 	499.47 	511.34 	509.50 	491.76 	495.79 	492.90 
P_HTHAB,HBEDT,NO03	: 	: 	427.64 	409.06 	395.07 	370.56 	356.88 	353.94 	336.49 	327.24 	315.07 	301.09 
P_HTHAB,HBEDT,NO04	: 	: 	365.65 	361.73 	363.25 	343.76 	334.65 	327.42 	316.43 	309.41 	303.98 	298.55 
P_HTHAB,HBEDT,NO05	: 	: 	427.49 	404.66 	401.81 	381.50 	374.23 	376.41 	362.13 	352.39 	346.75 	333.64 
P_HTHAB,HBEDT,NO06	: 	: 	471.21 	447.95 	448.49 	432.68 	409.38 	393.67 	378.42 	373.65 	365.03 	361.44 
P_HTHAB,HBEDT,NO07	: 	: 	525.05 	504.35 	486.68 	484.92 	462.32 	456.81 	449.05 	442.29 	438.26 	430.66 
P_HTHAB,HBEDT,PL11	561.06 	581.65 bd	582.45 d	579.20 d	581.56 d	559.26 bd	573.58 d	571.53 d	574.90 d	569.02 	: 	: 
P_HTHAB,HBEDT,PL12	549.08 	570.10 bd	566.16 d	562.19 d	564.29 d	560.88 bd	563.42 d	557.01 d	550.57 d	554.42 	: 	: 
P_HTHAB,HBEDT,PL21	659.98 	681.61 bd	685.47 d	661.80 d	656.52 d	657.35 bd	657.02 d	662.19 d	653.92 d	653.45 	658.33 	658.71 
P_HTHAB,HBEDT,PL22	672.94 	695.61 bd	684.82 d	676.02 d	677.19 d	681.19 bd	683.33 d	676.16 d	667.18 d	671.79 	663.29 	656.05 
P_HTHAB,HBEDT,PL31	655.87 	684.65 bd	690.27 d	675.68 d	673.32 d	673.55 bd	653.44 d	650.92 d	652.23 d	652.18 	: 	: 
P_HTHAB,HBEDT,PL32	669.15 	692.76 bd	696.69 d	693.99 d	699.49 d	709.20 bd	708.34 d	708.53 d	720.10 d	723.33 	: 	: 
P_HTHAB,HBEDT,PL33	726.86 	758.69 bd	767.25 d	755.42 d	776.27 d	799.25 bd	780.60 d	805.84 d	830.41 d	836.73 	: 	: 
P_HTHAB,HBEDT,PL34	612.12 	626.90 bd	637.77 d	619.27 d	604.08 d	603.38 bd	614.68 d	620.93 d	626.28 d	619.29 	: 	: 
P_HTHAB,HBEDT,PL41	519.32 	536.07 bd	532.11 d	519.01 d	516.85 d	519.48 bd	475.70 d	504.65 d	508.79 d	498.55 	502.06 	487.41 
P_HTHAB,HBEDT,PL42	1033.35 	1085.95 bd	1123.15 d	1191.64 d	1258.83 d	1198.80 bd	1199.66 d	1166.67 d	1218.91 d	1201.81 	1196.15 	1203.38 
P_HTHAB,HBEDT,PL43	518.49 	531.07 bd	529.48 d	513.19 d	538.71 d	568.93 bd	561.72 d	560.02 d	520.62 d	516.80 	521.35 	509.61 
P_HTHAB,HBEDT,PL51	783.27 	778.70 bd	798.91 d	799.74 d	788.85 d	792.94 bd	800.21 d	790.36 d	790.80 d	791.23 	776.47 	774.78 
P_HTHAB,HBEDT,PL52	520.72 	547.89 bd	569.23 d	582.98 d	579.76 d	599.78 bd	594.79 d	590.05 d	566.44 d	585.62 	565.51 	547.91 
P_HTHAB,HBEDT,PL61	801.35 	811.02 bd	808.03 d	808.94 d	807.08 d	817.74 bd	845.72 d	854.42 d	857.44 d	879.06 	895.27 	894.93 
P_HTHAB,HBEDT,PL62	577.28 	589.02 bd	598.41 d	575.69 d	561.39 d	560.94 bd	556.84 d	554.69 d	554.76 d	562.62 	573.74 	553.32 
P_HTHAB,HBEDT,PL63	505.83 	519.95 bd	543.10 d	529.76 d	520.83 d	532.03 bd	535.68 d	567.55 d	574.86 d	569.47 	574.89 	551.39 
P_HTHAB,HBEDT,PL71	: 	: 	: 	: 	: 	: 	: 	571.53 d	574.90 d	569.02 	564.28 	548.13 
P_HTHAB,HBEDT,PL72	: 	: 	: 	: 	: 	: 	: 	805.84 d	830.41 d	836.73 	833.76 	802.28 
P_HTHAB,HBEDT,PL81	: 	: 	: 	: 	: 	: 	: 	650.92 d	652.23 d	652.18 	657.20 	658.33 
P_HTHAB,HBEDT,PL82	: 	: 	: 	: 	: 	: 	: 	708.53 d	720.10 d	723.33 	714.72 	704.02 
P_HTHAB,HBEDT,PL84	: 	: 	: 	: 	: 	: 	: 	620.93 d	626.28 d	619.29 	631.02 	628.80 
P_HTHAB,HBEDT,PL91	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	610.61 
P_HTHAB,HBEDT,PL92	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	450.92 
P_HTHAB,HBEDT,PT11	291.71 	282.12 	286.31 	292.99 	294.09 	296.54 	298.07 	299.95 	298.00 	307.19 	312.34 	320.19 
P_HTHAB,HBEDT,PT15	222.39 	204.88 	203.63 	205.77 	222.86 	249.51 	263.89 	255.03 	249.94 	250.17 	256.05 	283.90 
P_HTHAB,HBEDT,PT16	342.76 	354.75 	344.13 	336.96 	326.22 	330.78 	316.46 	298.69 	305.99 	312.25 	314.62 	314.12 
P_HTHAB,HBEDT,PT17	415.42 	404.83 	404.87 	399.72 	394.88 	393.31 	396.27 	385.85 	396.88 	390.27 	380.90 	383.10 
P_HTHAB,HBEDT,PT18	221.49 	216.16 	206.06 	210.55 	224.97 	224.74 	220.24 	211.29 	217.18 	213.24 	216.92 	218.00 
P_HTHAB,HBEDT,PT20	604.42 	610.49 	611.87 	612.98 	608.56 	613.25 	609.71 	604.30 	612.05 	619.08 	605.14 	608.17 
P_HTHAB,HBEDT,PT30	639.82 	634.53 	617.09 	616.44 	679.07 	705.44 	712.05 	700.77 	721.79 	709.17 	707.32 	726.32 
P_HTHAB,HBEDT,RO11	739.94 	727.11 	729.88 	671.33 	681.44 	698.12 	703.06 	698.18 	708.70 	712.46 	718.04 	726.78 
P_HTHAB,HBEDT,RO12	716.57 	705.21 	715.58 	649.48 	658.29 	689.24 	706.72 	708.62 	707.53 	713.38 	716.25 	718.86 
P_HTHAB,HBEDT,RO21	581.52 	595.15 	598.41 	567.28 	577.61 	629.85 	633.41 	639.47 	645.05 	645.13 	648.59 	657.75 
P_HTHAB,HBEDT,RO22	562.01 	562.04 	561.89 	522.11 	536.07 	569.23 	575.74 	583.95 	589.33 	595.61 	601.93 	617.04 
P_HTHAB,HBEDT,RO31	496.57 	496.85 	511.07 	481.92 	460.85 	474.56 	481.82 	487.25 	486.44 	492.20 	496.57 	506.49 
P_HTHAB,HBEDT,RO32	970.73 	993.79 	986.27 	988.89 	967.59 	981.94 	998.16 	995.58 	1023.18 	1022.74 	1018.22 	1012.51 
P_HTHAB,HBEDT,RO41	564.73 	569.77 	576.18 	569.88 	574.49 	600.87 	609.10 	621.42 	628.20 	641.96 	649.34 	662.35 
P_HTHAB,HBEDT,RO42	731.56 	735.15 	741.95 	706.29 	705.63 	724.95 	718.90 	719.96 	730.83 	733.30 	747.88 	746.88 
P_HTHAB,HBEDT,RS11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	622.60 	626.14 
P_HTHAB,HBEDT,RS12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	575.63 	570.77 
P_HTHAB,HBEDT,RS21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	478.43 	481.34 
P_HTHAB,HBEDT,RS22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	579.39 	592.67 
P_HTHAB,HBEDT,SE11	246.04 	238.58 	236.27 	238.81 	240.29 	243.59 b	242.37 	236.82 	233.12 	232.55 	216.11 	206.78 
P_HTHAB,HBEDT,SE12	304.87 	294.79 	293.89 	289.88 	280.62 	275.39 b	264.59 	257.71 	243.71 	233.91 	219.81 	215.39 
P_HTHAB,HBEDT,SE21	295.47 	288.61 	282.58 	284.52 	284.75 	283.78 b	279.47 	279.04 	269.43 	251.73 	229.50 	224.45 
P_HTHAB,HBEDT,SE22	297.19 	286.87 	282.62 	281.63 	277.04 	267.53 b	253.32 	245.38 	233.35 	226.58 	221.82 	209.72 
P_HTHAB,HBEDT,SE23	290.74 	288.80 	282.25 	269.88 	269.72 	255.10 b	252.92 	253.12 	241.98 	223.48 	210.64 	206.77 
P_HTHAB,HBEDT,SE31	264.27 	263.85 	257.65 	257.63 	254.08 	259.73 b	253.47 	245.14 	237.63 	227.36 	220.86 	209.67 
P_HTHAB,HBEDT,SE32	312.12 	314.05 	305.41 	283.08 	283.29 	284.27 b	282.30 	271.11 	266.90 	244.93 	242.13 	235.53 
P_HTHAB,HBEDT,SE33	342.16 	342.04 	340.67 	338.17 	333.43 	328.40 b	315.09 	300.91 	281.63 	274.10 	258.83 	252.78 
P_HTHAB,HBEDT,SI01	363.31 	375.67 	363.86 	361.99 	372.43 	372.86 	379.95 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,SI02	589.69 	586.97 	569.55 	564.35 	563.13 	545.22 	538.29 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,SI03	: 	370.70 	359.01 	357.11 	367.38 	367.78 	374.74 	375.92 	373.79 	373.00 	375.26 	370.58 
P_HTHAB,HBEDT,SI04	: 	596.11 	578.40 	573.15 	571.91 	553.72 	546.68 	541.71 	538.81 	533.61 	533.02 	523.11 
P_HTHAB,HBEDT,SK01	919.24 	902.68 	887.54 	869.67 	808.64 	806.42 	781.76 	761.85 	754.26 	748.13 	741.07 	725.71 b
P_HTHAB,HBEDT,SK02	554.99 	535.07 	527.50 	524.40 	490.64 	471.53 	472.90 	474.14 	474.72 	472.36 	473.06 	450.94 b
P_HTHAB,HBEDT,SK03	644.97 	633.59 	637.81 	624.10 	582.95 	579.39 	582.23 	582.32 	583.43 	580.84 	582.83 	579.62 b
P_HTHAB,HBEDT,SK04	759.92 	733.64 	727.91 	721.89 	678.13 	655.86 	624.29 	623.43 	611.03 	629.51 	640.98 	631.93 b
P_HTHAB,HBEDT,TR10	: 	253.67 	256.74 	257.84 	232.94 	234.62 	236.33 	235.35 	234.82 	245.23 	254.44 	261.34 
P_HTHAB,HBEDT,TR21	: 	291.98 	288.62 	295.13 	285.18 	285.96 	283.83 	289.86 	287.34 	316.14 	316.83 	308.68 
P_HTHAB,HBEDT,TR22	: 	271.67 	278.38 	287.19 	263.99 	264.87 	263.29 	255.68 	256.52 	254.80 	271.09 	285.17 
P_HTHAB,HBEDT,TR31	: 	308.15 	301.32 	300.83 	282.48 	286.40 	281.68 	280.20 	276.91 	272.19 	280.41 	278.64 
P_HTHAB,HBEDT,TR32	: 	226.20 	217.44 	239.10 	233.96 	238.22 	253.78 	261.31 	266.16 	267.87 	277.63 	274.52 
P_HTHAB,HBEDT,TR33	: 	265.34 	270.19 	268.96 	283.18 	288.43 	287.58 	290.58 	294.78 	303.68 	314.64 	320.63 
P_HTHAB,HBEDT,TR41	: 	288.75 	279.07 	298.75 	282.41 	283.94 	278.57 	280.10 	275.92 	272.80 	262.31 	277.32 
P_HTHAB,HBEDT,TR42	: 	216.84 	219.38 	228.44 	229.09 	239.70 	240.70 	251.10 	256.47 	246.65 	237.42 	236.09 
P_HTHAB,HBEDT,TR51	: 	433.09 	440.75 	469.30 	383.08 	377.58 	360.26 	365.68 	347.56 	354.90 	340.71 	334.11 
P_HTHAB,HBEDT,TR52	: 	232.51 	244.27 	318.41 	322.10 	323.97 	316.75 	312.79 	294.25 	319.48 	315.08 	332.70 
P_HTHAB,HBEDT,TR61	: 	264.31 	268.96 	277.17 	289.27 	279.88 	274.80 	272.63 	280.56 	280.70 	311.14 	321.00 
P_HTHAB,HBEDT,TR62	: 	230.90 	228.49 	246.90 	249.09 	250.88 	252.55 	255.84 	263.23 	259.37 	293.54 	293.18 
P_HTHAB,HBEDT,TR63	: 	158.66 	159.83 	175.00 	178.12 	188.94 	191.74 	208.09 	222.70 	246.77 	253.41 	258.57 
P_HTHAB,HBEDT,TR71	: 	207.73 	221.18 	255.51 	231.02 	236.04 	217.37 	229.87 	241.78 	243.42 	260.44 	259.63 
P_HTHAB,HBEDT,TR72	: 	263.26 	272.27 	290.16 	313.08 	315.63 	315.45 	317.50 	314.94 	323.78 	328.90 	347.36 
P_HTHAB,HBEDT,TR81	: 	293.43 	296.54 	281.88 	301.29 	307.42 	308.27 	306.40 	317.16 	318.99 	313.66 	321.19 
P_HTHAB,HBEDT,TR82	: 	265.02 	272.50 	260.04 	275.52 	295.25 	269.83 	270.03 	257.08 	266.93 	270.86 	264.93 
P_HTHAB,HBEDT,TR83	: 	283.51 	301.68 	299.52 	298.04 	303.00 	302.07 	314.97 	312.20 	311.03 	327.02 	333.11 
P_HTHAB,HBEDT,TR90	: 	298.20 	319.27 	321.13 	318.34 	333.16 	326.97 	324.31 	316.63 	327.88 	326.69 	326.87 
P_HTHAB,HBEDT,TRA1	: 	412.57 	441.25 	440.52 	399.66 	402.57 	410.45 	407.15 	414.01 	380.95 	400.07 	404.25 
P_HTHAB,HBEDT,TRA2	: 	155.12 	164.47 	158.89 	153.89 	180.55 	186.04 	186.16 	185.08 	181.93 	188.66 	190.03 
P_HTHAB,HBEDT,TRB1	: 	354.29 	337.51 	369.61 	368.63 	359.89 	362.32 	367.50 	380.21 	361.10 	382.48 	389.42 
P_HTHAB,HBEDT,TRB2	: 	196.27 	203.18 	204.64 	195.11 	195.37 	210.33 	214.75 	214.29 	232.45 	232.82 	231.64 
P_HTHAB,HBEDT,TRC1	: 	177.92 	183.06 	203.14 	197.06 	218.11 	222.54 	228.45 	229.90 	269.22 	274.57 	275.19 
P_HTHAB,HBEDT,TRC2	: 	175.18 	174.54 	199.71 	196.53 	211.55 	218.73 	214.16 	217.78 	230.97 	231.39 	232.52 
P_HTHAB,HBEDT,TRC3	: 	106.29 	133.00 	131.51 	149.80 	155.19 	157.27 	168.26 	174.18 	185.42 	192.18 	187.94 
