"indic_sb,nace_r2,geo\time"	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
"V97120,R_S,BG32"	7.79	7.86	6.04	5.94	5.28	6.55	7.22	: 	: 	: 
"V97120,R_S,BG321"	8.34	11.7	4.46	7.01	5.87	5.98	5.94	: 	: 	: 
"V97120,R_S,BG322"	4.08	5.65	5.1	4.11	6.84	6.73	9.82	: 	: 	: 
"V97120,R_S,BG323"	4.35	6.42	4.53	6.27	4.37	6.04	6.23	: 	: 	: 
"V97120,R_S,BG324"	17.71	5.45	12.07	5.07	4.77	4.84	5.1	: 	: 	: 
"V97120,R_S,BG325"	8.61	7.32	10.85	5.91	4.82	13.32	13.04	: 	: 	: 
"V97120,R_S,BG33"	8.68	8.16	7.3	8.54	6.14	8.04	7.22	: 	: 	: 
"V97120,R_S,BG331"	7.74	7.93	7.4	9.33	6.36	8.5	8.26	: 	: 	: 
"V97120,R_S,BG332"	7.12	8.54	7.31	6.91	6.07	9.73	5.55	: 	: 	: 
"V97120,R_S,BG333"	7.09	10.34	6.89	6.08	4.16	4.78	3.74	: 	: 	: 
"V97120,R_S,BG334"	22.15	6.8	6.74	6.71	7.05	5.17	6.8	: 	: 	: 
"V97120,R_S,BG34"	8.52	8.33	8.16	9.65	7.44	9.05	8.1	: 	: 	: 
"V97120,R_S,BG341"	8.32	8.56	9.29	10.08	9.6	11.65	9.41	: 	: 	: 
"V97120,R_S,BG342"	9.83	9.96	4.67	15.22	4.49	7.22	5.73	: 	: 	: 
"V97120,R_S,BG343"	6.19	10.08	6.61	6.63	5.08	7.67	6.2	: 	: 	: 
"V97120,R_S,BG344"	9.04	6.78	7.71	7.3	5.57	5.85	7.57	: 	: 	: 
"V97120,R_S,BG4"	5.5	5.49	5.37	5.46	5.34	6.22	6.22	: 	: 	: 
"V97120,R_S,BG41"	5.13	5.07	5.09	4.98	5.08	5.7	5.31	: 	: 	: 
"V97120,R_S,BG411"	4.82	4.73	4.73	4.8	4.76	5.2	4.91	: 	: 	: 
"V97120,R_S,BG412"	6.02	5.49	4.63	7.02	7.71	11.48	6.52	: 	: 	: 
"V97120,R_S,BG413"	6.72	7.15	7.93	5.14	5.2	7.61	8.84	: 	: 	: 
"V97120,R_S,BG414"	7.81	7.11	7.25	5.6	11.43	7.06	5.58	: 	: 	: 
"V97120,R_S,BG415"	6.88	7.84	7.45	5.96	4.58	5.01	4.7	: 	: 	: 
"V97120,R_S,BG42"	6.67	6.82	6.32	7.07	6.2	7.92	9.27	: 	: 	: 
"V97120,R_S,BG421"	6.93	6.5	6.65	6.24	5.05	7.64	8.24	: 	: 	: 
"V97120,R_S,BG422"	5.93	7.38	5.04	5.05	7.21	12.14	8.6	: 	: 	: 
"V97120,R_S,BG423"	6.23	6.75	7.3	12.07	11.81	6.82	19.13	: 	: 	: 
"V97120,R_S,BG424"	4.59	6.29	4.53	8.53	3.38	5.22	6.21	: 	: 	: 
"V97120,R_S,BG425"	9.4	8.94	6.95	9.42	6.95	6.03	4.75	: 	: 	: 
"V97120,R_S,CZ"	5.29	5.26	4.62	5.57	5.88	: 	: 	: 	: 	: 
"V97120,R_S,CZ0"	5.29	5.26	4.62	5.57	5.88	: 	: 	: 	: 	: 
"V97120,R_S,CZ01"	4.32	3.6	3.25	4.26	4.57	: 	: 	: 	: 	: 
"V97120,R_S,CZ010"	4.32	3.6	3.25	4.26	4.57	: 	: 	: 	: 	: 
"V97120,R_S,CZ02"	5.46	5.52	4.92	5.74	5.82	: 	: 	: 	: 	: 
"V97120,R_S,CZ020"	5.46	5.52	4.92	5.74	5.82	: 	: 	: 	: 	: 
"V97120,R_S,CZ03"	6.23	6.05	5.36	6.55	6.43	: 	: 	: 	: 	: 
"V97120,R_S,CZ031"	6.9	6.54	5.44	6.81	6.92	: 	: 	: 	: 	: 
"V97120,R_S,CZ032"	5.55	5.58	5.28	6.28	5.92	: 	: 	: 	: 	: 
"V97120,R_S,CZ04"	6.15	5.84	5.37	5.89	6.41	: 	: 	: 	: 	: 
"V97120,R_S,CZ041"	6.99	5.97	5.36	6.46	7.29	: 	: 	: 	: 	: 
"V97120,R_S,CZ042"	5.69	5.77	5.37	5.59	5.95	: 	: 	: 	: 	: 
"V97120,R_S,CZ05"	5.55	6.04	5.12	6.08	6.32	: 	: 	: 	: 	: 
"V97120,R_S,CZ051"	5.85	6.42	5.09	6.63	5.91	: 	: 	: 	: 	: 
"V97120,R_S,CZ052"	5.43	5.42	5.32	5.1	5.77	: 	: 	: 	: 	: 
"V97120,R_S,CZ053"	5.41	6.4	4.92	6.74	7.35	: 	: 	: 	: 	: 
"V97120,R_S,CZ06"	4.91	5.36	4.93	6.01	6.17	: 	: 	: 	: 	: 
"V97120,R_S,CZ063"	7.23	6.94	6.89	7.82	7.96	: 	: 	: 	: 	: 
