"sectperf,unit,geo\time"	2018	2017		ITI4
"BES,EUR_HAB,DK02"	: 	260.9 p		
"BES,EUR_HAB,DK03"	: 	504.3 p		
"BES,EUR_HAB,DK04"	: 	703.9 p		
"BES,EUR_HAB,DK05"	: 	242.4 p		
"BES,EUR_HAB,EA19"	498	476.3		
"BES,EUR_HAB,EE"	117.4	109.2		
"BES,EUR_HAB,EE0"	117.4	109.2		
"BES,EUR_HAB,EE00"	117.4	109.2		
"BES,EUR_HAB,EL"	97.7	92.3		
"BES,EUR_HAB,EL3"	213.2	200.3		
"BES,EUR_HAB,EL30"	213.2	200.3		
"BES,EUR_HAB,EL4"	13.1	11.8		
"BES,EUR_HAB,EL41"	5.1	4.3		
"BES,EUR_HAB,EL42"	1.4	0.2		
"BES,EUR_HAB,EL43"	22	20.4		
"BES,EUR_HAB,EL5"	44	50.1		
"BES,EUR_HAB,EL51"	22.7	24		
"BES,EUR_HAB,EL52"	57.4	63.9		
"BES,EUR_HAB,EL53"	17.9	7.6		
"BES,EUR_HAB,EL54"	28.5	53.8		
"BES,EUR_HAB,EL6"	35.9	25.5		
"BES,EUR_HAB,EL61"	24.4	12.6		
"BES,EUR_HAB,EL62"	13.3	3.8		
"BES,EUR_HAB,EL63"	32.7	28.4		
"BES,EUR_HAB,EL64"	56.9	55.3		
"BES,EUR_HAB,EL65"	41.8	17.2		
"BES,EUR_HAB,ES"	181	166.1		
"BES,EUR_HAB,ES1"	105.7	98.5		
"BES,EUR_HAB,ES11"	109.5	106.3		
"BES,EUR_HAB,ES12"	110	94.7		
"BES,EUR_HAB,ES13"	80.9	68.8		
"BES,EUR_HAB,ES2"	351.3	330.7		
"BES,EUR_HAB,ES21"	508.6	467.9		
"BES,EUR_HAB,ES22"	361.9	373.2		
"BES,EUR_HAB,ES23"	105.5	124.8		
"BES,EUR_HAB,ES24"	143.9	133		
"BES,EUR_HAB,ES3"	352.1	328.4		
"BES,EUR_HAB,ES30"	352.1	328.4		
"BES,EUR_HAB,ES4"	119.5	107.3		
"BES,EUR_HAB,ES41"	206.7	180.2		
"BES,EUR_HAB,ES42"	64	64.7		
"BES,EUR_HAB,ES43"	28	23.2		
"BES,EUR_HAB,ES5"	200.3	179		
"BES,EUR_HAB,ES51"	286.6	257.8		
"BES,EUR_HAB,ES52"	108.2	96		
"BES,EUR_HAB,ES53"	37.7	25.2		
"BES,EUR_HAB,ES6"	69.1	65.5		
"BES,EUR_HAB,ES61"	65.3	63		
"BES,EUR_HAB,ES62"	98.3	86.9		
"BES,EUR_HAB,ES63"	: c	: c		
"BES,EUR_HAB,ES64"	: c	: c		
"BES,EUR_HAB,ES7"	19.8	15.8		
"BES,EUR_HAB,ES70"	19.8	15.8		
"BES,EUR_HAB,EU27_2020"	439.4	419.7		
