unit,isced11,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED5,F,DEZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,DK	: 	16458 	16695 	16316 	17236 	16814 	15459 
NR,ED5,F,DK0	: 	16458 	16695 	16316 	17236 	16814 	15459 
NR,ED5,F,DK01	: 	6332 	6091 	6111 	6616 	6437 	5834 
NR,ED5,F,DK02	: 	1397 	1430 	1449 	1458 	1433 	1494 
NR,ED5,F,DK03	: 	3222 	3257 	2959 	3307 	3397 	2870 
NR,ED5,F,DK04	: 	3836 	4125 	4134 	4147 	4035 	3845 
NR,ED5,F,DK05	: 	1671 	1792 	1663 	1708 	1512 	1416 
NR,ED5,F,DKZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,DKZZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,EE	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EE0	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EE00	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL3	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL30	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL4	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL41	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL42	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL43	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL5	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL51	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL52	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL53	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL54	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL6	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL61	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL62	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL63	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL64	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,EL65	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,ELZ	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,ELZZ	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,ES	: 	197924 	187230 	177052 	179404 	177578 	: 
NR,ED5,F,ES1	: 	19092 	18390 	17991 	19025 	18562 	18039 
