"prof_pos,sex,sectperf,unit,geo\time"	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980
"TOTAL,T,TOTAL,PC_EMP_HC,DE9"	: 	1.8886	: 	1.8686	: 	1.8057	: 	1.7497	: 	1.5971	: 	1.6031	: 	1.503	: 	1.5471	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE91"	: 	5.059	: 	4.9082	: 	4.7407	: 	4.4257	: 	4.0645	: 	4.0822	: 	3.9026	: 	4.0501	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE92"	: 	1.913	: 	1.97	: 	1.8916	: 	1.9412	: 	1.775	: 	1.7655	: 	1.6959	: 	1.7694	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE93"	: 	0.512	: 	0.4714	: 	0.5361	: 	0.5025	: 	0.4634	: 	0.4962	: 	0.4005	: 	0.297	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE94"	: 	0.8925	: 	0.8689	: 	0.8014	: 	0.7502	: 	0.6504	: 	0.6338	: 	0.5652	: 	0.583	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEA"	: 	1.904	: 	1.8627	: 	1.798	: 	1.7775	: 	1.6461	: 	1.5074	: 	1.4549	: 	1.4738	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEA1"	: 	1.5111	: 	1.5014	: 	1.3853	: 	1.4463	: 	1.4342	: 	1.289	: 	1.2741	: 	1.21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEA2"	: 	2.9988	: 	2.9918	: 	2.8622	: 	2.8609	: 	2.541	: 	2.3095	: 	2.2934	: 	2.4678	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEA3"	: 	1.147	: 	1.1394	: 	1.1776	: 	1.1133	: 	0.9969	: 	0.963	: 	0.9324	: 	0.9654	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEA4"	: 	1.8582	: 	1.7097	: 	1.7192	: 	1.644	: 	1.5387	: 	1.3817	: 	1.1778	: 	1.0947	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEA5"	: 	1.6612	: 	1.605	: 	1.5882	: 	1.4905	: 	1.3711	: 	1.2996	: 	1.2316	: 	1.2512	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEB"	: 	1.6048	: 	1.6318	: 	1.5177	: 	1.4802	: 	1.4259	: 	1.2618	: 	1.1966	: 	1.2748	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEB1"	: 	0.6466	: 	0.5946	: 	0.6207	: 	0.5879	: 	0.624	: 	0.5394	: 	0.4803	: 	0.491	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEB2"	: 	0.7816	: 	0.8194	: 	0.861	: 	0.9353	: 	0.8709	: 	0.7452	: 	0.5897	: 	0.582	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEB3"	: 	2.5388	: 	2.6257	: 	2.3503	: 	2.2923	: 	2.1641	: 	1.9314	: 	1.9095	: 	2.0331	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEC"	: 	1.8346	: 	1.754	: 	1.6646	: 	1.5863	: 	1.45	: 	1.3756	: 	1.2085	: 	1.2222	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEC0"	: 	1.8346	: 	1.754	: 	1.6646	: 	1.5863	: 	1.45	: 	1.3756	: 	1.2085	: 	1.2222	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DED"	: 	2.438	: 	2.3542	: 	2.3397	: 	2.2774	: 	2.0712	: 	1.9311	: 	1.7874	: 	1.8159	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DED2"	: 	3.1041	: 	2.9584	: 	2.0697	: 	2.4322	: 	2.0984	: 	2.6012	: 	2.3765	: 	2.2957	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DED4"	: 	1.7658	: 	1.7285	: 	2.7555	: 	2.1888	: 	2.1048	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DED5"	: 	2.3473	: 	2.2909	: 	2.1597	: 	2.1585	: 	1.9776	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEE"	: 	1.3504	: 	1.3292	: 	1.3808	: 	1.2949	: 	1.241	: 	1.1461	: 	1.1432	: 	1.1436	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEE0"	: 	1.3504	: 	1.3292	: 	1.3808	: 	1.2949	: 	1.241	: 	1.1461	: 	1.1432	: 	1.1436	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEF"	: 	1.3049	: 	1.2755	: 	1.2741	: 	1.1936	: 	1.1179	: 	1.0201	: 	1.0288	: 	1.0138	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEF0"	: 	1.3049	: 	1.2755	: 	1.2741	: 	1.1936	: 	1.1179	: 	1.0201	: 	1.0288	: 	1.0138	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEG"	: 	1.8014	: 	1.7537	: 	1.7178	: 	1.6762	: 	1.6309	: 	1.5412	: 	1.5326	: 	1.5106	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DEG0"	: 	1.8014	: 	1.7537	: 	1.7178	: 	1.6762	: 	1.6309	: 	1.5412	: 	1.5326	: 	1.5106	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DK"	: 	3.3678 p	3.274	3.2945	3.2721	3.3306	3.3138	3.3034	3.2536	3.1577	3.0481	2.4786 b	2.4741	2.4858	2.4506	2.2703	2.3068	2.2152	2.0812	2.0446	: 	1.9815	: 	1.9616	: 	1.7346	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DK0"	: 	3.2585 p	3.1646	3.1899	3.1678	3.2305	3.2138	3.2102	3.1507	3.0016	: 	2.4387 b	: 	: 	: 	2.2854	2.2697	2.2011	2.0642	2.0235	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DK01"	: 	5.448 p	5.2773	5.4569	5.4993	5.5294	5.6053	5.6355	5.8845	5.711	: 	4.9416 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DK02"	: 	1.1833 p	1.0982	1.0801	1.1402	1.1227	1.1177	1.2172	1.2432	2.6798	: 	0.842 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DK03"	: 	2.0329 p	2.1074	1.9312	1.9225	1.8252	1.8028	1.6734	1.7396	0.9018	: 	0.9235 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DK04"	: 	2.9407 p	2.7038	2.8374	2.7271	3.0274	2.9787	3.034	2.6055	1.6148	: 	1.92 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DK05"	: 	1.9828 p	2.0603	1.9396	1.8857	2.0328	2.0124	1.885	1.6834	3.2419	: 	1.4212 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EA19"	: 	2.3098	: 	2.215 e	: 	2.1439	: 	2.0266	: 	1.8545 e	: 	1.7092 e	: 	1.6188 e	: 	1.5616 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EE"	1.5046	1.5324	1.5088	1.6132	1.7487	1.7226	1.7267	1.7407	1.8383	1.7284	1.5223	1.4677	1.4045	1.3392	1.359	1.3058	1.2142	1.192	1.1539	1.1588	1.116	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EE0"	1.5046	1.5324	1.5088	1.6132	1.7487	1.7226	1.7267	1.7407	1.8383	1.7284	1.5223	1.4677	1.4045	1.3392	1.359	1.3058	1.2142	1.192	1.1539	1.1588	1.116	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EE00"	1.5046	1.5324	1.5088	1.6132	1.7487	1.7226	1.7267	1.7407	1.8383	1.7284	1.5223	1.4677	1.4045	1.3392	1.359	1.3058	1.2142	1.192	1.1539	1.1588	1.116	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL"	: 	2.5675	: 	2.7063	: 	2.3904	: 	1.765 b	: 	: 	: 	: 	: 	1.4092	: 	1.3315	: 	1.3521	: 	1.4505	: 	1.1537	: 	0.9855	: 	0.8475	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL3"	: 	3.548	: 	3.5502	: 	2.7673	: 	1.8445 b	: 	: 	: 	: 	: 	1.7773	: 	1.7856	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL30"	: 	3.548	: 	3.5502	: 	2.7673	: 	1.8445 b	: 	: 	: 	: 	: 	1.7773	: 	1.7856	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL4"	: 	2.1304	: 	2.2842	: 	2.4283	: 	2.0159 b	: 	: 	: 	: 	: 	1.2142	: 	1.2308	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL41"	: 	2.0605	: 	2.3431	: 	2.3841	: 	2.4791 b	: 	: 	: 	: 	: 	1.1299	: 	1.1591	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL42"	: 	0.7698	: 	0.7309	: 	0.9967	: 	0.8814 b	: 	: 	: 	: 	: 	0.4931	: 	0.5223	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL43"	: 	2.891	: 	3.2487	: 	3.2602	: 	2.4889 b	: 	: 	: 	: 	: 	1.5942	: 	1.6155	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL5"	: 	2.1244	: 	2.3791	: 	2.5176	: 	1.8866 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL51"	: 	1.5496	: 	1.8332	: 	2.2038	: 	1.713 b	: 	: 	: 	: 	: 	1.0344	: 	0.8269	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL52"	: 	2.2775	: 	2.4825	: 	2.4875	: 	1.8382 b	: 	: 	: 	: 	: 	1.6506	: 	1.3207	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL53"	: 	1.3077	: 	1.7118	: 	1.2348	: 	1.6943 b	: 	: 	: 	: 	: 	0.3978	: 	0.4576	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL54"	: 	2.999	: 	3.3295	: 	4.1954	: 	2.5846 b	: 	: 	: 	: 	: 	2.1731	: 	1.4634	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL6"	: 	1.6282	: 	1.7968	: 	1.5267	: 	1.2676 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL61"	: 	1.7804	: 	1.6162	: 	1.4807	: 	2.0565 b	: 	: 	: 	: 	: 	0.6211	: 	0.8801	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL62"	: 	1.474	: 	1.6288	: 	1.1582	: 	0.6876 b	: 	: 	: 	: 	: 	0.4474	: 	0.3784	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL63"	: 	3.0461	: 	3.4011	: 	2.8515	: 	1.666 b	: 	: 	: 	: 	: 	1.3454	: 	1.5374	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL64"	: 	0.8	: 	0.9155	: 	0.9089	: 	0.5535 b	: 	: 	: 	: 	: 	0.3838	: 	0.2687	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,EL65"	: 	0.7571	: 	1.1884	: 	0.8777	: 	0.7187 b	: 	: 	: 	: 	: 	0.5992	: 	0.2719	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES"	1.9298	1.9	1.8798	1.9088	1.9341	1.9594	1.962	1.937	1.9394	1.8927	1.7356	1.6206	1.5657	1.4831	1.4859	1.4393	1.3905	1.3031	: 	1.2219	: 	1.1706	: 	1.186	1.1108	1.004	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES1"	1.6737	1.6759	1.5942	1.6386	1.6923	1.7508	1.6586	1.6256	1.6669	1.6464	1.5559	1.5172	1.4134	1.2779	1.3188	1.2396	1.2237	1.1289	: 	0.9447	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES11"	1.7802	1.7576	1.6355	1.6651	1.7366	1.7597	1.6539	1.5745	1.6353	1.6685	1.6344	1.6138	1.4612	1.4084	1.4473	1.3911	1.3017	1.1625	: 	0.9805	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES12"	1.4386	1.536	1.5019	1.5999	1.6597	1.8105	1.686	1.7487	1.7682	1.6584	1.4455	1.3868	1.3437	1.1794	1.2369	1.135	1.2683	1.0805	: 	0.8582	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES13"	1.5801	1.5462	1.5632	1.5846	1.5513	1.6112	1.6345	1.6515	1.639	1.5247	1.389	1.294	1.3103	0.832	0.8509	0.6848	0.7673	1.0476	: 	0.9148	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES2"	2.7145	2.6243	2.5879	2.6582	2.6814	2.7052	2.712	2.5745	2.4907	2.5285	2.2696	2.1305	1.976	1.8242	1.8634	1.7063	1.5473	1.4314	: 	1.2543	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES21"	3.4014	3.2583	3.1771	3.305	3.298	3.304	3.3086	2.9988	2.8189	2.9319	2.6132	2.4693	2.1318	2.0613	2.0616	1.8432	1.7376	1.6044	: 	1.3831	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES22"	2.7318	2.6754	2.6393	2.6319	2.5951	2.74	2.7343	2.8391	2.9168	2.9195	2.6676	2.4359	2.5986	2.2624	2.3296	2.1949	1.7926	1.5717	: 	1.4907	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES23"	1.8587	1.997	2.0173	1.9732	2.0323	2.0094	2.1553	2.0969	2.0771	1.9887	1.7177	1.6594	1.3662	1.1059	1.2783	1.2047	1.029	0.9322	: 	0.639	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES24"	1.8062	1.7342	1.7407	1.7886	1.8579	1.8406	1.8439	1.8194	1.8181	1.8118	1.6581	1.5532	1.559	1.3944	1.4414	1.3457	1.2043	1.163	: 	1.0463	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES3"	2.6922	2.6803	2.6959	2.7207	2.7324	2.7522	2.7285	2.8607	2.9198	2.8688	2.6744	2.5579	2.4729	2.4097	2.4081	2.3619	2.4604	2.4976	: 	2.5381	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES30"	2.6922	2.6803	2.6959	2.7207	2.7324	2.7522	2.7285	2.8607	2.9198	2.8688	2.6744	2.5579	2.4729	2.4097	2.4081	2.3619	2.4604	2.4976	: 	2.5381	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES4"	1.3463	1.3168	1.2833	1.3217	1.3142	1.3377	1.4876	1.5048	1.4775	1.4223	1.3488	1.2134	1.1692	1.12	1.1179	1.0802	1.0696	1.0557	: 	0.9415	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES41"	1.8566	1.7879	1.7224	1.7906	1.8037	1.8129	1.9377	1.9979	1.9178	1.869	1.7995	1.6813	1.6332	1.5237	1.5609	1.4836	1.4878	1.4728	: 	1.2823	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES42"	0.8523	0.8421	0.8586	0.8437	0.8109	0.7789	1.045	1.0645	1.0958	1.0669	0.9697	0.8081	0.7435	0.736	0.7111	0.7016	0.6979	0.6393	: 	0.6078	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES43"	1.0718	1.0802	0.9964	1.0645	1.0549	1.2274	1.1702	1.1177	1.1069	0.9869	0.9632	0.8383	0.8124	0.8148	0.7593	0.7598	0.6687	0.7267	: 	0.632	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES5"	1.9686	1.9136	1.9026	1.8972	1.9392	1.9272	1.928	1.8666	1.8776	1.8307	1.6602	1.5272	1.4693	1.3968	1.4295	1.3918	1.2926	1.1035	: 	1.0325	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES51"	2.2687	2.1978	2.1743	2.1843	2.1842	2.2559	2.2365	2.0962	2.1427	2.1235	1.9511	1.7972	1.758	1.6251	1.7007	1.6476	1.5113	1.2538	: 	1.226	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES52"	1.8087	1.7673	1.7859	1.7464	1.8564	1.7042	1.7248	1.7396	1.6959	1.6225	1.4334	1.3101	1.2386	1.2384	1.2261	1.2198	1.1597	1.0361	: 	0.8759	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES53"	0.75	0.7247	0.6962	0.7174	0.7102	0.7064	0.7231	0.7998	0.8094	0.7029	0.6109	0.5823	0.4438	0.4455	0.3967	0.3307	0.3145	0.3274	: 	0.2596	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES6"	1.4966	1.4976	1.4733	1.5185	1.5289	1.5796	1.5329	1.4938	1.4819	1.4013	1.2726	1.1829	1.1958	1.0948	1.0761	1.0655	0.9538	0.99	: 	0.9495	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES61"	1.4854	1.4952	1.4751	1.5319	1.5571	1.6186	1.5652	1.5281	1.513	1.4296	1.3008	1.2021	1.2384	1.0893	1.0891	1.0732	0.9843	1.025	: 	0.9648	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES62"	1.6519	1.6228	1.5767	1.5698	1.5083	1.5195	1.4952	1.4438	1.4402	1.367	1.1983	1.1432	1.0387	1.1899	1.0759	1.0936	0.8814	0.9066	: 	0.9639	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES63"	: c	: c	: c	0.2677	0.28	0.1367	0.1687	0.1466	0.145	0.1232	0.3577	0.3061	0.3315	0.2793	0.2918	0.568 d	0 d	0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,ES64"	: c	: c	: c	0.217	0.2593	0.248	0.2656	0.2395	0.2438	0.2338	0.5294	0.5481	0.4473	0.3303	0.3156	0 d	0 d	0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
