"prof_pos,sex,sectperf,unit,geo\time"	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980
"TOTAL,T,TOTAL,PC_EMP_HC,BE22"	: 	: c	: 	1.4745	: 	1.1259	: 	0.9372	0.8908	0.9181	0.8716	0.8554	0.8216	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE23"	: 	: c	: 	2.8795	: 	2.6154	: 	2.3376	2.2521	2.1648	2.0705	1.9697	1.8985	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE24"	: 	: c	: 	4.3118	: 	3.8795	: 	3.5696	3.5435	3.4875	3.4978	3.1739	3.1662	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE25"	: 	: c	: 	1.2666	: 	1.1075	: 	0.8923	0.7963	0.8517	0.8312	0.8571	0.8562	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE3"	: 	2.1214	: 	1.819	: 	1.6285	: 	1.7166	1.5365	1.5831	1.5181	1.5042	1.4782	1.4552	1.435	1.515	1.4867	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE31"	: 	: c	: 	5.5015	: 	5.6072	: 	5.3129	3.9506	4.3791	4.2366	4.6068	4.6823	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE32"	: 	: c	: 	1.1887	: 	0.8839	: 	1.1264	1.0617	1.0029	0.9106	0.7784	0.7603	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE33"	: 	: c	: 	1.6976	: 	1.6367	: 	1.6224	1.6397	1.5489	1.5157	1.5467	1.4585	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE34"	: 	: c	: 	0.244	: 	0.2014	: 	0.3321	0.3848	0.2802	0.3	0.3261	0.3439	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE35"	: 	: c	: 	1.3745	: 	0.9128	: 	1.189	1.1456	1.5111	1.4568	1.3069	1.2942	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BG"	1.1277	1.016	1.0936	0.995	0.8707	0.7721	0.7488	0.7107	0.6856	0.6855	0.6079	0.6212	0.6183	0.6324	0.6265	0.6248	0.6221	0.6239	0.6089	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BG3"	0.7051	0.6146	0.6212	0.6411	0.5379	0.4514	0.4335	0.3902	0.3876	0.3787	0.3445	0.3351	0.3221	0.3041	0.2788	0.2649	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BG31"	0.6365	0.508	0.5529	0.49	0.3146	0.3119	0.3123	0.1977	0.2088	0.1828	0.2057	0.2192	0.1974	0.1805	0.1701	0.1666	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BG32"	0.6985	0.6349	0.5802	0.7011	0.6058	0.4725	0.4584	0.4853	0.4273	0.4281	0.4017	0.3627	0.3574	0.3876	0.2496	0.2188	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BG33"	0.9033	0.8225	0.8004	0.8167	0.7759	0.6204	0.5961	0.5377	0.5724	0.4962	0.4206	0.4151	0.4089	0.3933	0.4362	0.4113	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BG34"	0.5728	0.4734	0.5277	0.5257	0.4113	0.3793	0.3562	0.3201	0.3202	0.3802	0.3355	0.328	0.3069	0.2467	0.2483	0.2513	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BG4"	1.4382	1.3197	1.4715	1.2769	1.1341	1.0332	1.0133	0.9853	0.9403	0.9525	0.8374	0.8758	0.8901	0.9397	0.9252	0.9471	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BG41"	1.9237	1.8033	2.0024	1.7356	1.5884	1.4397	1.3985	1.3543	1.2935	1.3554	1.2041	1.2569	1.2945	1.3765	1.4136	1.4413	1.4815	: 	1.4873	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BG42"	0.6186	0.5272	0.5748	0.5095	0.3953	0.3596	0.3498	0.3388	0.3299	0.2955	0.2556	0.2704	0.2404	0.2522	0.2052	0.2046	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CH"	: 	2.8075	: 	2.8425	: 	: 	2.7873	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CH0"	: 	2.8075	: 	2.8425	: 	: 	2.7873	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CY"	0.9626	0.8973	0.8732	0.8346	0.8332	0.8395	0.7299	0.7236	0.688	0.6984	0.6671	0.678	0.7282	0.7308	0.6835	0.661	0.6289	0.5757	0.566	0.5507	0.4715	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CY0"	0.9626	0.8973	0.8732	0.8346	0.8332	0.8395	0.7299	0.7236	0.688	0.6984	0.6671	0.678	0.7282	0.7308	0.6835	0.661	0.6289	0.5757	0.566	0.5507	0.4715	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CY00"	0.9626	0.8973	0.8732	0.8346	0.8332	0.8395	0.7299	0.7236	0.688	0.6984	0.6671	0.678	0.7282	0.7308	0.6835	0.661	0.6289	0.5757	0.566	0.5507	0.4715	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CZ"	2.2041	2.1149	1.9911	2.0293	1.9937	1.9132	1.8197	1.7157	1.6196	1.5604	1.5101	1.505	1.4502	1.3881	1.2966	1.1986	1.1481	1.1216	1.1569	1.1329	1.0758	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CZ0"	2.143	2.0632	1.9436	1.9859	1.9571	1.8779	1.7899	1.6887	1.5947	1.5359	1.4894	1.4848	1.4325	1.3724	1.2846	1.1842	1.1346	1.1097	1.1445	1.1179	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CZ01"	5.5664	5.4116	5.0526	5.3247	5.432	5.2895	4.9163	4.8516	4.4056	4.4638	4.6377	4.7079	4.4569	4.3481	4.0323	3.7003	3.5478	3.4959	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CZ02"	1.4031	1.3345	1.2518	1.1628	1.1038	1.0687	1.0356	1.0688	1.0518	1.0224	0.9785	0.9731	0.9923	0.9505	0.9727	0.9671	0.8737	0.794	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CZ03"	1.5552	1.4428	1.3932	1.3881	1.3955	1.3058	1.2938	1.1911	1.1331	0.9631	0.8515	0.8771	0.8987	0.8253	0.7366	0.6815	0.7233	0.6585	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CZ04"	0.4615	0.4314	0.3862	0.4212	0.4754	0.4057	0.3918	0.3295	0.2865	0.2817	0.2656	0.3096	0.2929	0.2198	0.2606	0.2221	0.2195	0.2504	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
