"nace_r2,unit,sex,geo\time"	2019	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
"HTC,PC_EMP,T,DE12"	6	6.5 b	6.1	6.5 b	6.3 b	6.2	5.8	5.7	5.7	5.6	5.6	5.5
"HTC,PC_EMP,T,DE13"	5.6	5.1 b	5.4	5.2 b	5.1 b	5.4	5.5	5.6	5.4	5.6	5.6	5.7
"HTC,PC_EMP,T,DE14"	5.7	4.8 b	5.3	5.2 b	5.3 b	5.6	5.8	4.8	5	5.2	5.1	5.2
"HTC,PC_EMP,T,DE21"	6.6	7.4 b	7.7	8.1 b	8.0 b	7.8	7.4	7	7	7.1	6.9	7.3
"HTC,PC_EMP,T,DE22"	2.7	2.4 b	2.9	2.8 b	2.3 b	2.6	2.5	2.6	2.8	2.4	2.6	2.5
"HTC,PC_EMP,T,DE23"	4.9	4.4 b	4.6	4.9 b	4.8 b	4.3	4.5	4.6	4.8	5.6	5.3	5.2
"HTC,PC_EMP,T,DE24"	3	3.0 b	3.4	3.0 b	3.2 b	2.5	3.2	2.9	3	2.5	2.5	2.6
"HTC,PC_EMP,T,DE25"	5	4.8 b	5.4	4.8 b	5.0 b	4.8	5.1	5.2	6.2	5	5	5.1
"HTC,PC_EMP,T,DE26"	3.3	2.9 b	3.3	2.7 b	2.9 b	3.2	3.5	2.9	3.2	2.6	2.9	3.4
"HTC,PC_EMP,T,DE27"	3.5	3.3 b	3.2	3.2 b	3.5 b	3.5	3.5	3.7	3.3	3.3	3.5	3.2
"HTC,PC_EMP,T,DE30"	7.4	6.7 b	6.9	7.4 b	7.2 b	7.4	7	7	6.6	7.1	7.2	7.5
"HTC,PC_EMP,T,DE40"	2.5	2.6 b	2.8	3.1 b	3.5 b	3.2	2.9	3.1	3	3.1	2.9	2.8
"HTC,PC_EMP,T,DE50"	3.7	3.1 b	3.3	3.6 b	3.2 b	3.5	3.3	3.6	3	3.5	3.6	3.5
"HTC,PC_EMP,T,DE60"	5.5	5.6 b	5.5	4.8 b	5.1 b	5.1	5.6	5.2	5.8	5.2	5.5	5.6
"HTC,PC_EMP,T,DE71"	5.9	6.3 b	6.7	6.3 b	6.0 b	6.5	5.9	6.1	5.8	5.9	6.1	5.9
"HTC,PC_EMP,T,DE72"	4.7	4.6 b	5	5.2 b	4.8 b	5	4.6	4.7	4.3	4	4	4.1
"HTC,PC_EMP,T,DE73"	2.5	2.6 b	2.7	2.8 b	2.7 b	2.8	2.5	2.4	2.4	2.8	2.9	2.5
"HTC,PC_EMP,T,DE80"	2	1.9 b	1.9	1.9 b	2.0 b	1.9	2.1	2.3	2.2	1.9	2	2
"HTC,PC_EMP,T,DE91"	4.1	3.3 b	3.3	3.4 b	3.4 b	3.4	3.4	3.9	3.5	2.9	3.2	3.1
"HTC,PC_EMP,T,DE92"	3.4	3.4 b	3.7	3.5 b	3.6 b	3.3	3.4	3.3	3	3.4	3.4	3.5
"HTC,PC_EMP,T,DE93"	2.3	2.2 b	2.3	2.1 b	2.2 b	2.6	2.2	2.2	2.3	2.2	2.1	2.1
"HTC,PC_EMP,T,DE94"	1.7	1.6 b	1.4	1.6 b	1.5 b	1.7	1.5	1.7	1.4	1.6	1.7	1.6
"HTC,PC_EMP,T,DEA1"	3.4	3.9 b	3.7	3.9 b	3.9 b	3.9	3.4	3.5	3.2	3.6	3.4	3.5
"HTC,PC_EMP,T,DEA2"	5	5.1 b	5.4	5.7 b	5.7 b	5.7	5.5	5.6	5.1	4.9	4.9	5.2
"HTC,PC_EMP,T,DEA3"	2.4	2.8 b	2.5	2.9 b	2.8 b	2.6	2.3	2	2.2	2.4	2.6	2.8
"HTC,PC_EMP,T,DEA4"	3.3	3.0 b	3.3	3.0 b	3.4 b	3.5	3.3	3.5	3.2	2.9	3.2	3.2
"HTC,PC_EMP,T,DEA5"	2.9	2.8 b	2.7	2.9 b	3.1 b	2.9	2.8	2.8	2.7	2.9	3	2.6
