indic_is,unit,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
I_IUSE,PC_IND,ES43	36 	41 	48 	51 	56 	59 	64 	70 	72 	76 	78 	85 
I_IUSE,PC_IND,ES51	58 	59 	66 	66 	70 	69 	75 	79 	79 	82 	85 	91 
I_IUSE,PC_IND,ES52	44 	50 	56 	60 	60 	64 	69 	73 	74 	80 	83 	87 
I_IUSE,PC_IND,ES53	50 	59 	65 	66 	69 	71 	78 	78 	77 	86 	87 	90 
I_IUSE,PC_IND,ES61	43 	48 	52 	55 	61 	60 	67 	70 	74 	78 	80 	86 
I_IUSE,PC_IND,ES62	39 	44 	50 	55 	61 	61 	67 	74 	75 	81 	84 	88 
I_IUSE,PC_IND,ES63	49 	45 	54 	69 	64 	75 	75 	81 	75 	81 	80 	87 u
I_IUSE,PC_IND,ES64	42 	48 	50 	61 	54 	53 	65 	74 	78 	82 	86 	85 
I_IUSE,PC_IND,ES70	46 	48 	51 	55 	61 	61 	70 	72 	75 	80 	82 	87 
I_IUSE,PC_IND,FI19	79 	75 	80 	85 	88 	86 	89 	89 	89 	90 	91 	92 
I_IUSE,PC_IND,FI1B	: 	: 	: 	: 	93 	93 	93 	95 	94 	96 	96 	96 
I_IUSE,PC_IND,FI1C	: 	: 	: 	: 	84 	88 	89 	88 	91 	90 	91 	93 
I_IUSE,PC_IND,FI1D	73 	76 	81 	84 	84 	87 	87 	87 	89 	90 	92 	92 
I_IUSE,PC_IND,FR10	: 	: 	: 	: 	: 	: 	84 	85 	85 	88 	87 	89 
I_IUSE,PC_IND,FRB0	: 	: 	: 	: 	: 	: 	79 	81 	79 	83 	84 	85 
I_IUSE,PC_IND,FRC1	: 	: 	: 	: 	: 	: 	78 	79 	83 	84 	81 	86 
I_IUSE,PC_IND,FRC2	: 	: 	: 	: 	: 	: 	85 	83 	82 	75 	83 	83 
I_IUSE,PC_IND,FRD1	: 	: 	: 	: 	: 	: 	70 	81 	80 	78 	86 	82 
I_IUSE,PC_IND,FRD2	: 	: 	: 	: 	: 	: 	77 	76 	82 	83 	89 	84 
I_IUSE,PC_IND,FRE1	: 	: 	: 	: 	: 	: 	76 	73 	77 	78 	84 	82 
I_IUSE,PC_IND,FRE2	: 	: 	: 	: 	: 	: 	77 	80 	78 	79 	86 	85 
I_IUSE,PC_IND,FRF1	: 	: 	: 	: 	: 	: 	83 	83 	83 	86 	83 	83 
I_IUSE,PC_IND,FRF2	: 	: 	: 	: 	: 	: 	76 	83 	77 	82 	84 	83 
I_IUSE,PC_IND,FRF3	: 	: 	: 	: 	: 	: 	79 	81 	80 	80 	86 	86 
I_IUSE,PC_IND,FRG0	: 	: 	: 	: 	: 	: 	85 	84 	83 	82 	87 	89 
I_IUSE,PC_IND,FRH0	: 	: 	: 	: 	: 	: 	75 	82 	84 	84 	85 	91 
I_IUSE,PC_IND,FRI1	: 	: 	: 	: 	: 	: 	84 	82 	83 	85 	87 	88 
I_IUSE,PC_IND,FRI2	: 	: 	: 	: 	: 	: 	83 	80 	76 	78 	82 	86 
I_IUSE,PC_IND,FRI3	: 	: 	: 	: 	: 	: 	77 	79 	83 	79 	82 	89 
I_IUSE,PC_IND,FRJ1	: 	: 	: 	: 	: 	: 	84 	76 	80 	82 	81 	83 
I_IUSE,PC_IND,FRJ2	: 	: 	: 	: 	: 	: 	78 	80 	88 	84 	89 	86 
I_IUSE,PC_IND,FRK1	: 	: 	: 	: 	: 	: 	75 	77 	85 	81 	85 	81 
I_IUSE,PC_IND,FRK2	: 	: 	: 	: 	: 	: 	82 	84 	84 	83 	87 	89 
I_IUSE,PC_IND,FRL0	: 	: 	: 	: 	: 	: 	78 	81 	82 	85 	86 	89 
I_IUSE,PC_IND,FRM0	: 	: 	: 	: 	: 	: 	75 u	59 u	62 u	80 u	79 u	81 u
I_IUSE,PC_IND,FRY1	: 	: 	: 	: 	: 	: 	: 	78 	67 	66 	69 	75 
I_IUSE,PC_IND,FRY2	: 	: 	: 	: 	: 	: 	: 	63 	64 	69 	76 	82 
I_IUSE,PC_IND,FRY3	: 	: 	: 	: 	: 	: 	: 	62 	57 	82 	86 	79 
I_IUSE,PC_IND,FRY4	: 	: 	: 	: 	: 	: 	: 	74 	65 	68 	77 	71 
I_IUSE,PC_IND,HR03	41 	46 	54 	58 	61 	63 	66 	70 	70 	61 	76 	82 
I_IUSE,PC_IND,HR04	38 	44 	49 	53 	57 	63 	65 	64 	71 	66 	71 	75 
I_IUSE,PC_IND,HU10	62 	: 	69 	75 	78 	80 	82 	80 	87 	82 	: 	: 
I_IUSE,PC_IND,HU11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	84 	86 
I_IUSE,PC_IND,HU12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77 	83 
I_IUSE,PC_IND,HU21	59 	: 	61 	67 	71 	73 	77 	74 	79 	81 	80 	85 
I_IUSE,PC_IND,HU22	57 	: 	60 	65 	67 	71 	74 	71 	78 	73 	73 	77 
I_IUSE,PC_IND,HU23	51 	: 	54 	60 	64 	66 	71 	69 	74 	73 	73 	77 
I_IUSE,PC_IND,HU31	50 	: 	57 	61 	61 	64 	68 	67 	73 	70 	69 	75 
I_IUSE,PC_IND,HU32	45 	: 	51 	58 	62 	63 	67 	64 	72 	69 	71 	76 
I_IUSE,PC_IND,HU33	53 	: 	55 	62 	65 	66 	69 	65 	72 	72 	69 	76 
I_IUSE,PC_IND,IE01	48 	49 	56 	66 	69 	69 	71 	73 	72 	73 	: 	: 
I_IUSE,PC_IND,IE02	61 	64 	66 	74 	75 	77 	78 	79 	82 	81 	: 	: 
I_IUSE,PC_IND,IE04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76 	82 
I_IUSE,PC_IND,IE05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81 	88 
I_IUSE,PC_IND,IE06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81 	91 
I_IUSE,PC_IND,IS00	: 	90 	: 	: 	: 	: 	: 	: 	: 	98 	99 	98 
I_IUSE,PC_IND,ITC1	39 	44 	50 	54 	54 	57 	60 	65 	70 	72 	75 	77 
I_IUSE,PC_IND,ITC2	41 	44 	51 	54 	59 	61 	62 	69 	70 	69 	73 	76 
I_IUSE,PC_IND,ITC3	37 	44 	50 	53 	59 	60 	66 	68 	70 	76 	76 	76 
I_IUSE,PC_IND,ITC4	44 	48 	54 	57 	60 	61 	65 	70 	75 	73 	78 	79 
I_IUSE,PC_IND,ITF1	36 	42 	49 	52 	48 	54 	54 	64 	67 	68 	71 	71 
I_IUSE,PC_IND,ITF2	33 	40 	42 	48 	46 	48 	55 	55 	64 	66 	66 	65 
I_IUSE,PC_IND,ITF3	28 	35 	39 	43 	40 	44 	50 	54 	56 	62 	63 	66 
I_IUSE,PC_IND,ITF4	27 	31 	39 	38 	41 	48 	49 	54 	57 	59 	66 	64 
I_IUSE,PC_IND,ITF5	33 	33 	39 	40 	40 	51 	48 	55 	61 	62 	68 	66 
I_IUSE,PC_IND,ITF6	29 	33 	40 	41 	43 	46 	49 	53 	55 	57 	63 	64 
I_IUSE,PC_IND,ITG1	28 	35 	40 	40 	45 	46 	51 	53 	55 	61 	64 	69 
I_IUSE,PC_IND,ITG2	36 	43 	49 	48 	51 	57 	62 	62 	64 	66 	74 	70 
I_IUSE,PC_IND,ITH1	47 	49 	52 	58 	60 	64 	67 	67 	70 	73 	79 	78 
I_IUSE,PC_IND,ITH2	41 	50 	53 	58 	57 	59 	65 	72 	74 	72 	76 	81 
I_IUSE,PC_IND,ITH3	39 	43 	48 	54 	58 	61 	61 	68 	71 	73 	76 	76 
I_IUSE,PC_IND,ITH4	41 	48 	52 	54 	56 	61 	67 	70 	71 	73 	76 	80 
I_IUSE,PC_IND,ITH5	: 	: 	: 	: 	59 	63 	65 	69 	70 	75 	78 	81 
I_IUSE,PC_IND,ITI1	40 	47 	52 	56 	56 	63 	64 	67 	70 	72 	77 	79 
I_IUSE,PC_IND,ITI2	38 	44 	45 	52 	55 	56 	59 	65 	67 	70 	70 	74 
I_IUSE,PC_IND,ITI3	: 	: 	: 	: 	54 	60 	60 	66 	70 	74 	74 	76 
I_IUSE,PC_IND,ITI4	43 	45 	52 	56 	57 	60 	64 	66 	72 	73 	74 	76 
I_IUSE,PC_IND,LT00	: 	55 	58 	60 	64 	65 	69 	69 	72 	75 	: 	: 
I_IUSE,PC_IND,LT01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81 	82 
I_IUSE,PC_IND,LT02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77 	80 
I_IUSE,PC_IND,LU00	77 	83 	86 	86 	90 	93 	93 	97 	97 	96 	92 b	93 
I_IUSE,PC_IND,LV00	: 	: 	62 	66 	70 	71 	72 	75 	77 b	78 	81 	84 
I_IUSE,PC_IND,MK00	: 	47 	50 	: 	54 	62 	65 	69 	70 	73 	78 	80 
I_IUSE,PC_IND,MT00	: 	55 	60 	66 	66 	67 	71 	75 	77 	80 	80 	85 
I_IUSE,PC_IND,NL11	90 	82 	80 	91 	88 	93 	93 	89 	93 	96 	96 	90 
I_IUSE,PC_IND,NL12	79 	76 	85 	87 	90 	89 	93 	91 	93 	94 	98 	94 
I_IUSE,PC_IND,NL13	79 	91 	89 	93 	93 	96 	89 	87 	93 	97 	91 	96 
I_IUSE,PC_IND,NL21	84 	84 	90 	91 	92 	92 	94 	93 	92 	93 	95 	95 
I_IUSE,PC_IND,NL22	82 	84 	87 	87 	90 	90 	91 	93 	93 	91 	95 	94 
I_IUSE,PC_IND,NL23	87 	93 	94 	91 	96 	93 	87 	91 	95 	99 	94 	94 
I_IUSE,PC_IND,NL31	87 	90 	91 	91 	92 	97 	94 	92 	96 	96 	94 	98 
I_IUSE,PC_IND,NL32	86 	90 	92 	92 	93 	94 	92 	92 	92 	97 	94 	97 
I_IUSE,PC_IND,NL33	83 	88 	88 	90 	89 	91 	92 	91 	90 	94 	93 	94 
I_IUSE,PC_IND,NL34	75 	79 	84 	85 	92 	93 	94 	85 	91 	98 	95 	93 
I_IUSE,PC_IND,NL41	81 	87 	89 	87 	90 	91 	89 	91 	91 	94 	93 	96 
I_IUSE,PC_IND,NL42	77 	80 	83 	90 	92 	93 	88 	92 	92 	92 	92 	96 
I_IUSE,PC_IND,NO01	89 	93 	93 	92 	93 	96 	98 	97 	97 	99 	98 	99 
I_IUSE,PC_IND,NO02	80 	88 	88 	89 	90 	89 	87 	96 	96 	95 	97 	99 
I_IUSE,PC_IND,NO03	85 	88 	86 	90 	91 	91 	94 	96 	94 	97 	96 	97 
I_IUSE,PC_IND,NO04	81 	88 	89 	90 	94 	92 	95 	94 	97 	95 	99 	100 
I_IUSE,PC_IND,NO05	87 	85 	94 	91 	93 	96 	96 	96 	96 	97 	96 	97 
I_IUSE,PC_IND,NO06	88 	86 	88 	95 	96 	94 	88 	98 	99 	93 	95 	95 
I_IUSE,PC_IND,NO07	87 	85 	89 	92 	94 	91 	95 	91 	94 	95 	94 	97 
I_IUSE,PC_IND,PT11	32 	39 	43 	46 	50 	52 	55 	60 	63 	66 	66 	67 
I_IUSE,PC_IND,PT15	39 	47 	53 	55 	58 	59 	64 	68 	69 	71 	73 	74 
I_IUSE,PC_IND,PT16	34 	39 	42 	46 	49 	53 	55 	60 	63 	68 	69 	71 
I_IUSE,PC_IND,PT17	51 	50 	57 	64 	69 	71 	73 	76 	80 	82 	81 	82 
I_IUSE,PC_IND,PT18	35 	38 	42 	45 	49 	52 	56 	60 	64 	68 	67 	67 
I_IUSE,PC_IND,PT20	32 	34 	42 	47 	53 	58 	63 	67 	68 	72 	72 	75 
I_IUSE,PC_IND,PT30	38 	41 	45 	49 	53 	57 	60 	64 	69 	74 	72 	74 
I_IUSE,PC_IND,RO11	25 	29 	30 	34 	42 	45 	48 b	52 	58 	64 	75 	80 
I_IUSE,PC_IND,RO12	22 	25 	34 	36 	38 	40 	45 b	53 	58 	59 	66 	70 
I_IUSE,PC_IND,RO21	22 	30 	33 	35 	40 	43 	46 b	47 	51 	55 	62 	69 
I_IUSE,PC_IND,RO22	27 	30 	31 	36 	43 	45 	44 b	46 	52 	55 	61 	66 
I_IUSE,PC_IND,RO31	23 	26 	29 	34 	40 	39 	38 b	47 	48 	57 	64 	69 
I_IUSE,PC_IND,RO32	44 	51 	53 	55 	61 	67 	70 b	71 	75 	75 	81 	75 
I_IUSE,PC_IND,RO41	24 	27 	28 	33 	38 	41 	37 b	46 	55 	58 	66 	69 
I_IUSE,PC_IND,RO42	29 	36 	37 	40 	49 	48 	59 b	56 	58 	68 	73 	76 
I_IUSE,PC_IND,RS11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85 
I_IUSE,PC_IND,RS12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76 
I_IUSE,PC_IND,RS21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	74 
I_IUSE,PC_IND,RS22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71 
I_IUSE,PC_IND,SE11	: 	92 	92 	94 	92 	95 	92 	92 	93 b	97 	93 	95 
I_IUSE,PC_IND,SE12	: 	85 	89 	91 	91 	94 	94 	88 	90 b	97 	92 	96 
I_IUSE,PC_IND,SE21	: 	82 	86 	88 	89 	90 	90 	88 	90 b	91 	88 	95 
I_IUSE,PC_IND,SE22	: 	85 	87 	92 	89 	92 	89 	86 	92 b	94 	93 	94 
I_IUSE,PC_IND,SE23	: 	87 	89 	88 	91 	91 	92 	90 	91 b	93 	91 	96 
I_IUSE,PC_IND,SE31	: 	82 	86 	91 	87 	87 	84 	81 	88 b	91 	85 	91 
I_IUSE,PC_IND,SE32	: 	85 	85 	87 	88 	93 u	89 	88 	86 b	98 u	87 u	96 u
I_IUSE,PC_IND,SE33	: 	82 	84 	91 	95 	93 	91 	91 	89 b	95 	94 	98 
I_IUSE,PC_IND,SI01	: 	: 	: 	: 	: 	: 	64 	: 	: 	: 	: 	: 
I_IUSE,PC_IND,SI02	: 	: 	: 	: 	: 	: 	73 	: 	: 	: 	: 	: 
I_IUSE,PC_IND,SI03	: 	: 	: 	: 	: 	: 	: 	66 	69 	73 	76 	77 
I_IUSE,PC_IND,SI04	: 	: 	: 	: 	: 	: 	: 	76 	78 	80 	82 	85 
I_IUSE,PC_IND,SK01	65 	72 	75 	77 	80 	83 	82 	79 	77 	79 	79 	80 
I_IUSE,PC_IND,SK02	64 	67 	72 	71 	73 	73 	74 	73 	78 	79 	81 	84 
I_IUSE,PC_IND,SK03	63 	64 	71 	70 	69 	70 	75 	72 	76 	78 	77 	80 
I_IUSE,PC_IND,SK04	59 	64 	75 	71 	78 	77 	78 	75 	80 	81 	77 	82 
