indic_env,wst_oper,geo\time	2018 	2016 	2014 	2012 	2010 	2008 	2006 	2004 
CAP,DSP_I,DE30	: c	: c	: c	: c	: c	: c	: c	: c
CAP,DSP_I,DE4	119500 	119500 	119500 	117500 	121090 	130650 	165200 	161682 
CAP,DSP_I,DE40	119500 	119500 	119500 	117500 	121090 	: 	: 	: 
CAP,DSP_I,DE41	: 	: 	: 	: 	: 	: c	: c	: c
CAP,DSP_I,DE42	: 	: 	: 	: 	: 	: c	: c	: c
CAP,DSP_I,DE5	0 	0 	0 	: c	: c	: c	: c	1278600 
CAP,DSP_I,DE50	0 	0 	0 	: c	: c	: c	: c	1278600 
CAP,DSP_I,DE6	178000 	: c	819000 	799000 	1309000 	1332000 	1275000 	1013000 
CAP,DSP_I,DE60	178000 	: c	819000 	799000 	1309000 	1332000 	1275000 	1013000 
CAP,DSP_I,DE7	608714 	602714 	592714 	1729714 	1730314 	1451144 	1218144 	1170104 
CAP,DSP_I,DE71	608714 	602714 	592714 	: c	: c	: c	: c	: c
CAP,DSP_I,DE72	0 	0 	0 	0 	0 	0 	0 	: c
CAP,DSP_I,DE73	0 	0 	0 	: c	: c	: c	: c	: c
CAP,DSP_I,DE8	0 	0 	0 	0 	0 	0 	: c	: 
CAP,DSP_I,DE80	0 	0 	0 	0 	0 	0 	: c	: 
CAP,DSP_I,DE9	25880 	25880 	1200880 	1231980 	1158650 	1269850 	1379700 	: c
CAP,DSP_I,DE91	0 	0 	: c	: c	: c	: c	: c	: c
CAP,DSP_I,DE92	0 	0 	: c	: c	0 	0 	: c	: c
CAP,DSP_I,DE93	: c	: c	75880 	106980 	: c	: c	106700 	: c
CAP,DSP_I,DE94	: c	: c	: c	: c	528000 	641000 	273000 	: c
CAP,DSP_I,DEA	1270056 	4531836 	5123836 	4616536 	4873436 	5604490 	5623224 	5431768 
CAP,DSP_I,DEA1	: c	2108000 	2878000 	2645000 	2693000 	2783120 	2750000 	2540296 
CAP,DSP_I,DEA2	: c	1284780 	1198780 	981480 	556380 	1029370 	969980 	1140060 
CAP,DSP_I,DEA3	360056 	660056 	: c	540056 	1435056 	: c	: c	541492 
CAP,DSP_I,DEA4	0 	0 	0 	0 	0 	: c	: c	332580 
