indic_env,wst_oper,geo\time	2018 	2016 	2014 	2012 	2010 	2008 	2006 	2004 
CAP,RCV_R_B,AT	: 	: 	: 	: 	: 	16104180 	8652180 e	8973790 
CAP,RCV_R_B,AT1	: 	: 	: 	: 	: 	4970500 	3048500 e	3015300 
CAP,RCV_R_B,AT11	: 	: 	: 	: 	: 	383000 	301000 e	241000 
CAP,RCV_R_B,AT12	: 	: 	: 	: 	: 	2856500 	2496500 e	2521000 
CAP,RCV_R_B,AT13	: 	: 	: 	: 	: 	1731000 	251000 e	253300 
CAP,RCV_R_B,AT2	: 	: 	: 	: 	: 	6673900 	3152900 e	3133280 
CAP,RCV_R_B,AT21	: 	: 	: 	: 	: 	3811300 	2303600 e	2278500 
CAP,RCV_R_B,AT22	: 	: 	: 	: 	: 	2862600 	849300 e	854780 
CAP,RCV_R_B,AT3	: 	: 	: 	: 	: 	4459780 	2450780 e	2825210 
CAP,RCV_R_B,AT31	: 	: 	: 	: 	: 	2462400 	592300 e	933520 
CAP,RCV_R_B,AT32	: 	: 	: 	: 	: 	526900 	504200 e	323130 
CAP,RCV_R_B,AT33	: 	: 	: 	: 	: 	801380 	1132080 e	1362030 
CAP,RCV_R_B,AT34	: 	: 	: 	: 	: 	669100 	222200 e	206530 
CAP,RCV_R_B,BE	: 	: 	: 	: 	: 	11271589 	10065707 	12043619 
CAP,RCV_R_B,BE1	: 	: 	: 	: 	: 	2 	20 	0 
CAP,RCV_R_B,BE10	: 	: 	: 	: 	: 	2 	20 	: c
CAP,RCV_R_B,BE2	: 	: 	: 	: 	: 	5117413 	3911513 	: c
CAP,RCV_R_B,BE21	: 	: 	: 	: 	: 	1188077 	1346827 	: c
CAP,RCV_R_B,BE22	: 	: 	: 	: 	: 	691414 	382206 	: c
CAP,RCV_R_B,BE23	: 	: 	: 	: 	: 	1826796 	1243104 	: c
CAP,RCV_R_B,BE24	: 	: 	: 	: 	: 	312064 	650406 	: c
CAP,RCV_R_B,BE25	: 	: 	: 	: 	: 	1099062 	288970 	: c
CAP,RCV_R_B,BE3	: 	: 	: 	: 	: 	6154174 	6154174 	1873529 
CAP,RCV_R_B,BE31	: 	: 	: 	: 	: 	141170 	141170 	: 
CAP,RCV_R_B,BE32	: 	: 	: 	: 	: 	3405832 	3405832 	1673319 
CAP,RCV_R_B,BE33	: 	: 	: 	: 	: 	2105049 	2105049 	195010 
CAP,RCV_R_B,BE34	: 	: 	: 	: 	: 	459922 	459922 	: 
CAP,RCV_R_B,BE35	: 	: 	: 	: 	: 	42200 	42200 	5200 
CAP,RCV_R_B,BG	: 	: 	: 	: 	: 	3188815 	2608629 	1879742 
CAP,RCV_R_B,BG1	: 	: 	: 	: 	: 	: 	: 	407930 
CAP,RCV_R_B,BG11	: 	: 	: 	: 	: 	: 	: 	21275 
CAP,RCV_R_B,BG12	: 	: 	: 	: 	: 	: 	: 	361050 
CAP,RCV_R_B,BG13	: 	: 	: 	: 	: 	: 	: 	25605 
CAP,RCV_R_B,BG2	: 	: 	: 	: 	: 	: 	: 	1471813 
CAP,RCV_R_B,BG21	: 	: 	: 	: 	: 	: 	: 	1257543 
CAP,RCV_R_B,BG22	: 	: 	: 	: 	: 	: 	: 	211528 
CAP,RCV_R_B,BG23	: 	: 	: 	: 	: 	: 	: 	2742 
CAP,RCV_R_B,BG3	: 	: 	: 	: 	: 	1303639 	905372 	: 
CAP,RCV_R_B,BG31	: 	: 	: 	: 	: 	797145 	470549 	: 
CAP,RCV_R_B,BG32	: 	: 	: 	: 	: 	111567 	98229 	: 
CAP,RCV_R_B,BG33	: 	: 	: 	: 	: 	316552 	325172 	: 
CAP,RCV_R_B,BG34	: 	: 	: 	: 	: 	78376 	11422 	: 
CAP,RCV_R_B,BG4	: 	: 	: 	: 	: 	1885176 	1703257 	: 
CAP,RCV_R_B,BG41	: 	: 	: 	: 	: 	1514879 	1539837 	: 
CAP,RCV_R_B,BG42	: 	: 	: 	: 	: 	370296 	163420 	: 
CAP,RCV_R_B,CY	: 	: 	: 	: 	: 	3807259 	1305692 	730471 
CAP,RCV_R_B,CZ	: 	: 	: 	: 	: 	44549112 	33480462 	7401279 
CAP,RCV_R_B,CZ01	: 	: 	: 	: 	: 	1776150 	999740 	209740 
CAP,RCV_R_B,CZ02	: 	: 	: 	: 	: 	7556734 	2177272 	1243787 
CAP,RCV_R_B,CZ03	: 	: 	: 	: 	: 	15845764 	17064954 	877415 
CAP,RCV_R_B,CZ04	: 	: 	: 	: 	: 	1953158 	1270324 	790050 
CAP,RCV_R_B,CZ05	: 	: 	: 	: 	: 	1292858 	686554 	762143 
CAP,RCV_R_B,CZ06	: 	: 	: 	: 	: 	3782237 	738229 	624457 
CAP,RCV_R_B,CZ07	: 	: 	: 	: 	: 	2310209 	1651074 	1190361 
CAP,RCV_R_B,CZ08	: 	: 	: 	: 	: 	10032002 	8892315 	1703326 
CAP,RCV_R_B,DE	: 	: 	: 	: 	: 	345350786 	315818795 	252872178 
CAP,RCV_R_B,DE1	: 	: 	: 	: 	: 	36587609 	32583637 	26605253 
CAP,RCV_R_B,DE11	: 	: 	: 	: 	: 	15317084 	13675077 	10700324 
CAP,RCV_R_B,DE12	: 	: 	: 	: 	: 	8537548 	7075123 	5906023 
CAP,RCV_R_B,DE13	: 	: 	: 	: 	: 	6542258 	6189979 	5211480 
CAP,RCV_R_B,DE14	: 	: 	: 	: 	: 	6190719 	5643458 	4787426 
CAP,RCV_R_B,DE2	: 	: 	: 	: 	: 	69627877 	69508572 	48877059 
CAP,RCV_R_B,DE21	: 	: 	: 	: 	: 	25962770 	25121688 	18781008 
CAP,RCV_R_B,DE22	: 	: 	: 	: 	: 	7369709 	11926727 	6072978 
CAP,RCV_R_B,DE23	: 	: 	: 	: 	: 	6756444 	6924216 	4806428 
CAP,RCV_R_B,DE24	: 	: 	: 	: 	: 	4156079 	3663723 	2137608 
CAP,RCV_R_B,DE25	: 	: 	: 	: 	: 	6574916 	5523006 	4488560 
CAP,RCV_R_B,DE26	: 	: 	: 	: 	: 	6668654 	5147429 	4878236 
CAP,RCV_R_B,DE27	: 	: 	: 	: 	: 	12139305 	11201783 	7712241 
CAP,RCV_R_B,DE3	: 	: 	: 	: 	: 	2772465 	4064371 	2599873 
CAP,RCV_R_B,DE30	: 	: 	: 	: 	: 	2772465 	4064371 	2599873 
CAP,RCV_R_B,DE4	: 	: 	: 	: 	: 	21290220 	22073592 	15752068 
CAP,RCV_R_B,DE41	: 	: 	: 	: 	: 	10493765 	12051073 	6426880 
CAP,RCV_R_B,DE42	: 	: 	: 	: 	: 	10796455 	10022519 	9325188 
CAP,RCV_R_B,DE5	: 	: 	: 	: 	: 	2805686 	1180932 	712262 
CAP,RCV_R_B,DE50	: 	: 	: 	: 	: 	2805686 	1180932 	712262 
CAP,RCV_R_B,DE6	: 	: 	: 	: 	: 	4212853 	3192976 	3405818 
CAP,RCV_R_B,DE60	: 	: 	: 	: 	: 	4212853 	3192976 	3405818 
CAP,RCV_R_B,DE7	: 	: 	: 	: 	: 	17653962 	15649097 	9786617 
CAP,RCV_R_B,DE71	: 	: 	: 	: 	: 	8633310 	7108481 	3615698 
CAP,RCV_R_B,DE72	: 	: 	: 	: 	: 	4575957 	5328694 	3729701 
CAP,RCV_R_B,DE73	: 	: 	: 	: 	: 	4444695 	3211922 	2441218 
CAP,RCV_R_B,DE8	: 	: 	: 	: 	: 	8738466 	8494973 	4948845 
CAP,RCV_R_B,DE80	: 	: 	: 	: 	: 	8738466 	8494973 	4948845 
CAP,RCV_R_B,DE9	: 	: 	: 	: 	: 	33209882 	28750554 	24172904 
CAP,RCV_R_B,DE91	: 	: 	: 	: 	: 	8566823 	7677089 	6863495 
CAP,RCV_R_B,DE92	: 	: 	: 	: 	: 	6614704 	6003445 	4902621 
CAP,RCV_R_B,DE93	: 	: 	: 	: 	: 	7630986 	5854674 	5350477 
CAP,RCV_R_B,DE94	: 	: 	: 	: 	: 	10397369 	9215346 	7056311 
CAP,RCV_R_B,DEA	: 	: 	: 	: 	: 	57828535 	48354138 	44584300 
CAP,RCV_R_B,DEA1	: 	: 	: 	: 	: 	23074908 	16183065 	15811405 
CAP,RCV_R_B,DEA2	: 	: 	: 	: 	: 	13140010 	12379568 	10880890 
CAP,RCV_R_B,DEA3	: 	: 	: 	: 	: 	5021727 	5230286 	3995360 
CAP,RCV_R_B,DEA4	: 	: 	: 	: 	: 	4780850 	3506112 	2797910 
CAP,RCV_R_B,DEA5	: 	: 	: 	: 	: 	11811040 	11055107 	11098735 
CAP,RCV_R_B,DEB	: 	: 	: 	: 	: 	17217735 	16395826 	12334992 
CAP,RCV_R_B,DEB1	: 	: 	: 	: 	: 	7619704 	6577203 	5868333 
CAP,RCV_R_B,DEB2	: 	: 	: 	: 	: 	2120676 	2643355 	1828512 
CAP,RCV_R_B,DEB3	: 	: 	: 	: 	: 	7477355 	7175268 	4638147 
CAP,RCV_R_B,DEC	: 	: 	: 	: 	: 	5998189 	4698703 	4666779 
CAP,RCV_R_B,DED	: 	: 	: 	: 	: 	24149230 	22575609 	21294893 
CAP,RCV_R_B,DED1	: 	: 	: 	: 	: 	10094799 	8897571 	6365432 
CAP,RCV_R_B,DED2	: 	: 	: 	: 	: 	8707596 	8469337 	9076668 
CAP,RCV_R_B,DED3	: 	: 	: 	: 	: 	5346835 	5208701 	5852793 
CAP,RCV_R_B,DED4	: 	: 	: 	: 	: 	: 	9055910 	6654879 
CAP,RCV_R_B,DED5	: 	: 	: 	: 	: 	: 	5050362 	5563346 
CAP,RCV_R_B,DEE	: 	: 	: 	: 	: 	16386152 	17164482 	13249071 
CAP,RCV_R_B,DEE0	: 	: 	: 	: 	: 	16386152 	17164482 	: 
CAP,RCV_R_B,DEE1	: 	: 	: 	: 	: 	: 	: 	2387324 
CAP,RCV_R_B,DEE2	: 	: 	: 	: 	: 	: 	: 	5996636 
CAP,RCV_R_B,DEE3	: 	: 	: 	: 	: 	: 	: 	4865111 
CAP,RCV_R_B,DEF	: 	: 	: 	: 	: 	12688702 	9348189 	8360969 
CAP,RCV_R_B,DEF0	: 	: 	: 	: 	: 	12688702 	9348189 	8360969 
CAP,RCV_R_B,DEG	: 	: 	: 	: 	: 	14183223 	11783144 	11520475 
CAP,RCV_R_B,DEG0	: 	: 	: 	: 	: 	14183223 	11783144 	11520475 
CAP,RCV_R_B,DK	: 	: 	: 	: 	: 	: 	10768000 e	: 
CAP,RCV_R_B,EE	: 	: 	: 	: 	: 	5496800 e	7805760 	3603989 s
CAP,RCV_R_B,EL	: 	: 	: 	: 	: 	3871907 	3108070 	: 
CAP,RCV_R_B,EL1	: 	: 	: 	: 	: 	2058674 	1902628 	: 
CAP,RCV_R_B,EL11	: 	: 	: 	: 	: 	317678 	: c	: 
CAP,RCV_R_B,EL12	: 	: 	: 	: 	: 	518474 	438453 	: 
CAP,RCV_R_B,EL13	: 	: 	: 	: 	: 	1253 	: c	: 
CAP,RCV_R_B,EL14	: 	: 	: 	: 	: 	1221269 	1428365 	: 
CAP,RCV_R_B,EL2	: 	: 	: 	: 	: 	376587 	230841 	: 
CAP,RCV_R_B,EL21	: 	: 	: 	: 	: 	986 	: 	: 
CAP,RCV_R_B,EL22	: 	: 	: 	: 	: 	0 	: 	: 
CAP,RCV_R_B,EL23	: 	: 	: 	: 	: 	36337 	3972 	: 
CAP,RCV_R_B,EL24	: 	: 	: 	: 	: 	295874 	182255 	: 
CAP,RCV_R_B,EL25	: 	: 	: 	: 	: 	43390 	: c	: 
CAP,RCV_R_B,EL3	: 	: 	: 	: 	: 	1418852 	968039 	: 
CAP,RCV_R_B,EL30	: 	: 	: 	: 	: 	1418852 	968039 	: 
CAP,RCV_R_B,EL4	: 	: 	: 	: 	: 	17794 	6562 	: 
CAP,RCV_R_B,EL41	: 	: 	: 	: 	: 	1143 	: 	: 
CAP,RCV_R_B,EL42	: 	: 	: 	: 	: 	0 	: 	: 
CAP,RCV_R_B,EL43	: 	: 	: 	: 	: 	16651 	: c	: 
CAP,RCV_R_B,ES	: 	: 	: 	: 	: 	73017494 	81172185 	58729276 
CAP,RCV_R_B,ES1	: 	: 	: 	: 	: 	5540290 	24008238 	: 
CAP,RCV_R_B,ES11	: 	: 	: 	: 	: 	4678900 e	0 e	1790982 
CAP,RCV_R_B,ES12	: 	: 	: 	: 	: 	392000 	23658238 	4478728 
CAP,RCV_R_B,ES13	: 	: 	: 	: 	: 	469390 	350000 	269330 
CAP,RCV_R_B,ES2	: 	: 	: 	: 	: 	8484295 	4032578 	: 
CAP,RCV_R_B,ES21	: 	: 	: 	: 	: 	: 	0 e	3180350 
CAP,RCV_R_B,ES22	: 	: 	: 	: 	: 	4081696 	299255 	183441 
CAP,RCV_R_B,ES23	: 	: 	: 	: 	: 	1700000 	1246600 	261185 
CAP,RCV_R_B,ES24	: 	: 	: 	: 	: 	2702599 	2486723 	1934064 
CAP,RCV_R_B,ES3	: 	: 	: 	: 	: 	5210660 	1539790 	: 
CAP,RCV_R_B,ES30	: 	: 	: 	: 	: 	5210660 	1539790 	1049840 
CAP,RCV_R_B,ES4	: 	: 	: 	: 	: 	10267072 	40717753 	: 
CAP,RCV_R_B,ES41	: 	: 	: 	: 	: 	2029572 	2044000 e	2044000 
CAP,RCV_R_B,ES42	: 	: 	: 	: 	: 	8039800 e	37540522 	2266854 
CAP,RCV_R_B,ES43	: 	: 	: 	: 	: 	197700 	1133231 	280062 
CAP,RCV_R_B,ES5	: 	: 	: 	: 	: 	29991993 	5542431 	: 
CAP,RCV_R_B,ES51	: 	: 	: 	: 	: 	21055050 e	0 	22126087 
CAP,RCV_R_B,ES52	: 	: 	: 	: 	: 	7973900 e	5540999 	5172512 
CAP,RCV_R_B,ES53	: 	: 	: 	: 	: 	963043 	1432 	29500 
CAP,RCV_R_B,ES6	: 	: 	: 	: 	: 	13272920 	4941396 	: 
CAP,RCV_R_B,ES61	: 	: 	: 	: 	: 	11664300 e	0 e	6966168 
CAP,RCV_R_B,ES62	: 	: 	: 	: 	: 	1608620 	4941396 	6651174 
CAP,RCV_R_B,ES63	: 	: 	: 	: 	: 	: 	0 	0 
CAP,RCV_R_B,ES64	: 	: 	: 	: 	: 	: 	0 	0 
CAP,RCV_R_B,ES7	: 	: 	: 	: 	: 	250264 	390000 	: 
CAP,RCV_R_B,ES70	: 	: 	: 	: 	: 	250264 	390000 	45000 
CAP,RCV_R_B,EU27_2020	: 	: 	: 	: 	: 	643030000 	595480000 	: 
CAP,RCV_R_B,EU28	: 	: 	: 	: 	: 	780210000 	736400000 	404960000 
CAP,RCV_R_B,FI	: 	: 	: 	: 	: 	: 	6018364 	3128335 
CAP,RCV_R_B,FI1	: 	: 	: 	: 	: 	: 	6017576 	3127637 
CAP,RCV_R_B,FI13	: 	: 	: 	: 	: 	: 	1161666 	620007 
CAP,RCV_R_B,FI18	: 	: 	: 	: 	: 	: 	3427888 	1443365 
CAP,RCV_R_B,FI19	: 	: 	: 	: 	: 	: 	722932 	631115 
CAP,RCV_R_B,FI1A	: 	: 	: 	: 	: 	: 	705090 	433150 
CAP,RCV_R_B,FI2	: 	: 	: 	: 	: 	793965 	788 	698 
CAP,RCV_R_B,FI20	: 	: 	: 	: 	: 	793965 	788 	698 
CAP,RCV_R_B,FR	: 	: 	: 	: 	: 	: 	0 	: 
CAP,RCV_R_B,FR1	: 	: 	: 	: 	: 	: 	0 	: 
CAP,RCV_R_B,FR2	: 	: 	: 	: 	: 	: 	0 	: 
CAP,RCV_R_B,FR3	: 	: 	: 	: 	: 	: 	0 	: 
CAP,RCV_R_B,FR4	: 	: 	: 	: 	: 	: 	0 	: 
CAP,RCV_R_B,FR5	: 	: 	: 	: 	: 	: 	0 	: 
CAP,RCV_R_B,FR6	: 	: 	: 	: 	: 	: 	0 	: 
CAP,RCV_R_B,FR7	: 	: 	: 	: 	: 	: 	0 	: 
CAP,RCV_R_B,FR8	: 	: 	: 	: 	: 	: 	0 	: 
CAP,RCV_R_B,FR9	: 	: 	: 	: 	: 	: 	0 	: 
CAP,RCV_R_B,HR	: 	: 	: 	: 	: 	: 	3533150 	176740 
CAP,RCV_R_B,HU	: 	: 	: 	: 	: 	16540103 	16540103 	2067762 
CAP,RCV_R_B,HU1	: 	: 	: 	: 	: 	1404712 	1404712 	375711 
CAP,RCV_R_B,HU10	: 	: 	: 	: 	: 	1404712 	1404712 	375711 
CAP,RCV_R_B,HU2	: 	: 	: 	: 	: 	11748299 	11748299 	1208609 
CAP,RCV_R_B,HU21	: 	: 	: 	: 	: 	10863023 	10863023 	577567 
CAP,RCV_R_B,HU22	: 	: 	: 	: 	: 	664402 	664402 	373639 
CAP,RCV_R_B,HU23	: 	: 	: 	: 	: 	220873 	220873 	257403 
CAP,RCV_R_B,HU3	: 	: 	: 	: 	: 	3387092 	3387092 	483442 
CAP,RCV_R_B,HU31	: 	: 	: 	: 	: 	2243727 	2243727 	122349 
CAP,RCV_R_B,HU32	: 	: 	: 	: 	: 	592482 	592482 	205264 
CAP,RCV_R_B,HU33	: 	: 	: 	: 	: 	550883 	550883 	155829 
CAP,RCV_R_B,IE	: 	: 	: 	: 	: 	0 	: 	: 
CAP,RCV_R_B,IS	: 	: 	: 	: 	: 	: 	: 	20000 s
CAP,RCV_R_B,IT	: 	: 	: 	: 	: 	0 	0 	: 
CAP,RCV_R_B,ITC	: 	: 	: 	: 	: 	0 	0 	: 
CAP,RCV_R_B,ITD	: 	: 	: 	: 	: 	0 	0 	: 
CAP,RCV_R_B,ITE	: 	: 	: 	: 	: 	0 	0 	: 
CAP,RCV_R_B,ITF	: 	: 	: 	: 	: 	0 	0 	: 
CAP,RCV_R_B,ITG	: 	: 	: 	: 	: 	0 	0 	: 
CAP,RCV_R_B,LT	: 	: 	: 	: 	: 	4507905 	985082 	: 
CAP,RCV_R_B,LU	: 	: 	: 	: 	: 	19539078 	13878 	: 
CAP,RCV_R_B,MT	: 	: 	: 	: 	: 	176159 	144593 	50605 
CAP,RCV_R_B,NL	: 	: 	: 	: 	: 	29066181 	28173559 	24855700 
CAP,RCV_R_B,NL1	: 	: 	: 	: 	: 	2501647 	2650610 	2285600 
CAP,RCV_R_B,NL11	: 	: 	: 	: 	: 	1076040 	1387291 	1746800 
CAP,RCV_R_B,NL12	: 	: 	: 	: 	: 	354223 	197992 	232100 
CAP,RCV_R_B,NL13	: 	: 	: 	: 	: 	1071384 	1065327 	306700 
CAP,RCV_R_B,NL2	: 	: 	: 	: 	: 	3334349 	4531590 	8573100 
CAP,RCV_R_B,NL21	: 	: 	: 	: 	: 	1046747 	770665 	2628100 
CAP,RCV_R_B,NL22	: 	: 	: 	: 	: 	1671504 	2673800 	2512500 
CAP,RCV_R_B,NL23	: 	: 	: 	: 	: 	616098 	1087125 	3432500 
CAP,RCV_R_B,NL3	: 	: 	: 	: 	: 	17118252 	13102040 	8932200 
CAP,RCV_R_B,NL31	: 	: 	: 	: 	: 	3874214 	3257783 	7099400 
CAP,RCV_R_B,NL32	: 	: 	: 	: 	: 	5025361 	5503238 	640000 
CAP,RCV_R_B,NL33	: 	: 	: 	: 	: 	5617955 	1747603 	854300 
CAP,RCV_R_B,NL34	: 	: 	: 	: 	: 	2600722 	2593416 	338500 
CAP,RCV_R_B,NL4	: 	: 	: 	: 	: 	6111933 	7889319 	5064800 
CAP,RCV_R_B,NL41	: 	: 	: 	: 	: 	4013422 	5316378 	2652000 
CAP,RCV_R_B,NL42	: 	: 	: 	: 	: 	2098511 	2572941 	2412800 
CAP,RCV_R_B,NO	: 	: 	: 	: 	: 	732167 	1993973 	2614687 s
CAP,RCV_R_B,NO01	: 	: 	: 	: 	: 	54378 	17648 	181915 s
CAP,RCV_R_B,NO02	: 	: 	: 	: 	: 	56770 	38270 	193202 s
CAP,RCV_R_B,NO03	: 	: 	: 	: 	: 	230955 	525365 	1167751 s
CAP,RCV_R_B,NO04	: 	: 	: 	: 	: 	281931 	309600 	373875 s
CAP,RCV_R_B,NO05	: 	: 	: 	: 	: 	60633 	703900 	378699 s
CAP,RCV_R_B,NO06	: 	: 	: 	: 	: 	45000 	148190 	118780 s
CAP,RCV_R_B,NO07	: 	: 	: 	: 	: 	2500 	251000 	200465 s
CAP,RCV_R_B,PL	: 	: 	: 	: 	: 	31119054 	23186417 	21033333 
CAP,RCV_R_B,PL1	: 	: 	: 	: 	: 	1985357 	4603741 	3350356 
CAP,RCV_R_B,PL11	: 	: 	: 	: 	: 	359874 	1608459 	1615376 
CAP,RCV_R_B,PL12	: 	: 	: 	: 	: 	1625483 	2995282 	1734980 
CAP,RCV_R_B,PL2	: 	: 	: 	: 	: 	19688825 	12577680 	11778112 
CAP,RCV_R_B,PL21	: 	: 	: 	: 	: 	3537973 	4463114 	5158051 
CAP,RCV_R_B,PL22	: 	: 	: 	: 	: 	16150852 	8114566 	6620061 
CAP,RCV_R_B,PL3	: 	: 	: 	: 	: 	2984620 	2378146 	2928250 
CAP,RCV_R_B,PL31	: 	: 	: 	: 	: 	231445 	26383 	4926 
CAP,RCV_R_B,PL32	: 	: 	: 	: 	: 	1150859 	685532 	1590478 
CAP,RCV_R_B,PL33	: 	: 	: 	: 	: 	1556006 	1536981 	1219936 
CAP,RCV_R_B,PL34	: 	: 	: 	: 	: 	46310 	129250 	112910 
CAP,RCV_R_B,PL4	: 	: 	: 	: 	: 	2337474 	1186735 	1106149 
CAP,RCV_R_B,PL41	: 	: 	: 	: 	: 	1772047 	839493 	436937 
CAP,RCV_R_B,PL42	: 	: 	: 	: 	: 	313225 	253865 	631812 
CAP,RCV_R_B,PL43	: 	: 	: 	: 	: 	252202 	93377 	37400 
CAP,RCV_R_B,PL5	: 	: 	: 	: 	: 	1251543 	826798 	634403 
CAP,RCV_R_B,PL51	: 	: 	: 	: 	: 	1059542 	670889 	247709 
CAP,RCV_R_B,PL52	: 	: 	: 	: 	: 	192001 	155909 	386694 
CAP,RCV_R_B,PL6	: 	: 	: 	: 	: 	2871235 	1613317 	1236065 
CAP,RCV_R_B,PL61	: 	: 	: 	: 	: 	1186131 	128513 	300749 
CAP,RCV_R_B,PL62	: 	: 	: 	: 	: 	1251690 	1205450 	90 
CAP,RCV_R_B,PL63	: 	: 	: 	: 	: 	433414 	279354 	935226 
CAP,RCV_R_B,PT	: 	: 	: 	: 	: 	510000 	460000 	0 
CAP,RCV_R_B,PT1	: 	: 	: 	: 	: 	510000 	460000 	0 
CAP,RCV_R_B,PT11	: 	: 	: 	: 	: 	190000 	190000 	: 
CAP,RCV_R_B,PT15	: 	: 	: 	: 	: 	50000 	10000 	: 
CAP,RCV_R_B,PT16	: 	: 	: 	: 	: 	250000 	50000 	: 
CAP,RCV_R_B,PT17	: 	: 	: 	: 	: 	10000 	210000 	: 
CAP,RCV_R_B,PT18	: 	: 	: 	: 	: 	10000 	: 	: 
CAP,RCV_R_B,PT2	: 	: 	: 	: 	: 	: 	0 	0 
CAP,RCV_R_B,PT3	: 	: 	: 	: 	: 	: 	0 	0 
CAP,RCV_R_B,RO	: 	: 	: 	: 	: 	6081321 	1345180 	2870 
CAP,RCV_R_B,RO01	: 	: 	: 	: 	: 	: 	: 	0 
CAP,RCV_R_B,RO02	: 	: 	: 	: 	: 	: 	: 	0 
CAP,RCV_R_B,RO03	: 	: 	: 	: 	: 	: 	: 	0 
CAP,RCV_R_B,RO04	: 	: 	: 	: 	: 	: 	: 	1370 
CAP,RCV_R_B,RO05	: 	: 	: 	: 	: 	: 	: 	0 
CAP,RCV_R_B,RO06	: 	: 	: 	: 	: 	: 	: 	0 
CAP,RCV_R_B,RO07	: 	: 	: 	: 	: 	: 	: 	1500 
CAP,RCV_R_B,RO08	: 	: 	: 	: 	: 	: 	: 	0 
CAP,RCV_R_B,RO1	: 	: 	: 	: 	: 	66928 	119359 	: 
CAP,RCV_R_B,RO11	: 	: 	: 	: 	: 	66828 	7329 	: 
CAP,RCV_R_B,RO12	: 	: 	: 	: 	: 	100 	112030 	: 
CAP,RCV_R_B,RO2	: 	: 	: 	: 	: 	2487214 	1074859 	: 
CAP,RCV_R_B,RO21	: 	: 	: 	: 	: 	75297 	76460 	: 
CAP,RCV_R_B,RO22	: 	: 	: 	: 	: 	2411917 	998399 	: 
CAP,RCV_R_B,RO3	: 	: 	: 	: 	: 	400490 	86683 	: 
CAP,RCV_R_B,RO31	: 	: 	: 	: 	: 	380490 	58851 	: 
CAP,RCV_R_B,RO32	: 	: 	: 	: 	: 	20000 e	27832 	: 
CAP,RCV_R_B,RO4	: 	: 	: 	: 	: 	3126689 	64279 	: 
CAP,RCV_R_B,RO41	: 	: 	: 	: 	: 	231940 	58747 	: 
CAP,RCV_R_B,RO42	: 	: 	: 	: 	: 	2894749 	5532 	: 
CAP,RCV_R_B,SE	: 	: 	: 	: 	: 	9850000 	29246015 	22439 
CAP,RCV_R_B,SE1	: 	: 	: 	: 	: 	2700000 	7253884 	: 
CAP,RCV_R_B,SE11	: 	: 	: 	: 	: 	600000 e	1924424 	: 
CAP,RCV_R_B,SE12	: 	: 	: 	: 	: 	2100000 e	5329460 	: 
CAP,RCV_R_B,SE2	: 	: 	: 	: 	: 	4180000 	10747261 	: 
CAP,RCV_R_B,SE21	: 	: 	: 	: 	: 	280000 e	3169548 	: 
CAP,RCV_R_B,SE22	: 	: 	: 	: 	: 	1300000 e	3107496 	: 
CAP,RCV_R_B,SE23	: 	: 	: 	: 	: 	2600000 e	4470217 	: 
CAP,RCV_R_B,SE3	: 	: 	: 	: 	: 	2970000 	11244870 	: 
CAP,RCV_R_B,SE31	: 	: 	: 	: 	: 	1600000 e	5699721 	: 
CAP,RCV_R_B,SE32	: 	: 	: 	: 	: 	170000 e	2367696 	: 
CAP,RCV_R_B,SE33	: 	: 	: 	: 	: 	1200000 e	3177453 	: 
CAP,RCV_R_B,SI	: 	: 	: 	: 	: 	15454564 	7731764 	4203669 
CAP,RCV_R_B,SI01	: 	: 	: 	: 	: 	7852065 	3608964 	: 
CAP,RCV_R_B,SI02	: 	: 	: 	: 	: 	7602499 	4122800 	: 
CAP,RCV_R_B,SK	: 	: 	: 	: 	: 	3528000 	3316082 	3180000 
CAP,RCV_R_B,SK01	: 	: 	: 	: 	: 	475000 e	331154 	109000 
CAP,RCV_R_B,SK02	: 	: 	: 	: 	: 	1188000 e	996006 	1553000 
CAP,RCV_R_B,SK03	: 	: 	: 	: 	: 	1295000 e	1362387 	1296000 
CAP,RCV_R_B,SK04	: 	: 	: 	: 	: 	570000 e	626535 	222000 
CAP,RCV_R_B,TR	: 	: 	: 	: 	: 	564580 	605250 	667300 
CAP,RCV_R_B,TR1	: 	: 	: 	: 	: 	365000 	0 	: c
CAP,RCV_R_B,TR10	: 	: 	: 	: 	: 	365000 	0 	: c
CAP,RCV_R_B,TR2	: 	: 	: 	: 	: 	0 	0 	0 
CAP,RCV_R_B,TR21	: 	: 	: 	: 	: 	0 	0 	0 
CAP,RCV_R_B,TR22	: 	: 	: 	: 	: 	0 	0 	0 
CAP,RCV_R_B,TR3	: 	: 	: 	: 	: 	130750 	0 	: c
CAP,RCV_R_B,TR31	: 	: 	: 	: 	: 	127750 	0 	: c
CAP,RCV_R_B,TR32	: 	: 	: 	: 	: 	3000 	0 	: c
CAP,RCV_R_B,TR33	: 	: 	: 	: 	: 	: c	0 	0 
CAP,RCV_R_B,TR4	: 	: 	: 	: 	: 	: c	0 	0 
CAP,RCV_R_B,TR41	: 	: 	: 	: 	: 	0 	0 	0 
CAP,RCV_R_B,TR42	: 	: 	: 	: 	: 	: c	0 	0 
CAP,RCV_R_B,TR5	: 	: 	: 	: 	: 	0 	0 	0 
CAP,RCV_R_B,TR51	: 	: 	: 	: 	: 	0 	0 	0 
